method	fold	auc	epsilon_S	epsilon_B	rejection	S	B	sumw2_signal	sumw2_background	Neff_signal	Neff_background	finite_mc_rel_unc_background	S_over_B	ZA_stat	finite_mc_dominated
R_HH_125_125_lt34	pooled		0.5245496584326789	0.4319668500506009	2.314992458062139	417.4627329356919	20240622849.775894	5.485646425760932	2.2469086973568016e+16	31769.297520111777	18233.175821910758	0.0074057464670722	2.0624994400323705e-08	0.0029343085318647	False
global_mass_plane_blind	pooled	0.7927473294924016	0.5865589588159026	0.1851394706326219	5.401333365505463	424.35531850598136	782801755.7405807	5.443045683106421	523838029377199.3	33083.94726563092	1169.7863736985255	0.029237936659553	5.420980668400698e-07	0.015167140673312	False
global_mass_plane_blind	0	0.7954271950819785	0.5809553837133988	0.174232821038122	5.739446758892807	97.3504774902872	140280681.9494353	1.3059624724812642	86979060735591.8	7256.805357952487	226.24605924430404	0.066482828523113	6.939692346618158e-07	0.0082193807999756	False
global_mass_plane_blind	1	0.813548781374201	0.6025638131540851	0.1682392645838121	5.943915663645971	66.28924061319861	106931608.54340234	0.7637071562510507	130702494694571.9	5753.859165920963	87.4839377197772	0.1069143102874215	6.199218502010335e-07	0.0064104711383124	True
global_mass_plane_blind	2	0.7968731975496297	0.5916432512965585	0.1849311363873564	5.407418239757105	65.61564472184091	176676530.2202238	0.7570880966406255	114626320710575.31	5686.805606067455	272.3161324306367	0.0605987010173503	3.713885745891223e-07	0.0049364863774563	False
global_mass_plane_blind	3	0.7852810857096981	0.5820896264654701	0.1920276156138848	5.207584319594568	99.74611254279137	145302165.0280984	1.339938280786702	82229773920776.0	7425.183017801234	256.7527326804245	0.0624083158255013	6.86473684156754e-07	0.0082748453586695	False
global_mass_plane_blind	4	0.7651523685363916	0.573313357021836	0.2127622342299457	4.700082247299754	95.35384313786332	213610769.9994209	1.2763496769467797	109300379315684.2	7123.718182708775	417.469375178992	0.048942673498812	4.4639061568909574e-07	0.0065241899442519	False
global_mass_aware	pooled	0.7999990116667514	0.5875603295328026	0.175128707184892	5.710086119371911	425.7179748022927	778270611.1993243	5.4626964312653445	540400487607203.5	33176.984361143644	1120.844925470966	0.0298694506344006	5.470050759674148e-07	0.0152600737381093	False
global_mass_aware	0	0.802909417399205	0.5780276933101611	0.1631907529105599	6.127798188099975	97.31760340923115	148221471.5504944	1.306783974026861	111908814751483.52	7247.346249688343	196.3170164690068	0.0713708760163223	6.565688654364634e-07	0.0079934782458554	False
global_mass_aware	1	0.8206168231050308	0.6049978991150602	0.1584437531652927	6.31138798483758	67.1291147339124	107883562.53970867	0.7760866051993103	129073846610972.72	5806.462854492235	90.17212527444578	0.1053086019297868	6.222367259071947e-07	0.0064629862988485	True
global_mass_aware	2	0.8038574858471512	0.5950180843818729	0.176963237072642	5.65089120510102	65.95217473024854	171086806.26406303	0.7607712970029824	109647195523051.98	5717.473002444495	266.9534331270993	0.0612043436252948	3.854895428257338e-07	0.0050422088835957	False
global_mass_aware	3	0.7919147696757245	0.5819512545489866	0.180932343374313	5.526927808209498	99.41358362496288	141473032.4418021	1.334589259391912	79436848901086.98	7405.32005604524	251.95635508151832	0.0629995346456219	7.027034192248529e-07	0.0083581247174708	False
global_mass_aware	4	0.7734270849144914	0.5751859451273441	0.2018668329049541	4.953760781845893	95.9054983039377	209605738.403256	1.2844652956442786	110333781820608.28	7160.851006342693	398.1968608944032	0.0501130786440236	4.575518735056154e-07	0.0066243289279266	False
