sample_class	process_or_mode	btag_bin	rows	yield	sumw2	negative_rows	neff
background	bbh_hbb_4fs	0	326	473.9079886298757	688.9268807848148	0	325.99799478192284
background	bbh_hbb_4fs	1	1745	2537.2521170026707	3689.2214432090477	0	1744.9883137496847
background	bbh_hbb_4fs	2	3374	4906.306324819891	7134.56037591069	0	3373.976879394622
background	bbh_hbb_4fs	3	2991	4348.771454042076	6322.948209287959	0	2990.980241101948
background	bbh_hbb_4fs	ge4	1012	1471.4927922415216	2139.629992000882	0	1011.9932164504157
background	ggh_hbb	0	799	53542.819723628854	3588033.990040734	0	798.9984353310077
background	ggh_hbb	1	2694	180530.3692890096	12097727.650661463	0	2693.994705182853
background	ggh_hbb	2	2299	154057.42259988812	10323505.123219011	0	2298.995270970527
background	ggh_hbb	3	294	19698.838852209115	1319881.0756880334	0	293.99940591088625
background	ggh_hbb	ge4	38	2546.920423644301	170705.6286841939	0	37.99993998075528
background	qcd_hardqcd	0	107823	50947647751.49522	5.4188717161174296e+16	0	47900.42922939322
background	qcd_hardqcd	1	24669	9360724942.321602	9376346261640216.0	0	9345.129648664844
background	qcd_hardqcd	2	4998	1747169488.6335213	1665027658042244.2	0	1833.3636725297397
background	qcd_hardqcd	3	576	162402010.32763907	144409042222766.0	0	182.6368525993913
background	qcd_hardqcd	ge4	56	8859365.004916377	6800837362502.408	0	11.540982985874068
background	schannel_single_top	0	290	14810.91233964815	756424.5666646141	0	290.00000000000495
background	schannel_single_top	1	937	47854.56849051754	2444033.8584990897	0	936.9999999999945
background	schannel_single_top	2	902	46067.0445874566	2352741.2383843963	0	901.9999999999953
background	schannel_single_top	3	117	5975.437047375242	305178.1872405532	0	116.99999999999945
background	schannel_single_top	ge4	8	408.5768921282223	20866.88459764462	0	8.000000000000004
background	tchannel_antitop	0	2791	385370.15447244747	53210411.14678537	0	2790.998091490786
background	tchannel_antitop	1	6113	844055.5567477494	116543473.20641579	0	6112.99597717441
background	tchannel_antitop	2	2686	370876.22229372466	51209704.01528805	0	2685.998189362715
background	tchannel_antitop	3	333	45980.80399904751	6349056.262269576	0	332.9997796622226
background	tchannel_antitop	ge4	19	2622.582056264853	361996.8162523174	0	18.999992080174415
background	tchannel_top	0	3135	726177.8716869336	168209233.48152995	0	3134.990216727121
background	tchannel_top	1	6709	1554073.2870528616	359986780.3632893	0	6708.979088326482
background	tchannel_top	2	3181	736828.5986113488	170675266.46595824	0	3180.990397573808
background	tchannel_top	3	386	89410.24856891738	20710405.373358283	0	385.9988447854943
background	tchannel_top	ge4	19	4401.760524389161	1019764.9474484201	0	18.999962454632968
background	ttbar_inclusive	0	80951	9133915.625529697	1030605131.2474829	0	80950.90168366491
