transfer	distribution	predicted	target	predicted_over_target	shape_l1	development_nonzero_cells	closure_source_rows	closure_target_rows
2b_to_3b	yield	67577439.01410784	67215327.27968898	1.0053873387079122		35	1908	211
2b_to_3b	mbb1	67577439.01410758	67215327.2796889	1.0053873387079098	0.10490509427865222	35	1908	211
2b_to_3b	mbb2	67577439.0141076	67215327.27968891	1.0053873387079098	0.0746106032649445	35	1908	211
2b_to_3b	r_hh_125_125	67577439.01410754	67215327.27968892	1.0053873387079086	0.13743670091317453	35	1908	211
2b_to_3b	mhh	67577439.01410745	67215327.2796889	1.0053873387079078	0.08136218801831496	35	1908	211
2b_to_3b	ht_candidate_jets	67577439.01410756	67215327.2796889	1.0053873387079093	0.1455786937279496	35	1908	211
2b_to_3b	h1_pt	67577439.01410761	67215327.2796889	1.0053873387079102	0.07123003969974233	35	1908	211
2b_to_3b	h2_pt	67577439.01410764	67215327.27968891	1.0053873387079104	0.05838444532373291	35	1908	211
2b_to_3b	max_drbb	67577439.01410753	67215327.2796889	1.0053873387079089	0.024777537191826845	35	1908	211
2b_to_ge4	yield	1703663.5335896634	5788097.488114504	0.2943391221533552		35	1908	24
2b_to_ge4	mbb1	1703663.5335896553	5788097.488114503	0.29433912215335384	0.3457953396288404	35	1908	24
2b_to_ge4	mbb2	1703663.5335896572	5788097.488114504	0.2943391221533541	0.3675650314365534	35	1908	24
2b_to_ge4	r_hh_125_125	1703663.5335896548	5788097.488114504	0.2943391221533537	0.48438246529213996	35	1908	24
2b_to_ge4	mhh	1703663.5335896614	5788097.488114504	0.29433912215335484	0.391349737040695	35	1908	24
2b_to_ge4	ht_candidate_jets	1703663.5335896555	5788097.488114504	0.29433912215335384	0.18543569857822784	35	1908	24
2b_to_ge4	h1_pt	1703663.5335896565	5788097.488114504	0.294339122153354	0.13362564136742658	35	1908	24
2b_to_ge4	h2_pt	1703663.53358966	5788097.488114504	0.2943391221533546	0.061181028198880084	35	1908	24
2b_to_ge4	max_drbb	1703663.5335896602	5788097.488114504	0.2943391221533546	0.09497246135154537	35	1908	24
