source_uid	process_or_mode	source_role	generated_events	resolved_exact3_ge4_rows	exact3_rows	ge4_rows	resolved_exact3_ge4_expected_yield	rhh34_selected_rows	selected_yield	selected_sumw2	selected_neff	typical_selected_weight	maximum_absolute_selected_weight	selected_fraction_of_resolved	fraction_total_selected_physical_qcd	campaign	pthat_min_GeV	pthat_max_GeV	sigma_gen_pb	normalization_denominator_type	normalization_denominator	production_mixture_fraction	run2_yield_coefficient_per_generator_weight
d5037d0869ffec0742a1fc4f::background::34::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_bundle.tar.gz	qcd_hardqcd	importance_tail_physical	10000	1	1	0	1877598.51018913	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	50	75	18237123.453281954	shard_sum_event_weights	10000.146754329471	0.0074605987130467221	1877598.51018913
762a3b5ceac5de930f6c8d22::background::35::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1034_seed1201034_bundle.tar.gz	qcd_hardqcd	importance_tail_physical	10000	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	50	75	18452620.601873934	shard_sum_event_weights	10000.023700887348	0.0074605987130467221	1899808.3429882333
c9b03b9b6b9f9398092a3add::background::36::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1036_seed1201036_bundle.tar.gz	qcd_hardqcd	importance_tail_physical	10000	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	50	75	18283869.770389557	shard_sum_event_weights	10000	0.0074605987130467221	1882438.8908430545
bf97c09f4fd69489fca1b6db::background::37::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1037_seed1201037_bundle.tar.gz	qcd_hardqcd	importance_tail_physical	10000	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	50	75	18018706.484751426	shard_sum_event_weights	10000.0303036851	0.0074605987130467221	1855133.0483336917
2f862e1d6690070145517b88::background::38::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1038_seed1201038_bundle.tar.gz	qcd_hardqcd	importance_tail_physical	10000	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	50	75	18336673.375264272	shard_sum_event_weights	10000	0.0074605987130467221	1887875.3526337552
fc4fb58d7b622f21aacf4b4f::background::39::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1040_seed1201040_bundle.tar.gz	qcd_hardqcd	importance_tail_physical	10000	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	50	75	18393810.220327761	shard_sum_event_weights	10000.102292154292	0.0074605987130467221	1893738.5771778079
b88c5ed05928184b5697a79e::background::40::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1041_seed1201041_bundle.tar.gz	qcd_hardqcd	importance_tail_physical	10000	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	50	75	18265519.029715937	shard_sum_event_weights	10000	0.0074605987130467221	1880549.5671739622
24553efcd3b3e4cf989bee14::background::41::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1042_seed1201042_bundle.tar.gz	qcd_hardqcd	importance_tail_physical	10000	1	1	0	1891436.8733218487	1	1891436.8733218487	3577533445761.5312	1.0	1891436.8733218487	1891436.8733218487	1.0	0.04071731235707811	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	50	75	18371478.504314765	shard_sum_event_weights	10000.115707301869	0.0074605987130467221	1891436.8733218494
d4486205aec22c450a5f8bbc::background::42::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1043_seed1201043_bundle.tar.gz	qcd_hardqcd	importance_tail_physical	10000	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	50	75	18207059.806493394	shard_sum_event_weights	10000.015370532157	0.0074605987130467221	1874527.94280831
528035c1f4af388b7ffcff08::background::43::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1047_seed1201047_bundle.tar.gz	qcd_hardqcd	importance_tail_physical	10000	1	1	0	1877412.7399453227	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	50	75	18235105.550866503	shard_sum_event_weights	10000.029663826534	0.0074605987130467221	1877412.7399453227
8f830df6e5952caa261f5528::background::44::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1048_seed1201048_bundle.tar.gz	qcd_hardqcd	importance_tail_physical	10000	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	50	75	18166343.508333173	shard_sum_event_weights	10000.037863696645	0.0074605987130467221	1870331.7444193054
2fc1765f92bee7ca2ad0745c::background::45::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1050_seed1201050_bundle.tar.gz	qcd_hardqcd	importance_tail_physical	10000	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	50	75	18058348.36643834	shard_sum_event_weights	10000.020317374023	0.0074605987130467221	1859216.2725978696
