category_id	aggregation_level	optional_variable	inclusion_count	denominator	inclusion_frequency	ambiguous_interval_inclusive_0p30_0p70
exact3tag	fold_winner	abs_h_delta_eta	136	1000	0.136	False
exact3tag	fold_winner	h2_pt	98	1000	0.098	False
exact3tag	fold_winner	ht_candidate_jets	380	1000	0.38	True
exact3tag	fold_winner	max_drbb	273	1000	0.273	False
exact3tag	fold_winner	mhh	157	1000	0.157	False
exact3tag	replica_selected	abs_h_delta_eta	46	200	0.23	False
exact3tag	replica_selected	h2_pt	18	200	0.09	False
exact3tag	replica_selected	ht_candidate_jets	72	200	0.36	True
exact3tag	replica_selected	max_drbb	42	200	0.21	False
exact3tag	replica_selected	mhh	25	200	0.125	False
ge4tag	fold_winner	abs_h_delta_eta	133	1000	0.133	False
ge4tag	fold_winner	h2_pt	117	1000	0.117	False
ge4tag	fold_winner	ht_candidate_jets	379	1000	0.379	True
ge4tag	fold_winner	max_drbb	341	1000	0.341	True
ge4tag	fold_winner	mhh	129	1000	0.129	False
ge4tag	replica_selected	abs_h_delta_eta	14	200	0.07	False
ge4tag	replica_selected	h2_pt	23	200	0.115	False
ge4tag	replica_selected	ht_candidate_jets	67	200	0.335	True
ge4tag	replica_selected	max_drbb	56	200	0.28	False
ge4tag	replica_selected	mhh	14	200	0.07	False
