figure_id	title	pdf_path	pdf_bytes	pdf_sha256	png_path	png_bytes	png_sha256	sidecar_path	sidecar_rows	sidecar_sha256	header	official_cms_status_claimed	validation_payloads_opened	test_payloads_opened
01_nested_outer_fold_winners	nested outer-fold winner summary	artifacts/hh4b_cut_baseline/publication_train_only/figures/pdf/01_nested_outer_fold_winners.pdf	1064047	24c224bb5c9d846771b905ade24ab494dfe452b633a32be5c141e8ebc454c55b	artifacts/hh4b_cut_baseline/publication_train_only/figures/png/01_nested_outer_fold_winners.png	146745	007f4dc6b50f8946dc094522dfdc706c2dbacf8f8197a51fd7af31eb3786d927	artifacts/hh4b_cut_baseline/publication_train_only/figure_data/01_nested_outer_fold_winners.tsv	10	a4fdbe8334a9fb3bc5a89dfd7b1f1e3993a3093adfa7d3e148e06ae6342daac3	Delphes simulation	False	0	0
02_all1000_cut_family_frequency_matrix	cut-family frequency matrix	artifacts/hh4b_cut_baseline/publication_train_only/figures/pdf/02_all1000_cut_family_frequency_matrix.pdf	1084670	a79771ba23f6edc6b80163a27410e674713e71b1bd9d39e56b7c2487d76ccfe0	artifacts/hh4b_cut_baseline/publication_train_only/figures/png/02_all1000_cut_family_frequency_matrix.png	390875	3852e2486b9c651329f99e59e3147ff29c2ca9af0ced1727815246db666b515c	artifacts/hh4b_cut_baseline/publication_train_only/figure_data/02_all1000_cut_family_frequency_matrix.tsv	108	5eae6f7a56394552067832d246757a2bb803d711c063be9959ef5146b88fe99b	Delphes simulation	False	0	0
03_initial200_vs_all1000_stability	initial200 vs all1000 diagnostics	artifacts/hh4b_cut_baseline/publication_train_only/figures/pdf/03_initial200_vs_all1000_stability.pdf	1063444	7c9bd63d7d47cecc88aabdd035bf29b97153989b3404f3a9499fc3ed12ede258	artifacts/hh4b_cut_baseline/publication_train_only/figures/png/03_initial200_vs_all1000_stability.png	239971	7af80c146cfe7622601a21a17dde9105369a357864541ba03cab36d67b602548	artifacts/hh4b_cut_baseline/publication_train_only/figure_data/03_initial200_vs_all1000_stability.tsv	14	2ac30f3982ff865e044b233d86dc1c488df3f5788d88a8929025e7db196c3bac	Delphes simulation	False	0	0
04_nominal_structure_recovery	nominal recovery	artifacts/hh4b_cut_baseline/publication_train_only/figures/pdf/04_nominal_structure_recovery.pdf	1061981	b15118315c0c0bdd27c4deb1ec3f8fa71d80f8388fef5db42a73acdfb65d2215	artifacts/hh4b_cut_baseline/publication_train_only/figures/png/04_nominal_structure_recovery.png	111279	aa94345c17060afe21bc237ed6a1604fb4d6f94c9d00de712e5446f532253d96	artifacts/hh4b_cut_baseline/publication_train_only/figure_data/04_nominal_structure_recovery.tsv	2	3fe963f17c6bb8fa5542c6f16b697c5fed9cbecd88b994ba2de0700fcd511011	Delphes simulation	False	0	0
05_optional_variable_inclusion	optional-variable inclusion	artifacts/hh4b_cut_baseline/publication_train_only/figures/pdf/05_optional_variable_inclusion.pdf	1062891	dea4de5e853ebac1345671f93aec55699b031ff41e49659df395df59e9325934	artifacts/hh4b_cut_baseline/publication_train_only/figures/png/05_optional_variable_inclusion.png	124420	c49a9ff9257b6b9ddada6c4f6f9845800319ecc199d3a312093aaf8ebc8dbdc1	artifacts/hh4b_cut_baseline/publication_train_only/figure_data/05_optional_variable_inclusion.tsv	10	c219cf6e4e7863af2301ced153c8c637273b1b1a2c4342893543edc7f76a7ec2	Delphes simulation	False	0	0
06_modal_count_and_ties	modal-count and tie diagnostics	artifacts/hh4b_cut_baseline/publication_train_only/figures/pdf/06_modal_count_and_ties.pdf	1063568	0f3d0972a5f642f56bd58c88f2dd3d724146047936572ad70aa1b64053ededee	artifacts/hh4b_cut_baseline/publication_train_only/figures/png/06_modal_count_and_ties.png	207937	f9e33afd23dfbbf805a93ddbb240755fcdf1fb7aac88b693329ca9e076b134bf	artifacts/hh4b_cut_baseline/publication_train_only/figure_data/06_modal_count_and_ties.tsv	12	b4c824b2584067242f24ae694256073e277410add1d8e11a9605581925a4a89d	Delphes simulation	False	0	0
07_conditional_nominal_thresholds	conditional threshold distributions	artifacts/hh4b_cut_baseline/publication_train_only/figures/pdf/07_conditional_nominal_thresholds.pdf	1063153	45d1f72eb6732ed8b4a73fbdb699fa732d8395c272d2b5491954d78b8718afbc	artifacts/hh4b_cut_baseline/publication_train_only/figures/png/07_conditional_nominal_thresholds.png	160401	2572853c4f0d438a691144f50824e9f66f4a878ce73f3f52a4cbbc026d43ab1a	artifacts/hh4b_cut_baseline/publication_train_only/figure_data/07_conditional_nominal_thresholds.tsv	5	03c5ac3ae099c72bdf39a034094b07bc427348cd5ba0cc3f00209aff0ee7468a	Delphes simulation	False	0	0
08_exact3tag_ge4tag_stability	category stability comparison	artifacts/hh4b_cut_baseline/publication_train_only/figures/pdf/08_exact3tag_ge4tag_stability.pdf	1062488	5fb6f18c33bafa9ec45df8e78f0e4b3b0e11a392fb438bbb860963cda247144d	artifacts/hh4b_cut_baseline/publication_train_only/figures/png/08_exact3tag_ge4tag_stability.png	164800	e2e05e2e3e22fc6856da27bc5dd51bc36f09097853a9cafa797010bcf1c9f357	artifacts/hh4b_cut_baseline/publication_train_only/figure_data/08_exact3tag_ge4tag_stability.tsv	2	f2c503c6b958328a7f2bc76bd6045e9ca448d569fa4e63fa13aaf0b41418f717	Delphes simulation	False	0	0
09_signal_background_efficiency_plane	signal/background efficiency plane	artifacts/hh4b_cut_baseline/publication_train_only/figures/pdf/09_signal_background_efficiency_plane.pdf	1063667	6e774b19fc098a7506d3f54ff5f28eaf49f588b1a598c92cc7b36ae584d3f1bd	artifacts/hh4b_cut_baseline/publication_train_only/figures/png/09_signal_background_efficiency_plane.png	124463	1344adfffe338942e5c252ebe22909142f069e61a653968111bc56997bb014b6	artifacts/hh4b_cut_baseline/publication_train_only/figure_data/09_signal_background_efficiency_plane.tsv	9	80447c3e323ffc9a47705d1669a75bc1ad6ef5cd739443527420966f19112590	Delphes simulation	False	0	0
10_nested_outer_oof_fold_performance	nested outer-OOF performance	artifacts/hh4b_cut_baseline/publication_train_only/figures/pdf/10_nested_outer_oof_fold_performance.pdf	1065856	f93473cd3c7a916b995fb58ecada862de26c3249c0a45f147117814b3fc28284	artifacts/hh4b_cut_baseline/publication_train_only/figures/png/10_nested_outer_oof_fold_performance.png	264966	300d805e415ba760597439d44f976bde1a85ae602986bbb09978588594e38ae5	artifacts/hh4b_cut_baseline/publication_train_only/figure_data/10_nested_outer_oof_fold_performance.tsv	15	8c19ff89c39ceda4aac041e2a2cbb55a2ef840c929934c03279650f7c3eeb3b3	Delphes simulation	False	0	0
