campaign,shard,tag,run_name,seed,events_per_shard,event_parquet,candidate_parquet,root_kept,hepmc_deleted,lhe_deleted
ttbb_50k,000,ttbb_50k_shard000,run_ttbb_50k_000,107000,5000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard000_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard000_hh4b_candidates.parquet,yes,yes,yes
ttbb_50k,001,ttbb_50k_shard001,run_ttbb_50k_001,107001,5000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard001_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard001_hh4b_candidates.parquet,no,yes,yes
ttbb_50k,002,ttbb_50k_shard002,run_ttbb_50k_002,107002,5000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard002_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard002_hh4b_candidates.parquet,no,yes,yes
ttbb_50k,003,ttbb_50k_shard003,run_ttbb_50k_003,107003,5000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard003_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard003_hh4b_candidates.parquet,no,yes,yes
ttbb_50k,004,ttbb_50k_shard004,run_ttbb_50k_004,107004,5000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard004_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard004_hh4b_candidates.parquet,no,yes,yes
ttbb_50k,005,ttbb_50k_shard005,run_ttbb_50k_005,107005,5000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard005_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard005_hh4b_candidates.parquet,no,yes,yes
ttbb_50k,006,ttbb_50k_shard006,run_ttbb_50k_006,107006,5000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard006_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard006_hh4b_candidates.parquet,no,yes,yes
ttbb_50k,007,ttbb_50k_shard007,run_ttbb_50k_007,107007,5000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard007_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard007_hh4b_candidates.parquet,no,yes,yes
ttbb_50k,008,ttbb_50k_shard008,run_ttbb_50k_008,107008,5000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard008_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard008_hh4b_candidates.parquet,no,yes,yes
ttbb_50k,009,ttbb_50k_shard009,run_ttbb_50k_009,107009,5000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard009_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbb_50k_shard009_hh4b_candidates.parquet,no,yes,yes
