campaign,shard,tag,run_name,seed,events_per_shard,event_parquet,candidate_parquet,root_kept,hepmc_deleted,lhe_deleted
zbbbb_presel_100k,000,zbbbb_presel_100k_shard000,run_zbbbb_presel_100k_000,104000,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard000_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard000_hh4b_candidates.parquet,yes,yes,yes
zbbbb_presel_100k,001,zbbbb_presel_100k_shard001,run_zbbbb_presel_100k_001,104001,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard001_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard001_hh4b_candidates.parquet,no,yes,yes
zbbbb_presel_100k,002,zbbbb_presel_100k_shard002,run_zbbbb_presel_100k_002,104002,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard002_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard002_hh4b_candidates.parquet,no,yes,yes
zbbbb_presel_100k,003,zbbbb_presel_100k_shard003,run_zbbbb_presel_100k_003,104003,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard003_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard003_hh4b_candidates.parquet,no,yes,yes
zbbbb_presel_100k,004,zbbbb_presel_100k_shard004,run_zbbbb_presel_100k_004,104004,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard004_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard004_hh4b_candidates.parquet,no,yes,yes
zbbbb_presel_100k,005,zbbbb_presel_100k_shard005,run_zbbbb_presel_100k_005,104005,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard005_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard005_hh4b_candidates.parquet,no,yes,yes
zbbbb_presel_100k,006,zbbbb_presel_100k_shard006,run_zbbbb_presel_100k_006,104006,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard006_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard006_hh4b_candidates.parquet,no,yes,yes
zbbbb_presel_100k,007,zbbbb_presel_100k_shard007,run_zbbbb_presel_100k_007,104007,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard007_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard007_hh4b_candidates.parquet,no,yes,yes
zbbbb_presel_100k,008,zbbbb_presel_100k_shard008,run_zbbbb_presel_100k_008,104008,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard008_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard008_hh4b_candidates.parquet,no,yes,yes
zbbbb_presel_100k,009,zbbbb_presel_100k_shard009,run_zbbbb_presel_100k_009,104009,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard009_event_summary.parquet,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_shard009_hh4b_candidates.parquet,no,yes,yes
