role,process,tag,root_path,root_exists,root_size_GB,hepmc_path,hepmc_exists,hepmc_size_GB,event_summary_parquet,event_summary_exists,candidate_parquet,candidate_parquet_exists,diagnostic_csv,diagnostic_exists,summary_txt,summary_exists,events,candidate_rows,cross_section_median_pb,events_with_ge4_selected_jets,events_with_ge4_selected_b_tagged_jets,median_mbb1,median_mbb2,median_avg_mbb,median_delta_mbb,median_mhh,median_n_selected_bjets
signal,ggF_HH_4b,ggf_hh4b_ak4ak8_10k,/uscms_data/d3/iturkmen/hh4b_delphes/root/ggf_hh4b_ak4ak8_10k_pythia8_delphes.root,True,0.8693814920261502,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ggf_hh4b_ak4ak8_10k_pythia8.hepmc,True,2.6040983060374856,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ggf_hh4b_ak4ak8_10k_event_summary.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ggf_hh4b_ak4ak8_10k_hh4b_candidates.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ggf_hh4b_ak4ak8_10k_diagnostic.csv,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ggf_hh4b_ak4ak8_10k_summary.txt,True,10000,699,0.0009929699590429,5839,699,123.21890571972811,111.38410838085775,117.23789580061566,23.660782893279688,312.34582936652697,4.0
signal,VBF_HH_4b,vbf_hh4b_ak4ak8_10k,/uscms_data/d3/iturkmen/hh4b_delphes/root/vbf_hh4b_ak4ak8_10k_pythia8_delphes.root,True,0.8371325517073274,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/vbf_hh4b_ak4ak8_10k_pythia8.hepmc,True,2.4865142069756985,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/vbf_hh4b_ak4ak8_10k_event_summary.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/vbf_hh4b_ak4ak8_10k_hh4b_candidates.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/vbf_hh4b_ak4ak8_10k_diagnostic.csv,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/vbf_hh4b_ak4ak8_10k_summary.txt,True,10000,653,0.0009718814981169,6328,653,121.62103613572847,111.87557732408271,117.40367067164757,27.384622381459508,434.2202808724207,4.0
background,ttbar,ttbar_extra50k_ak4ak8_v1_shard000,/uscms_data/d3/iturkmen/hh4b_delphes/root/ttbar_extra50k_ak4ak8_v1_shard000_pythia8_delphes.root,True,0.8536441577598453,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard000_pythia8.hepmc,True,2.6081783827394247,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_extra50k_ak4ak8_v1_shard000_event_summary.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_extra50k_ak4ak8_v1_shard000_hh4b_candidates.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ttbar_extra50k_ak4ak8_v1_shard000_diagnostic.csv,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ttbar_extra50k_ak4ak8_v1_shard000_summary.txt,True,10000,42,511.1163635253906,6417,42,129.44543201957322,126.31499255582938,123.22506646511954,52.02836894763138,408.7944195807172,4.0
background,ttbar,ttbar_extra50k_ak4ak8_v1_shard001,/uscms_data/d3/iturkmen/hh4b_delphes/root/ttbar_extra50k_ak4ak8_v1_shard001_pythia8_delphes.root,True,0.8533840533345938,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard001_pythia8.hepmc,True,2.6070896182209253,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_extra50k_ak4ak8_v1_shard001_event_summary.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_extra50k_ak4ak8_v1_shard001_hh4b_candidates.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ttbar_extra50k_ak4ak8_v1_shard001_diagnostic.csv,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ttbar_extra50k_ak4ak8_v1_shard001_summary.txt,True,10000,60,512.611328125,6419,60,129.41455469999352,112.01982791106303,123.26769873556601,38.33598631326897,389.59160768788536,4.0
background,ttbar,ttbar_extra50k_ak4ak8_v1_shard002,/uscms_data/d3/iturkmen/hh4b_delphes/root/ttbar_extra50k_ak4ak8_v1_shard002_pythia8_delphes.root,True,0.8548338459804654,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard002_pythia8.hepmc,True,2.6115187844261527,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_extra50k_ak4ak8_v1_shard002_event_summary.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_extra50k_ak4ak8_v1_shard002_hh4b_candidates.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ttbar_extra50k_ak4ak8_v1_shard002_diagnostic.csv,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ttbar_extra50k_ak4ak8_v1_shard002_summary.txt,True,10000,38,512.3019409179688,6422,38,133.18045327322767,122.62000731911945,131.74581959308316,51.704305132012955,396.94776810590065,4.0
background,ttbar,ttbar_extra50k_ak4ak8_v1_shard003,/uscms_data/d3/iturkmen/hh4b_delphes/root/ttbar_extra50k_ak4ak8_v1_shard003_pythia8_delphes.root,True,0.8567253164947033,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard003_pythia8.hepmc,True,2.6167416321113706,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_extra50k_ak4ak8_v1_shard003_event_summary.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_extra50k_ak4ak8_v1_shard003_hh4b_candidates.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ttbar_extra50k_ak4ak8_v1_shard003_diagnostic.csv,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ttbar_extra50k_ak4ak8_v1_shard003_summary.txt,True,10000,54,512.4491577148438,6417,54,132.00785829205464,109.2509659584476,121.67287656988424,41.892714952433664,389.17239900417746,4.0
background,ttbar,ttbar_extra50k_ak4ak8_v1_shard004,/uscms_data/d3/iturkmen/hh4b_delphes/root/ttbar_extra50k_ak4ak8_v1_shard004_pythia8_delphes.root,True,0.8563914010301232,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard004_pythia8.hepmc,True,2.6173063898459077,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_extra50k_ak4ak8_v1_shard004_event_summary.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_extra50k_ak4ak8_v1_shard004_hh4b_candidates.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ttbar_extra50k_ak4ak8_v1_shard004_diagnostic.csv,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ttbar_extra50k_ak4ak8_v1_shard004_summary.txt,True,10000,53,511.9331970214844,6444,53,139.8843664597061,105.05607468111756,127.11127300464305,60.01927605894532,458.67900083674704,4.0
background,QCD_bbbb,qcd_bbbb_ak4ak8_extra50k_v1_shard000,/uscms_data/d3/iturkmen/hh4b_delphes/root/qcd_bbbb_ak4ak8_extra50k_v1_shard000_pythia8_delphes.root,True,0.8135782303288579,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard000_pythia8.hepmc,True,2.495877116918564,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_ak4ak8_extra50k_v1_shard000_event_summary.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_ak4ak8_extra50k_v1_shard000_hh4b_candidates.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/qcd_bbbb_ak4ak8_extra50k_v1_shard000_diagnostic.csv,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/qcd_bbbb_ak4ak8_extra50k_v1_shard000_summary.txt,True,10000,383,348.1773681640625,2944,383,126.45715034467119,107.2477546597227,116.92564592758907,36.28681669860019,355.2558910410503,4.0
background,QCD_bbbb,qcd_bbbb_ak4ak8_extra50k_v1_shard001,/uscms_data/d3/iturkmen/hh4b_delphes/root/qcd_bbbb_ak4ak8_extra50k_v1_shard001_pythia8_delphes.root,True,0.8169153034687042,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard001_pythia8.hepmc,True,2.506188820116222,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_ak4ak8_extra50k_v1_shard001_event_summary.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_ak4ak8_extra50k_v1_shard001_hh4b_candidates.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/qcd_bbbb_ak4ak8_extra50k_v1_shard001_diagnostic.csv,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/qcd_bbbb_ak4ak8_extra50k_v1_shard001_summary.txt,True,10000,378,345.25982666015625,2971,378,126.91415075331854,112.28293627277344,121.60270731577944,38.10263778778476,368.0394092018108,4.0
background,QCD_bbbb,qcd_bbbb_ak4ak8_extra50k_v1_shard002,/uscms_data/d3/iturkmen/hh4b_delphes/root/qcd_bbbb_ak4ak8_extra50k_v1_shard002_pythia8_delphes.root,True,0.8139636861160398,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard002_pythia8.hepmc,True,2.4962646886706352,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_ak4ak8_extra50k_v1_shard002_event_summary.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_ak4ak8_extra50k_v1_shard002_hh4b_candidates.parquet,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/qcd_bbbb_ak4ak8_extra50k_v1_shard002_diagnostic.csv,True,/uscms_data/d3/iturkmen/hh4b_delphes/metadata/qcd_bbbb_ak4ak8_extra50k_v1_shard002_summary.txt,True,10000,387,346.3462219238281,2969,387,131.38981059610774,111.38367256644288,119.97026613152566,38.57442157885042,366.37226198106936,4.0
