member_index	mode	observed_column_count	expected_column_count	ordered_columns_match	threeb_provenance_contract_match	schema_status
1	threeb-control	83	83	True	True	pass
1	fourb-parity	72	72	True	True	pass
18	threeb-control	83	83	True	True	pass
18	fourb-parity	72	72	True	True	pass
99	threeb-control	83	83	True	True	pass
99	fourb-parity	72	72	True	True	pass
108	threeb-control	83	83	True	True	pass
108	fourb-parity	72	72	True	True	pass
123	threeb-control	83	83	True	True	pass
123	fourb-parity	72	72	True	True	pass
184	threeb-control	83	83	True	True	pass
184	fourb-parity	72	72	True	True	pass
365	threeb-control	83	83	True	True	pass
365	fourb-parity	72	72	True	True	pass
398	threeb-control	83	83	True	True	pass
398	fourb-parity	72	72	True	True	pass
413	threeb-control	83	83	True	True	pass
413	fourb-parity	72	72	True	True	pass
428	threeb-control	83	83	True	True	pass
428	fourb-parity	72	72	True	True	pass
443	threeb-control	83	83	True	True	pass
443	fourb-parity	72	72	True	True	pass
543	threeb-control	83	83	True	True	pass
543	fourb-parity	72	72	True	True	pass
572	threeb-control	83	83	True	True	pass
572	fourb-parity	72	72	True	True	pass
