member_index	sample_class	process_or_mode	check_name	rows_checked	failure_count	integrity_status
1	signal	ggf_hh4b	n_selected_bjets_at_least_4	58	0	pass
1	signal	ggf_hh4b	n_selected_jets_at_least_4	58	0	pass
1	signal	ggf_hh4b	threeb_only_columns_absent	1	0	pass
18	signal	ggf_hh4b	n_selected_bjets_at_least_4	74	0	pass
18	signal	ggf_hh4b	n_selected_jets_at_least_4	74	0	pass
18	signal	ggf_hh4b	threeb_only_columns_absent	1	0	pass
99	signal	vbf_hh4b	n_selected_bjets_at_least_4	612	0	pass
99	signal	vbf_hh4b	n_selected_jets_at_least_4	612	0	pass
99	signal	vbf_hh4b	threeb_only_columns_absent	1	0	pass
108	background	bbh_hbb_4fs	n_selected_bjets_at_least_4	344	0	pass
108	background	bbh_hbb_4fs	n_selected_jets_at_least_4	344	0	pass
108	background	bbh_hbb_4fs	threeb_only_columns_absent	1	0	pass
123	background	qcd_hardqcd	n_selected_bjets_at_least_4	0	0	pass
123	background	qcd_hardqcd	n_selected_jets_at_least_4	0	0	pass
123	background	qcd_hardqcd	threeb_only_columns_absent	1	0	pass
184	background	qcd_hardqcd	n_selected_bjets_at_least_4	1	0	pass
184	background	qcd_hardqcd	n_selected_jets_at_least_4	1	0	pass
184	background	qcd_hardqcd	threeb_only_columns_absent	1	0	pass
365	background	schannel_single_top	n_selected_bjets_at_least_4	8	0	pass
365	background	schannel_single_top	n_selected_jets_at_least_4	8	0	pass
365	background	schannel_single_top	threeb_only_columns_absent	1	0	pass
398	background	wwz_zbb	n_selected_bjets_at_least_4	9	0	pass
398	background	wwz_zbb	n_selected_jets_at_least_4	9	0	pass
398	background	wwz_zbb	threeb_only_columns_absent	1	0	pass
413	background	qcd_bbbb_general	n_selected_bjets_at_least_4	334	0	pass
413	background	qcd_bbbb_general	n_selected_jets_at_least_4	334	0	pass
413	background	qcd_bbbb_general	threeb_only_columns_absent	1	0	pass
428	background	qcd_bbbb_iht400to600	n_selected_bjets_at_least_4	1481	0	pass
428	background	qcd_bbbb_iht400to600	n_selected_jets_at_least_4	1481	0	pass
428	background	qcd_bbbb_iht400to600	threeb_only_columns_absent	1	0	pass
443	background	ttbar_inclusive	n_selected_bjets_at_least_4	36	0	pass
443	background	ttbar_inclusive	n_selected_jets_at_least_4	36	0	pass
443	background	ttbar_inclusive	threeb_only_columns_absent	1	0	pass
543	background	tth_hbb	n_selected_bjets_at_least_4	1189	0	pass
543	background	tth_hbb	n_selected_jets_at_least_4	1189	0	pass
543	background	tth_hbb	threeb_only_columns_absent	1	0	pass
572	background	ww	n_selected_bjets_at_least_4	0	0	pass
572	background	ww	n_selected_jets_at_least_4	0	0	pass
572	background	ww	threeb_only_columns_absent	1	0	pass
