member_index	sample_class	process_or_mode	dataset_split	selection_reasons	resolution_method	layout_rule	remote_bundle_path	root_container_member	root_archive_member	delphes_num_entries	existing_canonical_4b_rows	threeb_output_rows	fourb_output_rows	threeb_schema_columns	fourb_schema_columns	threeb_duplicate_events	fourb_duplicate_events	threeb_fourb_overlap_events	threeb_integrity_failures	fourb_integrity_failures	reconstruction_status
1	signal	ggf_hh4b	train	"[""ggf_ext20k_campaign""]"	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_bundle.tar.gz	products/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_reconstruction.tar.gz	root/HH4b_ggf_hh4b_ml_ext20k_frozen_v2_20260716_cluster_3586817_shard_16000_1000_pythia8_delphes.root	1000	58	193	58	83	72	0	0	0	0	0	pass
18	signal	ggf_hh4b	train	"[""ggf_ext80k_campaign""]"	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020_bundle.tar.gz	products/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020_reconstruction.tar.gz	root/HH4b_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_cluster_59851531_shard_16020_1000_pythia8_delphes.root	1000	74	195	74	83	72	0	0	0	0	0	pass
99	signal	vbf_hh4b	train	"[""vbf_hh_signal""]"	vbf_registry_standard_bundle_layout	standard_bundle_root_target_tag	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_scaleout90k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_train_shard9401_10k_bundle.tar.gz		root/vbf_hh4b_sm_run2_frozen_v2_train_shard9401_10k_delphes.root	10000	612	1871	612	83	72	0	0	0	0	0	pass
108	background	bbh_hbb_4fs	train	"[""single_higgs_non_tth""]"	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz		root/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_delphes.root	10000	344	1009	344	83	72	0	0	0	0	0	pass
123	background	qcd_hardqcd	train	"[""qcd_hardqcd_existing_zero_4b""]"	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_bundle.tar.gz		root/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_delphes.root	10000	0	1	0	83	72	0	0	0	0	0	pass
184	background	qcd_hardqcd	train	"[""qcd_hardqcd_existing_nonzero_4b""]"	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1120_seed1211120_bundle.tar.gz		root/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1120_seed1211120_delphes.root	10000	1	2	1	83	72	0	0	0	0	0	pass
365	background	schannel_single_top	train	"[""single_top""]"	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_bundle.tar.gz		root/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_delphes.root	10000	8	117	8	83	72	0	0	0	0	0	pass
398	background	wwz_zbb	train	"[""triboson_zbb""]"	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9901_5200_bundle.tar.gz		root/wwz_zbb_run2_frozen_v2_train_shard9901_5200_delphes.root	5200	9	110	9	83	72	0	0	0	0	0	pass
413	background	qcd_bbbb_general	train	"[""qcd_bbbb_general""]"	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz		root/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root	10000	334	984	334	83	72	0	0	0	0	0	pass
428	background	qcd_bbbb_iht400to600	train	"[""qcd_bbbb_iht400to600""]"	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz		root/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_delphes.root	10000	1481	2958	1481	83	72	0	0	0	0	0	pass
