variant	feature_order	feature	latex_label	mean_normalized_gain_importance	standard_deviation_normalized_gain_importance	minimum_normalized_gain_importance	maximum_normalized_gain_importance	folds	importance_type	interpretation	status
mass_aware	1	n_selected_jets	$N_{\mathrm{jet}}$	0.04799087236418878	0.0072674946120086315	0.04075140292334293	0.06157769413948388	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	2	n_selected_bjets	$N_{b\mathrm{-jet}}$	0.022957355953037765	0.004876395685688678	0.014675886663463254	0.029573231098150188	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	3	ht_selected_jets	$H_{\mathrm{T}}^{\mathrm{jets}}$	0.02125757345475902	0.0006964324752472237	0.020360794557942492	0.02201291557137164	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	4	ht_selected_bjets	$H_{\mathrm{T}}^{b\mathrm{-jets}}$	0.023582630767591112	0.0014986597045331606	0.021889529439571665	0.0258831067086046	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	5	ht_candidate_jets	$H_{\mathrm{T}}^{HH\ \mathrm{jets}}$	0.025598029803225775	0.0028527743919351846	0.021470417792877488	0.02932568149595779	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	6	mhh	$m_{HH}$	0.021836257273872527	0.001122179314970197	0.020376323034616298	0.023392947593010766	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	7	hh_pt	$p_{\mathrm{T}}^{HH}$	0.032583555847945186	0.002776153427286728	0.029427331358788767	0.036861463866549454	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	8	abs_hh_eta	$|\eta_{HH}|$	0.023523263909947884	0.001384048064734706	0.021694238137564614	0.025880562921837047	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	9	h1_pt	$p_{\mathrm{T}}^{H_1}$	0.020597935446951824	0.0013552701082190123	0.018860364652834933	0.02249577970091978	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	10	abs_h1_eta	$|\eta_{H_1}|$	0.018704957765451183	0.001236551422455735	0.01663559775568167	0.019860223021450473	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	11	h2_pt	$p_{\mathrm{T}}^{H_2}$	0.019971621336522517	0.0012188702735368019	0.018339690639957225	0.02206102091922493	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	12	abs_h2_eta	$|\eta_{H_2}|$	0.02064311125085663	0.0016343998645660066	0.017737886794954385	0.02254122761447751	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	13	abs_h_delta_eta	$|\Delta\eta_{HH}|$	0.023853737102393646	0.001158218971375471	0.02223229813792043	0.025473812479196372	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	14	abs_h_delta_phi	$|\Delta\phi_{HH}|$	0.02176319897294989	0.0012000979955087718	0.01991934041634911	0.023209625368458813	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	15	h_delta_r	$\Delta R_{HH}$	0.023713643321232034	0.001308658036243087	0.021336830396014476	0.02478018960409182	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	16	h_pt_balance	$p_{\mathrm{T}}\ \mathrm{balance}$	0.01828836241750704	0.0010705509488494916	0.016356443156218613	0.019576290311680747	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	17	drbb1	$\Delta R_{bb}^{H_1}$	0.029132942097713083	0.002660974887728629	0.02680577857110592	0.03414093416654185	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	18	drbb2	$\Delta R_{bb}^{H_2}$	0.027344237699437564	0.0013475440889410542	0.02476443886467872	0.02869988758182716	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	19	j1_pt	$p_{\mathrm{T}}^{j_1}$	0.02313073254103477	0.0017197920006462473	0.020031222382761275	0.02488288157625794	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
mass_aware	20	abs_j1_eta	$|\eta_{j_1}|$	0.019769468381334896	0.001673656586535164	0.017488469497677607	0.021634462679269193	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
