evaluation_stage	variant	trial_id	fold	training_members	heldout_members	training_rows	heldout_rows	training_weight_rescale_factor	weighted_roc_auc	raw_roc_auc	weighted_average_precision	raw_average_precision	training_time_seconds	prediction_time_seconds	member_leakage	fit_status	failure_reason
hyperparameter_search	mass_aware	0	0	232	58	45559	11767	0.9989684781992881	0.7786152883350306	0.8159668607814591	0.8190010885675483	0.5409889389269437	0.9933781230356544	0.006475475034676492	0	pass	none
hyperparameter_search	mass_aware	0	1	232	58	45504	11822	1.0026857730649654	0.7736116743308565	0.8062341624900491	0.8154318498459058	0.5374647479527471	0.7030397190246731	0.005620773998089135	0	pass	none
hyperparameter_search	mass_aware	0	2	231	59	46147	11179	0.9785203482756778	0.7962025474038176	0.8195258006119942	0.7712085532011754	0.47876666499357196	0.9456688159843907	0.016462287050671875	0	pass	none
hyperparameter_search	mass_aware	0	3	227	63	45756	11570	1.047112520024319	0.7586053683074079	0.8276185652144687	0.7430245587311516	0.5657663691079353	1.150802148040384	0.006369963055476546	0	pass	none
hyperparameter_search	mass_aware	0	4	238	52	46338	10988	0.9763888110014965	0.7580881399381556	0.7842191697285947	0.7472312014032659	0.421276258794667	0.9659559169085696	0.004837127053178847	0	pass	none
hyperparameter_search	mass_aware	1	0	232	58	45559	11767	0.9989684781992881	0.7768243908238441	0.798944769477372	0.8006962799869116	0.4938188433319335	0.5409598429687321	0.002796649932861328	0	pass	none
hyperparameter_search	mass_aware	1	1	232	58	45504	11822	1.0026857730649654	0.7519619534683635	0.7876401783144777	0.7936891659661739	0.5020557396727625	0.4302255099173635	0.0033716990146785975	0	pass	none
hyperparameter_search	mass_aware	1	2	231	59	46147	11179	0.9785203482756778	0.7917017052498477	0.802662156724137	0.7674070487802276	0.4317005191517378	0.42389676393941045	0.002777363988570869	0	pass	none
hyperparameter_search	mass_aware	1	3	227	63	45756	11570	1.047112520024319	0.7627455462972608	0.816551430272419	0.7472327737660032	0.5430847052922102	0.37583904003258795	0.0026612620567902923	0	pass	none
hyperparameter_search	mass_aware	1	4	238	52	46338	10988	0.9763888110014965	0.7492556132324907	0.7698041459536233	0.736360622631295	0.38697491752899416	0.4170793159864843	0.003024796023964882	0	pass	none
hyperparameter_search	mass_aware	2	0	232	58	45559	11767	0.9989684781992881	0.7787457083758136	0.7982756145365887	0.8025400911095856	0.4944971576638098	0.4022897919639945	0.002943742088973522	0	pass	none
hyperparameter_search	mass_aware	2	1	232	58	45504	11822	1.0026857730649654	0.7512259318094574	0.7877092279891315	0.7925693173686672	0.501192848869634	0.40059375297278166	0.0031475310679525137	0	pass	none
hyperparameter_search	mass_aware	2	2	231	59	46147	11179	0.9785203482756778	0.7959825943256814	0.8037053169334953	0.7705079899854999	0.43291812262101415	0.365270167007111	0.002700547920539975	0	pass	none
hyperparameter_search	mass_aware	2	3	227	63	45756	11570	1.047112520024319	0.7605137540473436	0.8171917400447469	0.746295276999632	0.5436514767735039	0.2698755079181865	0.0029895990155637264	0	pass	none
hyperparameter_search	mass_aware	2	4	238	52	46338	10988	0.9763888110014965	0.7484713440710341	0.7683219733226295	0.7357982063840116	0.3849499301876777	0.3295854930765927	0.002464346936903894	0	pass	none
hyperparameter_search	mass_aware	3	0	232	58	45559	11767	0.9989684781992881	0.7834884678606189	0.8127015430391484	0.8179588160534821	0.5300143012247459	0.4281878179172054	0.0033981999149546027	0	pass	none
hyperparameter_search	mass_aware	3	1	232	58	45504	11822	1.0026857730649654	0.7719975056772026	0.8047210729515886	0.8113277700957123	0.5298274574978246	0.5453064539469779	0.003818571916781366	0	pass	none
hyperparameter_search	mass_aware	3	2	231	59	46147	11179	0.9785203482756778	0.8007771642160368	0.818361329201764	0.7769330633471785	0.4678872603125421	0.46163487003650516	0.0037752699572592974	0	pass	none
hyperparameter_search	mass_aware	3	3	227	63	45756	11570	1.047112520024319	0.7628947904481728	0.8279067562247338	0.7458632732774101	0.5631233907122892	0.5008221849566326	0.004297815961763263	0	pass	none
hyperparameter_search	mass_aware	3	4	238	52	46338	10988	0.9763888110014965	0.7558509661607556	0.7818039130927018	0.7430075676733572	0.41026483111598044	0.4457151199458167	0.0031994489254429936	0	pass	none
hyperparameter_search	mass_aware	4	0	232	58	45559	11767	0.9989684781992881	0.779313653109885	0.8133746336309534	0.8152369226813204	0.5316249534184845	0.5087404960067943	0.004297406994737685	0	pass	none
hyperparameter_search	mass_aware	4	1	232	58	45504	11822	1.0026857730649654	0.769771696767013	0.8005666932026716	0.8103801121308294	0.5260314999298317	0.5353690079646185	0.003909885999746621	0	pass	none
hyperparameter_search	mass_aware	4	2	231	59	46147	11179	0.9785203482756778	0.7914580613718605	0.8161858881108831	0.7699070225870523	0.46630956110048216	0.4571272329194471	0.003849912085570395	0	pass	none
hyperparameter_search	mass_aware	4	3	227	63	45756	11570	1.047112520024319	0.7651351897447851	0.8276254309061752	0.7505779881306909	0.563229702496726	0.5078956430079415	0.0039693498983979225	0	pass	none
hyperparameter_search	mass_aware	4	4	238	52	46338	10988	0.9763888110014965	0.7583201992176773	0.7818300617017115	0.7455101218207016	0.4113530256953238	0.3843005299568176	0.003192355972714722	0	pass	none
hyperparameter_search	mass_aware	5	0	232	58	45559	11767	0.9989684781992881	0.7794000463101343	0.8136495164663868	0.8137173245511296	0.5323919436558726	0.5631888939533383	0.0041870661079883575	0	pass	none
hyperparameter_search	mass_aware	5	1	232	58	45504	11822	1.0026857730649654	0.7705791282591605	0.8026881954021698	0.8102598006634805	0.5253575516171405	0.4940068300347775	0.003519149962812662	0	pass	none
hyperparameter_search	mass_aware	5	2	231	59	46147	11179	0.9785203482756778	0.8019013801890579	0.8170600964270835	0.7778901910540226	0.4680581284983706	0.35577887296676636	0.0033472819486632943	0	pass	none
hyperparameter_search	mass_aware	5	3	227	63	45756	11570	1.047112520024319	0.7626304712135834	0.8264917035557561	0.7506295865355349	0.5613676414437151	0.5032597210956737	0.003595725982449949	0	pass	none
hyperparameter_search	mass_aware	5	4	238	52	46338	10988	0.9763888110014965	0.7594159924137913	0.7804437673037536	0.745859109752497	0.4099359932394664	0.5872424159897491	0.003991773002780974	0	pass	none
hyperparameter_search	mass_aware	6	0	232	58	45559	11767	0.9989684781992881	0.7850730020430374	0.8171151989092167	0.8217374791148166	0.5422663114767683	0.4849026429001242	0.004742686985991895	0	pass	none
hyperparameter_search	mass_aware	6	1	232	58	45504	11822	1.0026857730649654	0.7769541892423398	0.8095133212613199	0.8119488335484183	0.5411368085115894	0.8362565659917891	0.00535711005795747	0	pass	none
hyperparameter_search	mass_aware	6	2	231	59	46147	11179	0.9785203482756778	0.802148658714852	0.8195647969538858	0.7769088530710042	0.4813937606526159	0.4380480289692059	0.004475035006180406	0	pass	none
hyperparameter_search	mass_aware	6	3	227	63	45756	11570	1.047112520024319	0.7604961027339223	0.8310794979883044	0.7278231251466243	0.5712799988072127	2.202696357970126	0.007697129971347749	0	pass	none
hyperparameter_search	mass_aware	6	4	238	52	46338	10988	0.9763888110014965	0.7616275842121301	0.7858785610996182	0.7460478398152515	0.4183214489581447	0.6508589629083872	0.005562421982176602	0	pass	none
hyperparameter_search	mass_aware	7	0	232	58	45559	11767	0.9989684781992881	0.7802316167765406	0.8169220456411086	0.822067347491235	0.5439843090114939	0.44301229796838015	0.0043069650419056416	0	pass	none
