trial_id	is_baseline	n_estimators	max_depth	learning_rate	min_child_weight	subsample	colsample_bytree	reg_lambda	reg_alpha	gamma	complexity_proxy	selection_seed	status
0	True	400	3	0.05	3	0.9	0.9	5.0	0.1	0.0	3200	20260725	pass
1	False	200	2	0.03	1	0.9	0.9	5.0	0.0	0.1	800	20260725	pass
2	False	200	2	0.03	3	0.9	1.0	20.0	0.0	0.0	800	20260725	pass
3	False	200	3	0.05	1	0.75	0.75	1.0	1.0	0.1	1600	20260725	pass
4	False	200	3	0.05	1	0.9	0.75	20.0	1.0	0.0	1600	20260725	pass
5	False	200	3	0.05	7	0.75	0.75	20.0	0.0	0.0	1600	20260725	pass
6	False	200	4	0.08	3	0.9	0.9	1.0	0.1	0.0	3200	20260725	pass
7	False	200	4	0.08	3	0.9	0.9	1.0	1.0	0.1	3200	20260725	pass
8	False	200	5	0.03	1	0.9	0.75	20.0	0.1	0.1	6400	20260725	pass
9	False	200	5	0.08	1	1.0	0.9	5.0	0.0	0.0	6400	20260725	pass
10	False	400	2	0.03	7	1.0	0.75	20.0	1.0	0.0	1600	20260725	pass
11	False	400	2	0.08	7	0.9	1.0	20.0	0.1	0.1	1600	20260725	pass
12	False	400	3	0.05	7	1.0	0.9	20.0	0.1	0.0	3200	20260725	pass
13	False	400	3	0.08	3	0.75	0.75	1.0	0.1	0.1	3200	20260725	pass
14	False	400	3	0.08	3	1.0	0.9	20.0	0.0	0.0	3200	20260725	pass
15	False	400	3	0.08	7	1.0	0.9	20.0	0.1	0.1	3200	20260725	pass
16	False	400	4	0.05	7	1.0	0.9	5.0	0.0	0.1	6400	20260725	pass
17	False	400	4	0.08	7	1.0	0.9	20.0	1.0	0.1	6400	20260725	pass
18	False	400	5	0.03	7	0.75	0.75	1.0	1.0	0.1	12800	20260725	pass
19	False	700	2	0.05	7	1.0	0.75	5.0	0.0	0.0	2800	20260725	pass
20	False	700	3	0.05	7	0.75	0.75	20.0	1.0	0.0	5600	20260725	pass
21	False	700	3	0.08	1	0.75	1.0	20.0	0.0	0.1	5600	20260725	pass
22	False	700	4	0.05	1	1.0	0.9	5.0	1.0	0.0	11200	20260725	pass
23	False	700	4	0.05	3	1.0	1.0	20.0	1.0	0.0	11200	20260725	pass
