manifest_process_or_mode	background_family	source_field	train_members	train_candidate_rows	validation_members_from_manifest	validation_candidate_rows_from_manifest	status
bbh_hbb_4fs	single_higgs	process_or_mode	4	1371	1	344	pass
ggh_hbb	single_higgs	process_or_mode	8	38	2	5	pass
qcd_bbbb_general	qcd_multijet	process_or_mode	12	4312	3	1104	pass
qcd_bbbb_iht400to600	qcd_multijet	process_or_mode	12	18495	3	4605	pass
qcd_hardqcd	qcd_multijet	process_or_mode	186	56	56	6	pass
schannel_single_top	single_top	process_or_mode	2	12	1	9	pass
tchannel_antitop	single_top	process_or_mode	6	23	2	12	pass
tchannel_top	single_top	process_or_mode	6	19	2	5	pass
ttbar_inclusive	ttbar	process_or_mode	60	1947	15	492	pass
tth_hbb	top_associated	process_or_mode	3	3657	1	1204	pass
tttt	top_associated	process_or_mode	4	7766	0	0	pass
ttw	top_associated	process_or_mode	5	297	1	51	pass
ttz_zbb	top_associated	process_or_mode	3	3169	1	1104	pass
tw_antitop	single_top	process_or_mode	5	74	2	34	pass
tw_top	single_top	process_or_mode	5	47	2	32	pass
vbf_hbb	single_higgs	process_or_mode	4	24	1	6	pass
wh_hbb	single_higgs	process_or_mode	5	33	1	5	pass
ww	diboson	process_or_mode	3	0	1	0	pass
wwz_zbb	triboson	process_or_mode	4	33	1	14	pass
wz_zbb	diboson	process_or_mode	5	7	1	0	pass
wzz_zbb	triboson	process_or_mode	4	68	1	13	pass
zbbbb	zbbbb	process_or_mode	20	5845	5	1439	pass
zzz_zbb	triboson	process_or_mode	4	58	1	15	pass
