feature_order_mass_aware	feature	source_column_or_expression	logical_dtype	minimum	maximum	mean	standard_deviation	finite_rows	nonfinite_rows	missing_rows	unique_values	constant_feature	status
1	n_selected_jets	n_selected_jets	int64	4.0	18.0	5.889805672818617	1.9491713970398084	57326	0	0	15	False	pass
2	n_selected_bjets	n_selected_bjets	int64	4.0	8.0	4.108275477095908	0.34020640648042133	57326	0	0	5	False	pass
3	ht_selected_jets	ht_selected_jets	float64	128.2667293548584	4855.979793548584	545.4273433515616	307.933254952143	57326	0	0	57321	False	pass
4	ht_selected_bjets	ht_selected_bjets	float64	126.75439453125	2635.766357421875	392.151707310356	162.86168125319892	57326	0	0	57313	False	pass
5	ht_candidate_jets	ht_candidate_jets	float64	126.75439453125	2372.279499053955	377.9187797463473	150.23658227953683	57326	0	0	57310	False	pass
6	mhh	mhh	float64	94.60035235494666	3320.7586046198694	500.8964594969056	235.6848693907367	57326	0	0	57326	False	pass
7	hh_pt	hh_pt	float64	0.5074492885299083	1349.3539781250354	106.15836735574698	94.31036642469925	57326	0	0	57326	False	pass
8	abs_hh_eta	abs(hh_eta)	float64	0.00021501429223078224	7.252640305059506	1.9823328068461168	1.13437531373188	57326	0	0	57326	False	pass
9	h1_pt	h1_pt	float64	2.4376129911930104	1410.8860516252867	174.50056137819925	102.66017993801054	57326	0	0	57326	False	pass
10	abs_h1_eta	abs(h1_eta)	float64	3.980371307314413e-05	4.944809471738764	1.1027044057882462	0.7179454974688099	57326	0	0	57326	False	pass
11	h2_pt	h2_pt	float64	0.2968049929464987	1128.3680136116438	111.32545445014229	74.0457789234567	57326	0	0	57326	False	pass
12	abs_h2_eta	abs(h2_eta)	float64	2.4820891728414213e-05	7.856552967848874	1.3804026066913484	0.8925995513199394	57326	0	0	57326	False	pass
13	abs_h_delta_eta	abs(h_delta_eta)	float64	3.320835151865431e-05	9.48060653563309	1.490461675425115	1.1613208347805832	57326	0	0	57326	False	pass
14	abs_h_delta_phi	abs(h_delta_phi)	float64	0.0001730631881893263	3.1415883270377134	2.4009649411363916	0.7835928875960263	57326	0	0	57326	False	pass
15	h_delta_r	h_delta_r	float64	0.02135052831836035	9.781918967365153	3.0138341531441224	0.9303742508290502	57326	0	0	57326	False	pass
16	h_pt_balance	h_pt_balance	float64	1.2442579491081708e-05	0.9897284804159173	0.24258269442048302	0.2043999203618409	57326	0	0	57326	False	pass
17	drbb1	drbb1	float64	0.39125796235893157	4.975778189657652	1.7233731386462579	0.795994844257682	57326	0	0	57326	False	pass
18	drbb2	drbb2	float64	0.38977099381598745	5.229796866911479	2.1614102837425744	0.8351173909212929	57326	0	0	57326	False	pass
19	j1_pt	j1_pt	float64	32.78428268432617	1389.34765625	154.8960055511728	81.28510460830438	57326	0	0	57233	False	pass
20	abs_j1_eta	abs(j1_eta)	float64	4.442875706445193e-06	2.4998064041137695	0.9033259307940027	0.6165352094333205	57326	0	0	57275	False	pass
21	j1_mass	j1_mass	float64	0.0005222932086326182	218.94004821777344	17.409118787546976	12.529081745888329	57326	0	0	57245	False	pass
22	j2_pt	j2_pt	float64	31.08867645263672	1099.8572998046875	104.63266841639022	49.23825689959768	57326	0	0	57227	False	pass
23	abs_j2_eta	abs(j2_eta)	float64	1.1417121186241275e-06	2.499213457107544	0.9496800066729606	0.6367222778088563	57326	0	0	57281	False	pass
24	j2_mass	j2_mass	float64	0.0005258750752545893	226.2880096435547	12.746463975416317	7.075411736524229	57326	0	0	57225	False	pass
25	j3_pt	j3_pt	float64	30.07115364074707	474.8525695800781	70.41443876958469	29.284017373924883	57326	0	0	57232	False	pass
26	abs_j3_eta	abs(j3_eta)	float64	2.117264739354141e-05	2.4991960525512695	0.9848078530348585	0.6504554390044838	57326	0	0	57276	False	pass
27	j3_mass	j3_mass	float64	-1.1680077705022995e-06	89.81228637695312	9.547209251829017	4.202260236612036	57326	0	0	57222	False	pass
28	j4_pt	j4_pt	float64	30.000701904296875	306.9653625488281	47.97566700919959	18.119976788065575	57326	0	0	57182	False	pass
29	abs_j4_eta	abs(j4_eta)	float64	2.443320227030199e-05	2.499868631362915	1.0175675729820977	0.6635005223817632	57326	0	0	57260	False	pass
30	j4_mass	j4_mass	float64	-1.3486991292666062e-06	46.310428619384766	7.335141915140064	2.8193797122064677	57326	0	0	57182	False	pass
31	mbb1	mbb1	float64	16.53311961284484	1247.7421784761034	142.6021367004414	70.80686797422894	57326	0	0	57326	False	pass
32	mbb2	mbb2	float64	18.501580014332692	1218.1053907432508	141.4117568834388	70.38235850270094	57326	0	0	57326	False	pass
33	delta_mbb	delta_mbb	float64	0.0012775612659510216	1002.8327263550268	63.74724042125475	70.21968725900625	57326	0	0	57326	False	pass
34	r_hh_125_125	r_hh_125_125	float64	0.13266547893476874	1139.0382853060385	73.82975219145072	71.38373492956018	57326	0	0	57326	False	pass
