fold	composition_level	category	sample_class	members	candidate_bearing_members	candidate_rows	family_train_members	family_expected_in_every_fold	unavoidable_absence	status
0	binary_class	signal	signal	18	18	2223	88	True	False	pass
0	binary_class	background	background	70	40	9544	370	True	False	pass
0	signal_mode	ggf_hh4b	signal	16	16	979	80	True	False	pass
0	signal_mode	vbf_hh4b	signal	2	2	1244	8	True	False	pass
0	background_family	diboson	background	2	1	2	8	True	False	pass
0	background_family	qcd_multijet	background	42	14	4569	210	True	False	pass
0	background_family	single_higgs	background	1	1	334	21	True	False	pass
0	background_family	single_top	background	5	4	36	24	True	False	pass
0	background_family	top_associated	background	2	2	3012	15	True	False	pass
0	background_family	triboson	background	2	2	29	12	True	False	pass
0	background_family	ttbar	background	12	12	391	60	True	False	pass
0	background_family	zbbbb	background	4	4	1171	20	True	False	pass
1	binary_class	signal	signal	18	18	2232	88	True	False	pass
1	binary_class	background	background	70	40	9590	370	True	False	pass
1	signal_mode	ggf_hh4b	signal	16	16	980	80	True	False	pass
1	signal_mode	vbf_hh4b	signal	2	2	1252	8	True	False	pass
1	background_family	diboson	background	1	1	2	8	True	False	pass
1	background_family	qcd_multijet	background	42	13	4569	210	True	False	pass
1	background_family	single_higgs	background	1	1	344	21	True	False	pass
1	background_family	single_top	background	5	4	35	24	True	False	pass
1	background_family	top_associated	background	2	2	3042	15	True	False	pass
1	background_family	triboson	background	3	3	37	12	True	False	pass
1	background_family	ttbar	background	12	12	390	60	True	False	pass
1	background_family	zbbbb	background	4	4	1171	20	True	False	pass
2	binary_class	signal	signal	17	17	1622	88	True	False	pass
2	binary_class	background	background	69	42	9557	370	True	False	pass
2	signal_mode	ggf_hh4b	signal	16	16	977	80	True	False	pass
2	signal_mode	vbf_hh4b	signal	1	1	645	8	True	False	pass
2	background_family	diboson	background	1	1	2	8	True	False	pass
2	background_family	qcd_multijet	background	42	15	4569	210	True	False	pass
2	background_family	single_higgs	background	1	1	334	21	True	False	pass
2	background_family	single_top	background	5	5	35	24	True	False	pass
2	background_family	top_associated	background	2	2	3035	15	True	False	pass
2	background_family	triboson	background	2	2	30	12	True	False	pass
2	background_family	ttbar	background	12	12	390	60	True	False	pass
2	background_family	zbbbb	background	4	4	1162	20	True	False	pass
3	binary_class	signal	signal	18	18	2230	88	True	False	pass
3	binary_class	background	background	85	45	9340	370	True	False	pass
3	signal_mode	ggf_hh4b	signal	16	16	980	80	True	False	pass
3	signal_mode	vbf_hh4b	signal	2	2	1250	8	True	False	pass
3	background_family	diboson	background	2	1	1	8	True	False	pass
3	background_family	qcd_multijet	background	42	3	4586	210	True	False	pass
3	background_family	single_higgs	background	17	17	95	21	True	False	pass
3	background_family	single_top	background	4	4	35	24	True	False	pass
3	background_family	top_associated	background	2	2	3035	15	True	False	pass
3	background_family	triboson	background	2	2	29	12	True	False	pass
3	background_family	ttbar	background	12	12	390	60	True	False	pass
3	background_family	zbbbb	background	4	4	1169	20	True	False	pass
4	binary_class	signal	signal	17	17	1668	88	True	False	pass
4	binary_class	background	background	76	35	9320	370	True	False	pass
4	signal_mode	ggf_hh4b	signal	16	16	977	80	True	False	pass
4	signal_mode	vbf_hh4b	signal	1	1	691	8	True	False	pass
4	background_family	diboson	background	2	0	0	8	True	False	pass
4	background_family	qcd_multijet	background	42	3	4570	210	True	False	pass
4	background_family	single_higgs	background	1	1	359	21	True	False	pass
4	background_family	single_top	background	5	5	34	24	True	False	pass
4	background_family	top_associated	background	7	7	2765	15	True	False	pass
4	background_family	triboson	background	3	3	34	12	True	False	pass
4	background_family	ttbar	background	12	12	386	60	True	False	pass
4	background_family	zbbbb	background	4	4	1172	20	True	False	pass
