path	artifact_type	apparent_population	apparent_split_policy	feature_definition	physical_weight_status	canonical_v1_compatibility	disposition
Results Summaries/RESULTS_TTBAR_BDT_BASELINE.md	bdt_related_file	legacy_ttbar_focused_population	test_split_referenced_policy_not_currently_proven	feature_references_present_definition_not_frozen	weighting_referenced_physical_status_unresolved	legacy_noncanonical_current_581_member_contract_not_proven	retain_unchanged_do_not_reuse_as_canonical_bdt
backgrounds/qcd_bdtv2_nominal_plus_extra	result_directory	population_not_recoverable	not_recoverable_from_inventory	not_recoverable_from_inventory	not_recoverable_from_inventory	legacy_noncanonical_current_581_member_contract_not_proven	retain_unchanged_do_not_reuse_as_canonical_bdt
backgrounds/qcd_bdtv2_nominal_plus_extra/README.md	bdt_related_file	population_not_recoverable	not_recoverable_from_inventory	not_recoverable_from_inventory	physical_or_luminosity_weighting_referenced	legacy_noncanonical_current_581_member_contract_not_proven	retain_unchanged_do_not_reuse_as_canonical_bdt
backgrounds/qcd_bdtv2_nominal_plus_extra/combined_qcd_bdtv2_samples_summary.csv	bdt_related_file	population_not_recoverable	not_recoverable_from_inventory	not_recoverable_from_inventory	weighting_referenced_physical_status_unresolved	legacy_noncanonical_current_581_member_contract_not_proven	retain_unchanged_do_not_reuse_as_canonical_bdt
backgrounds/qcd_bdtv2_nominal_plus_extra/qcd_bbbb_iht200to400_combined220k_bdtv2_summary.txt	bdt_related_file	population_not_recoverable	not_recoverable_from_inventory	not_recoverable_from_inventory	weighting_referenced_physical_status_unresolved	legacy_noncanonical_current_581_member_contract_not_proven	retain_unchanged_do_not_reuse_as_canonical_bdt
backgrounds/qcd_bdtv2_nominal_plus_extra/qcd_bbbb_iht400to600_combined120k_bdtv2_summary.txt	bdt_related_file	population_not_recoverable	not_recoverable_from_inventory	not_recoverable_from_inventory	weighting_referenced_physical_status_unresolved	legacy_noncanonical_current_581_member_contract_not_proven	retain_unchanged_do_not_reuse_as_canonical_bdt
docs/harvey_update_2026_07_08/tables/cut_vs_bdt_auc.md	bdt_related_file	population_not_recoverable	not_recoverable_from_inventory	feature_references_present_definition_not_frozen	weighting_referenced_physical_status_unresolved	legacy_noncanonical_current_581_member_contract_not_proven	retain_unchanged_do_not_reuse_as_canonical_bdt
docs/harvey_update_2026_07_08/tables/presentation_cut_vs_bdt_compact_summary.md	bdt_related_file	population_not_recoverable	not_recoverable_from_inventory	feature_references_present_definition_not_frozen	not_recoverable_from_inventory	legacy_noncanonical_current_581_member_contract_not_proven	retain_unchanged_do_not_reuse_as_canonical_bdt
docs/rough_normalized_bdt_status.md	bdt_related_file	population_not_recoverable	test_split_referenced_policy_not_currently_proven	feature_references_present_definition_not_frozen	weighting_referenced_physical_status_unresolved	legacy_noncanonical_current_581_member_contract_not_proven	retain_unchanged_do_not_reuse_as_canonical_bdt
outputs/baselines/bdt_v3_qcdplus_2026_07_13	result_directory	legacy_qcdplus_population	not_recoverable_from_inventory	not_recoverable_from_inventory	not_recoverable_from_inventory	legacy_noncanonical_current_581_member_contract_not_proven	retain_unchanged_do_not_reuse_as_canonical_bdt
