member_index	sample_class	training_target	process_or_mode	stratum_type	stratum	candidate_rows	fold	assignment_algorithm	grouping_key	status
1	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	58	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
2	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	60	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
3	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	65	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
4	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	59	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
5	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	63	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
6	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	62	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
7	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	67	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
8	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	72	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
9	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	77	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
10	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	56	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
11	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	74	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
12	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	61	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
13	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	63	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
14	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	81	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
18	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	74	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
19	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	74	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
20	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	58	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
21	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	64	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
22	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	47	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
23	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	54	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
24	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	43	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
25	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	74	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
26	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	63	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
27	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	54	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
28	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	68	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
29	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	58	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
