category	fold	composition_level	component	training_target	rows	source_members	development_weight_sum	absence_recorded	required_in_every_fold	status
low_mhh	0	binary_target	signal	1	1484	18	4306.18754683	false	true	pass
low_mhh	0	binary_target	background	0	4405	36	2972.30042056	false	true	pass
low_mhh	0	signal_mode	ggf_hh4b	1	802	16	2342.36482085	false	false	pass
low_mhh	0	signal_mode	vbf_hh4b	1	682	2	1963.82272598	false	false	pass
low_mhh	0	background_family	diboson	0	1	1	447.859375	false	false	pass
low_mhh	0	background_family	qcd_multijet	0	1755	10	504.254106432	false	false	pass
low_mhh	0	background_family	single_higgs	0	256	1	130.769318506	false	false	pass
low_mhh	0	background_family	single_top	0	16	4	280.348336039	false	false	pass
low_mhh	0	background_family	top_associated	0	1246	2	211.356397848	false	false	pass
low_mhh	0	background_family	triboson	0	18	2	396.001973684	false	false	pass
low_mhh	0	background_family	ttbar	0	263	12	482.054441958	false	false	pass
low_mhh	0	background_family	zbbbb	0	850	4	519.656471094	false	false	pass
low_mhh	1	binary_target	signal	1	1462	18	4233.29893979	false	true	pass
low_mhh	1	binary_target	background	0	4634	37	3193.05893012	false	true	pass
low_mhh	1	signal_mode	ggf_hh4b	1	781	16	2285.09265477	false	false	pass
low_mhh	1	signal_mode	vbf_hh4b	1	681	2	1948.20628502	false	false	pass
low_mhh	1	background_family	diboson	0	1	1	447.859375	false	false	pass
low_mhh	1	background_family	qcd_multijet	0	1846	10	479.527417994	false	false	pass
low_mhh	1	background_family	single_higgs	0	239	1	118.536423726	false	false	pass
low_mhh	1	background_family	single_top	0	23	4	460.655357143	false	false	pass
low_mhh	1	background_family	top_associated	0	1390	2	233.525801476	false	false	pass
low_mhh	1	background_family	triboson	0	18	3	449.135327635	false	false	pass
low_mhh	1	background_family	ttbar	0	261	12	480.0082554	false	false	pass
low_mhh	1	background_family	zbbbb	0	856	4	523.810971741	false	false	pass
low_mhh	2	binary_target	signal	1	1150	17	3316.68121476	false	true	pass
low_mhh	2	binary_target	background	0	4420	36	2886.41992771	false	true	pass
low_mhh	2	signal_mode	ggf_hh4b	1	782	16	2294.58974189	false	false	pass
low_mhh	2	signal_mode	vbf_hh4b	1	368	1	1022.09147287	false	false	pass
low_mhh	2	background_family	diboson	0	1	1	447.859375	false	false	pass
low_mhh	2	background_family	qcd_multijet	0	1747	10	421.823495428	false	false	pass
low_mhh	2	background_family	single_higgs	0	247	1	126.171959652	false	false	pass
low_mhh	2	background_family	single_top	0	16	4	272.228247549	false	false	pass
low_mhh	2	background_family	top_associated	0	1292	2	219.206859238	false	false	pass
low_mhh	2	background_family	triboson	0	21	2	431.271990741	false	false	pass
low_mhh	2	background_family	ttbar	0	243	12	441.730112167	false	false	pass
low_mhh	2	background_family	zbbbb	0	853	4	526.127887938	false	false	pass
low_mhh	3	binary_target	signal	1	1472	18	4262.94317466	false	true	pass
low_mhh	3	binary_target	background	0	3624	44	3562.47436339	false	true	pass
low_mhh	3	signal_mode	ggf_hh4b	1	793	16	2315.82345375	false	false	pass
low_mhh	3	signal_mode	vbf_hh4b	1	679	2	1947.11972092	false	false	pass
