member_index	category	sample_class	process_or_mode	frozen_stratum	fold	rows	development_weight_sum	status
1	low_mhh	signal	ggf_hh4b	ggf_hh4b	1	47	145.168211207	pass
1	high_mhh	signal	ggf_hh4b	ggf_hh4b	1	11	33.9755387931	pass
2	low_mhh	signal	ggf_hh4b	ggf_hh4b	3	46	137.343541667	pass
2	high_mhh	signal	ggf_hh4b	ggf_hh4b	3	14	41.8002083333	pass
3	low_mhh	signal	ggf_hh4b	ggf_hh4b	1	49	135.046826923	pass
3	high_mhh	signal	ggf_hh4b	ggf_hh4b	1	16	44.0969230769	pass
4	low_mhh	signal	ggf_hh4b	ggf_hh4b	2	44	133.598728814	pass
4	high_mhh	signal	ggf_hh4b	ggf_hh4b	2	15	45.5450211864	pass
5	low_mhh	signal	ggf_hh4b	ggf_hh4b	1	52	147.86468254	pass
5	high_mhh	signal	ggf_hh4b	ggf_hh4b	1	11	31.2790674603	pass
6	low_mhh	signal	ggf_hh4b	ggf_hh4b	2	54	156.028427419	pass
6	high_mhh	signal	ggf_hh4b	ggf_hh4b	2	8	23.1153225806	pass
7	low_mhh	signal	ggf_hh4b	ggf_hh4b	2	54	144.384514925	pass
7	high_mhh	signal	ggf_hh4b	ggf_hh4b	2	13	34.7592350746	pass
8	low_mhh	signal	ggf_hh4b	ggf_hh4b	4	60	149.286458333	pass
8	high_mhh	signal	ggf_hh4b	ggf_hh4b	4	12	29.8572916667	pass
9	low_mhh	signal	ggf_hh4b	ggf_hh4b	3	68	158.20487013	pass
9	high_mhh	signal	ggf_hh4b	ggf_hh4b	3	9	20.9388798701	pass
10	low_mhh	signal	ggf_hh4b	ggf_hh4b	0	42	134.3578125	pass
10	high_mhh	signal	ggf_hh4b	ggf_hh4b	0	14	44.7859375	pass
11	low_mhh	signal	ggf_hh4b	ggf_hh4b	1	63	152.514273649	pass
11	high_mhh	signal	ggf_hh4b	ggf_hh4b	1	11	26.6294763514	pass
12	low_mhh	signal	ggf_hh4b	ggf_hh4b	4	48	140.96557377	pass
12	high_mhh	signal	ggf_hh4b	ggf_hh4b	4	13	38.1781762295	pass
13	low_mhh	signal	ggf_hh4b	ggf_hh4b	4	51	145.021130952	pass
13	high_mhh	signal	ggf_hh4b	ggf_hh4b	4	12	34.1226190476	pass
14	low_mhh	signal	ggf_hh4b	ggf_hh4b	4	64	141.545679012	pass
14	high_mhh	signal	ggf_hh4b	ggf_hh4b	4	17	37.5980709877	pass
18	low_mhh	signal	ggf_hh4b	ggf_hh4b	1	58	140.409966216	pass
18	high_mhh	signal	ggf_hh4b	ggf_hh4b	1	16	38.7337837838	pass
19	low_mhh	signal	ggf_hh4b	ggf_hh4b	2	61	147.672550676	pass
