variant	category	feature_order	feature	feature_origin	explicit_dijet_mass_plane_feature	mhh_retained	training_in_this_gate	status
global_v1_mass_aware_reference	all_train_reference_or_both_categories	1	n_selected_jets	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	2	n_selected_bjets	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	3	ht_selected_jets	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	4	ht_selected_bjets	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	5	ht_candidate_jets	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	6	mhh	frozen_bdt_v1	false	true	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	7	hh_pt	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	8	abs_hh_eta	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	9	h1_pt	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	10	abs_h1_eta	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	11	h2_pt	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	12	abs_h2_eta	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	13	abs_h_delta_eta	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	14	abs_h_delta_phi	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	15	h_delta_r	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	16	h_pt_balance	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	17	drbb1	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	18	drbb2	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	19	j1_pt	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	20	abs_j1_eta	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	21	j1_mass	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	22	j2_pt	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	23	abs_j2_eta	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	24	j2_mass	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	25	j3_pt	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	26	abs_j3_eta	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	27	j3_mass	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	28	j4_pt	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	29	abs_j4_eta	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	30	j4_mass	frozen_bdt_v1	false	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	31	mbb1	frozen_bdt_v1	true	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	32	mbb2	frozen_bdt_v1	true	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	33	delta_mbb	frozen_bdt_v1	true	false	false	pass
global_v1_mass_aware_reference	all_train_reference_or_both_categories	34	r_hh_125_125	frozen_bdt_v1	true	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	1	n_selected_jets	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	2	n_selected_bjets	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	3	ht_selected_jets	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	4	ht_selected_bjets	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	5	ht_candidate_jets	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	6	mhh	frozen_bdt_v1	false	true	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	7	hh_pt	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	8	abs_hh_eta	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	9	h1_pt	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	10	abs_h1_eta	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	11	h2_pt	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	12	abs_h2_eta	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	13	abs_h_delta_eta	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	14	abs_h_delta_phi	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	15	h_delta_r	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	16	h_pt_balance	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	17	drbb1	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	18	drbb2	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	19	j1_pt	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	20	abs_j1_eta	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	21	j1_mass	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	22	j2_pt	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	23	abs_j2_eta	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	24	j2_mass	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	25	j3_pt	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	26	abs_j3_eta	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	27	j3_mass	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	28	j4_pt	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	29	abs_j4_eta	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	30	j4_mass	frozen_bdt_v1	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	31	mbb1	frozen_bdt_v1	true	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	32	mbb2	frozen_bdt_v1	true	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	33	delta_mbb	frozen_bdt_v1	true	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	34	r_hh_125_125	frozen_bdt_v1	true	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	35	dr_j1_j2	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	36	dr_j1_j3	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	37	dr_j1_j4	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	38	dr_j2_j3	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	39	dr_j2_j4	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	40	dr_j3_j4	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	41	min_candidate_pair_dr	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	42	max_candidate_pair_dr	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	43	mean_candidate_pair_dr	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	44	min_cross_higgs_pair_dr	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	45	max_cross_higgs_pair_dr	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	46	candidate_vector_pt_sum	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	47	cos_theta_star_h1_in_hh_rest	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	48	abs_cos_theta_star_h1_in_hh_rest	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	49	cos_theta_j1_in_h1_rest	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	50	abs_cos_theta_j1_in_h1_rest	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	51	cos_theta_j_h2_leading_in_h2_rest	cms_inspired_derived	false	false	false	pass
low_mhh_cms_inspired_mass_aware	low_mhh	52	abs_cos_theta_j_h2_leading_in_h2_rest	cms_inspired_derived	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	1	n_selected_jets	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	2	n_selected_bjets	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	3	ht_selected_jets	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	4	ht_selected_bjets	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	5	ht_candidate_jets	frozen_bdt_v1	false	false	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	6	mhh	frozen_bdt_v1	false	true	false	pass
high_mhh_cms_inspired_mass_aware	high_mhh	7	hh_pt	frozen_bdt_v1	false	false	false	pass
