variant	feature_order	feature	latex_label	mean_normalized_gain_importance	standard_deviation_normalized_gain_importance	minimum_normalized_gain_importance	maximum_normalized_gain_importance	folds	importance_type	interpretation	strategy	category	rank	status
categorized_cms_inspired_mass_aware	1	n_selected_jets	$N_{\mathrm{jet}}$	0.03232216775776545	0.005682167135088904	0.026617092666494712	0.041574077384245504	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh	5	pass
categorized_cms_inspired_mass_aware	2	n_selected_bjets	$N_{b\mathrm{-jet}}$	0.032841600747581176	0.009927957205745193	0.023463408124138163	0.050860388555931536	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh	4	pass
categorized_cms_inspired_mass_aware	3	ht_selected_jets	$H_{\mathrm{T}}^{\mathrm{jets}}$	0.01083318248495614	0.0019823239827281226	0.0076964564454839336	0.013637565646708668	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	4	ht_selected_bjets	$H_{\mathrm{T}}^{b\mathrm{-jets}}$	0.016196063421006213	0.004656334010176531	0.009460614067805816	0.021756682592583836	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	5	ht_candidate_jets	$H_{\mathrm{T}}^{HH\ \mathrm{jets}}$	0.02266382086301833	0.010572079119081916	0.010332677970602578	0.039703498906883405	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh	13	pass
categorized_cms_inspired_mass_aware	6	mhh	$m_{HH}$	0.015327281962615588	0.005208132758903463	0.006708732356012981	0.01992629142859747	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	7	hh_pt	$p_{\mathrm{T}}^{HH}$	0.024277451271421512	0.0027948955858484994	0.02090088398862109	0.028629801252399643	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh	9	pass
categorized_cms_inspired_mass_aware	8	abs_hh_eta	$|\eta_{HH}|$	0.012559616653632366	0.0030269949173481804	0.008310768208169903	0.016786666719624116	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	9	h1_pt	$p_{\mathrm{T}}^{H_1}$	0.014140161221844019	0.004093987343107824	0.010045868364626257	0.02124234298245874	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	10	abs_h1_eta	$|\eta_{H_1}|$	0.012210940052804091	0.0033070575988737873	0.008533015369375611	0.018381117023713082	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
