evaluation_stage	strategy	category	trial_id	fold	training_rows	heldout_rows	training_members	heldout_members	fit_weight_mean	weighted_roc_auc	raw_roc_auc	weighted_average_precision	raw_average_precision	training_time_seconds	member_leakage	fit_status	failure_reason
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	0	0	22275	5889	222	54	1.0	0.7785864849925284	0.7757192879936118	0.8269285330733751	0.5545139290625161	0.7394027779810131	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	0	1	22068	6096	221	55	0.9999999999999999	0.7193728321609876	0.7689297035472659	0.7989951753376688	0.5396074249203393	0.6943342339945957	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	0	2	22594	5570	223	53	1.0	0.7694464409325499	0.786938422191619	0.7905691413470345	0.505230724617304	0.6192747009918094	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	0	3	23068	5096	214	62	1.0000000000000002	0.7483554341922752	0.7749093265608503	0.7894856870587761	0.581703004116152	0.6304762319196016	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	0	4	22651	5513	224	52	0.9999999999999999	0.7456285382014002	0.734736331189016	0.7522086571554136	0.4482742836171281	0.6491013789782301	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	1	0	22275	5889	222	54	1.0	0.7730098913717187	0.7501070824320563	0.8091336422355342	0.511622532248115	0.3046251890482381	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	1	1	22068	6096	221	55	0.9999999999999999	0.6966484744454621	0.7393406670614567	0.7707592862575121	0.4949567544584565	0.42975504708010703	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	1	2	22594	5570	223	53	1.0	0.7622905458087108	0.7654508164469801	0.7851199176319328	0.47942668104062464	0.4274386839242652	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	1	3	23068	5096	214	62	1.0000000000000002	0.7589520444349469	0.7582812387525194	0.7941645746291355	0.5550337279286481	0.4119231749791652	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	1	4	22651	5513	224	52	0.9999999999999999	0.7300643208147667	0.7132186943826178	0.7454406172849267	0.4226313527121758	0.41874751704744995	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	2	0	22275	5889	222	54	1.0	0.771780711383399	0.7476906143778053	0.8112261059409884	0.5118101748919165	0.8537974039791152	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	2	1	22068	6096	221	55	0.9999999999999999	0.6914163258612291	0.739158229159717	0.7674603990130784	0.4930053991553336	0.3469401439651847	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	2	2	22594	5570	223	53	1.0	0.7631035271096548	0.7645813495966949	0.7842203328578348	0.4780445674943266	0.3052530580898747	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	2	3	23068	5096	214	62	1.0000000000000002	0.757651021632799	0.7575302819668394	0.7926830576210561	0.5553712587383267	0.2631773309549317	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	2	4	22651	5513	224	52	0.9999999999999999	0.7310683292325185	0.7143087902272804	0.7472677184363419	0.42318378301323994	0.35970384802203625	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	3	0	22275	5889	222	54	1.0	0.7739397612047341	0.7703436734169394	0.8251524089756659	0.5500881218098221	0.370230016997084	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	3	1	22068	6096	221	55	0.9999999999999999	0.7151226131011355	0.7596178427810385	0.7913713881974596	0.5299979492458178	0.3545624290127307	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	3	2	22594	5570	223	53	1.0	0.7508761196703602	0.7818399567184733	0.7835219987710732	0.5007639785062965	0.3383894559228793	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	3	3	23068	5096	214	62	1.0000000000000002	0.7562043772564154	0.7731068240714081	0.7943667742555682	0.5755102528184761	0.5541590170469135	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	3	4	22651	5513	224	52	0.9999999999999999	0.7396324073510528	0.7291916090446832	0.745976941728772	0.44038582553697275	0.4869457270251587	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	4	0	22275	5889	222	54	1.0	0.7743708856144136	0.7675264876044436	0.8234007351845287	0.5445829741925231	0.40591652400325984	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	4	1	22068	6096	221	55	0.9999999999999999	0.7116473530615962	0.7590846990099348	0.7883868744267831	0.5275210435749218	0.3269495500717312	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	4	2	22594	5570	223	53	1.0	0.7647427236400544	0.7807419830808577	0.7869309192762238	0.4977873393616643	0.5166227989830077	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	4	3	23068	5096	214	62	1.0000000000000002	0.750775483243345	0.7705009702826567	0.7888720991259737	0.5772074054484535	0.4582307339878753	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	4	4	22651	5513	224	52	0.9999999999999999	0.7373343957337871	0.7276577376346888	0.7478018344755655	0.437231318693094	0.35233322298154235	0	pass	none
