category	trial_id	n_estimators	max_depth	learning_rate	min_child_weight	subsample	colsample_bytree	reg_lambda	reg_alpha	gamma	folds	mean_weighted_roc_auc	worst_fold_weighted_roc_auc	std_weighted_roc_auc	maximum_weighted_roc_auc	complexity_proxy	selection_rank	selected	status
low_mhh	0	400	3	0.05	3	0.9	0.9	5.0	0.1	0.0	5	0.7522779460959483	0.7193728321609876	0.020636102741954754	0.7785864849925284	3200	3	false	pass
low_mhh	1	200	2	0.03	1	0.9	0.9	5.0	0.0	0.1	5	0.744193055375121	0.6966484744454621	0.027697888984435558	0.7730098913717187	800	17	false	pass
low_mhh	2	200	2	0.03	3	0.9	1.0	20.0	0.0	0.0	5	0.7430039830439201	0.6914163258612291	0.029156041262500484	0.771780711383399	800	21	false	pass
low_mhh	3	200	3	0.05	1	0.75	0.75	1.0	1.0	0.1	5	0.7471550557167396	0.7151226131011355	0.01947215757798667	0.7739397612047341	1600	13	false	pass
low_mhh	4	200	3	0.05	1	0.9	0.75	20.0	1.0	0.0	5	0.7477741682586392	0.7116473530615962	0.02199300236040762	0.7743708856144136	1600	11	false	pass
low_mhh	5	200	3	0.05	7	0.75	0.75	20.0	0.0	0.0	5	0.7455185384319198	0.7060369403828117	0.02337553982274615	0.7767920367440317	1600	16	false	pass
low_mhh	6	200	4	0.08	3	0.9	0.9	1.0	0.1	0.0	5	0.7439510290267553	0.7093442474423087	0.02289549650489396	0.7811800562975497	3200	18	false	pass
low_mhh	7	200	4	0.08	3	0.9	0.9	1.0	1.0	0.1	5	0.7475764462873388	0.701998032147581	0.0267917778115166	0.7829364819720055	3200	12	false	pass
low_mhh	8	200	5	0.03	1	0.9	0.75	20.0	0.1	0.1	5	0.7512013200698568	0.7288022630162868	0.014777423298811682	0.7720101833616954	6400	5	false	pass
low_mhh	9	200	5	0.08	1	1.0	0.9	5.0	0.0	0.0	5	0.7369436804475425	0.6936122623557242	0.028074094085676543	0.7800288122226318	6400	24	false	pass
low_mhh	10	400	2	0.03	7	1.0	0.75	20.0	1.0	0.0	5	0.7512364529971977	0.722348946166048	0.018352266462046327	0.7712701020210174	1600	4	false	pass
low_mhh	11	400	2	0.08	7	0.9	1.0	20.0	0.1	0.1	5	0.7502221903730848	0.7224557693843685	0.019962975810200186	0.7757013895632254	1600	7	false	pass
low_mhh	12	400	3	0.05	7	1.0	0.9	20.0	0.1	0.0	5	0.7497454543815695	0.7248320656756893	0.0185321372534182	0.7779939540886729	3200	8	false	pass
low_mhh	13	400	3	0.08	3	0.75	0.75	1.0	0.1	0.1	5	0.754883655197687	0.7350747074460373	0.015447064159445642	0.7780616595465444	3200	2	false	pass
low_mhh	14	400	3	0.08	3	1.0	0.9	20.0	0.0	0.0	5	0.7480584963805526	0.7281363850758578	0.015787383882404474	0.7734640445043732	3200	10	false	pass
low_mhh	15	400	3	0.08	7	1.0	0.9	20.0	0.1	0.1	5	0.7507591771371415	0.7332678061757911	0.01570777517254817	0.776415345318056	3200	6	false	pass
low_mhh	16	400	4	0.05	7	1.0	0.9	5.0	0.0	0.1	5	0.7461911913188689	0.7196618736866042	0.020985243178601783	0.7839807261714511	6400	14	false	pass
low_mhh	17	400	4	0.08	7	1.0	0.9	20.0	1.0	0.1	5	0.7410938142377919	0.7210745205442908	0.02027612164999217	0.778959722672516	6400	23	false	pass
low_mhh	18	400	5	0.03	7	0.75	0.75	1.0	1.0	0.1	5	0.7496934584291093	0.7290409623942874	0.017346005726407515	0.7816224179856972	12800	9	false	pass
low_mhh	19	700	2	0.05	7	1.0	0.75	5.0	0.0	0.0	5	0.7560503880972189	0.7365867400730337	0.01779184547071932	0.7817512434362563	2800	1	true	pass
low_mhh	20	700	3	0.05	7	0.75	0.75	20.0	1.0	0.0	5	0.7434946737594099	0.7167579628255727	0.017357770770308336	0.7666380395588293	5600	20	false	pass
low_mhh	21	700	3	0.08	1	0.75	1.0	20.0	0.0	0.1	5	0.7436647476939402	0.7191026269971317	0.016754704673943514	0.7649057154013463	5600	19	false	pass
low_mhh	22	700	4	0.05	1	1.0	0.9	5.0	1.0	0.0	5	0.7455779582289479	0.7207006064728849	0.02479198263103433	0.7912232088470199	11200	15	false	pass
low_mhh	23	700	4	0.05	3	1.0	1.0	20.0	1.0	0.0	5	0.7429723583218782	0.7122457694417357	0.0251923604855516	0.7868952287587563	11200	22	false	pass
high_mhh	0	400	3	0.05	3	0.9	0.9	5.0	0.1	0.0	5	0.8011957483050729	0.7426410252381618	0.03898955411791011	0.8528431069467202	3200	10	false	pass
high_mhh	1	200	2	0.03	1	0.9	0.9	5.0	0.0	0.1	5	0.7832842016898549	0.7414989395860829	0.034396514854368704	0.8446682537869387	800	23	false	pass
high_mhh	2	200	2	0.03	3	0.9	1.0	20.0	0.0	0.0	5	0.7812796152790153	0.7378148467530421	0.03429115232745475	0.8418144877076956	800	24	false	pass
high_mhh	3	200	3	0.05	1	0.75	0.75	1.0	1.0	0.1	5	0.7940251488973356	0.7394678253965687	0.03546737699839802	0.8497289747123471	1600	18	false	pass
high_mhh	4	200	3	0.05	1	0.9	0.75	20.0	1.0	0.0	5	0.7915288620928536	0.7357481514089921	0.037124631914905386	0.8495259674208023	1600	21	false	pass
high_mhh	5	200	3	0.05	7	0.75	0.75	20.0	0.0	0.0	5	0.7932102399089113	0.7308805634420686	0.03973058771780684	0.8514657179378167	1600	20	false	pass
high_mhh	6	200	4	0.08	3	0.9	0.9	1.0	0.1	0.0	5	0.7974468648974513	0.7212835909751598	0.04323549410385618	0.8424149165858278	3200	15	false	pass
high_mhh	7	200	4	0.08	3	0.9	0.9	1.0	1.0	0.1	5	0.8044715922522517	0.7541114926302257	0.03548406634070801	0.8457204526251618	3200	7	false	pass
high_mhh	8	200	5	0.03	1	0.9	0.75	20.0	0.1	0.1	5	0.8067927115439053	0.732231340944356	0.04289087076569552	0.8527191498880817	6400	5	false	pass
high_mhh	9	200	5	0.08	1	1.0	0.9	5.0	0.0	0.0	5	0.8073280768983488	0.7430079053904364	0.04298617168311793	0.8509411611170985	6400	4	false	pass
high_mhh	10	400	2	0.03	7	1.0	0.75	20.0	1.0	0.0	5	0.7884279535828294	0.7510354663152214	0.03374466535738743	0.8517457690799093	1600	22	false	pass
high_mhh	11	400	2	0.08	7	0.9	1.0	20.0	0.1	0.1	5	0.7949955780318272	0.7499357428887746	0.034427580352203675	0.8552023206905692	1600	16	false	pass
high_mhh	12	400	3	0.05	7	1.0	0.9	20.0	0.1	0.0	5	0.7988691705621866	0.7348044577468802	0.03937246219501679	0.8499365913087014	3200	13	false	pass
high_mhh	13	400	3	0.08	3	0.75	0.75	1.0	0.1	0.1	5	0.7941047012341251	0.72788535361684	0.04276312906299444	0.8441618249568833	3200	17	false	pass
high_mhh	14	400	3	0.08	3	1.0	0.9	20.0	0.0	0.0	5	0.7999713590252252	0.7400177749105363	0.03854462945714628	0.8495420325172451	3200	11	false	pass
high_mhh	15	400	3	0.08	7	1.0	0.9	20.0	0.1	0.1	5	0.7976503785984216	0.7304306585581921	0.04023632766113539	0.8452466952134667	3200	14	false	pass
high_mhh	16	400	4	0.05	7	1.0	0.9	5.0	0.0	0.1	5	0.8101796325934243	0.7538905478601357	0.037671781625249236	0.8575142711925648	6400	3	false	pass
high_mhh	17	400	4	0.08	7	1.0	0.9	20.0	1.0	0.1	5	0.8047967780630391	0.7281828989598744	0.04517002046945373	0.8478367336518352	6400	6	false	pass
high_mhh	18	400	5	0.03	7	0.75	0.75	1.0	1.0	0.1	5	0.8126015975107647	0.7535547478108093	0.03551766345695903	0.8488965666721144	12800	1	true	pass
high_mhh	19	700	2	0.05	7	1.0	0.75	5.0	0.0	0.0	5	0.7938578722278107	0.7503785947151644	0.03428579017778133	0.853679935671179	2800	19	false	pass
high_mhh	20	700	3	0.05	7	0.75	0.75	20.0	1.0	0.0	5	0.8036447721912469	0.7562295428320632	0.030582998174140407	0.843330336243446	5600	8	false	pass
high_mhh	21	700	3	0.08	1	0.75	1.0	20.0	0.0	0.1	5	0.7993630267957702	0.7282066382131446	0.044267548165064174	0.8465316421236194	5600	12	false	pass
high_mhh	22	700	4	0.05	1	1.0	0.9	5.0	1.0	0.0	5	0.8111112588232128	0.7526832764597746	0.04057524603419981	0.8506044796216098	11200	2	false	pass
high_mhh	23	700	4	0.05	3	1.0	1.0	20.0	1.0	0.0	5	0.8020541053151357	0.7236922737235791	0.046499888773920084	0.8482066072707829	11200	9	false	pass
