variant	feature_order	feature	latex_label	mean_normalized_gain_importance	standard_deviation_normalized_gain_importance	minimum_normalized_gain_importance	maximum_normalized_gain_importance	folds	importance_type	interpretation	status	strategy	category	rank
categorized_cms_inspired_mass_aware	34	r_hh_125_125	$R_{HH}^{125,125}$	0.126066334095	0.0189054026978	0.105641068582	0.155186638831	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass	categorized_cms_inspired_mass_aware	low_mhh	1
categorized_cms_inspired_mass_aware	33	delta_mbb	$|m_{bb}^{H_1}-m_{bb}^{H_2}|$	0.0798174045335	0.0223229773031	0.0441051536546	0.112386097765	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass	categorized_cms_inspired_mass_aware	low_mhh	2
categorized_cms_inspired_mass_aware	41	min_candidate_pair_dr	$\min\,\Delta R_{jj}$	0.0707501507948	0.0208486181004	0.0348329844586	0.100178344027	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass	categorized_cms_inspired_mass_aware	low_mhh	3
categorized_cms_inspired_mass_aware	2	n_selected_bjets	$N_{b\mathrm{-jet}}$	0.0328416007476	0.00992795720575	0.0234634081241	0.0508603885559	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass	categorized_cms_inspired_mass_aware	low_mhh	4
categorized_cms_inspired_mass_aware	1	n_selected_jets	$N_{\mathrm{jet}}$	0.0323221677578	0.00568216713509	0.0266170926665	0.0415740773842	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass	categorized_cms_inspired_mass_aware	low_mhh	5
categorized_cms_inspired_mass_aware	39	dr_j2_j4	$\Delta R(j_2,j_4)$	0.0279444066433	0.00812468078712	0.0169853621585	0.0421231517149	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass	categorized_cms_inspired_mass_aware	low_mhh	6
categorized_cms_inspired_mass_aware	31	mbb1	$m_{bb}^{H_1}$	0.0264984654068	0.00316184924654	0.0230873773458	0.0320029234933	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass	categorized_cms_inspired_mass_aware	low_mhh	7
categorized_cms_inspired_mass_aware	30	j4_mass	$m_{j_4}$	0.0260106794387	0.00795495271793	0.0110497529981	0.0349861826445	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass	categorized_cms_inspired_mass_aware	low_mhh	8
categorized_cms_inspired_mass_aware	7	hh_pt	$p_{\mathrm{T}}^{HH}$	0.0242774512714	0.00279489558585	0.0209008839886	0.0286298012524	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass	categorized_cms_inspired_mass_aware	low_mhh	9
categorized_cms_inspired_mass_aware	17	drbb1	$\Delta R_{bb}^{H_1}$	0.0233615902686	0.00766214259227	0.00955868364694	0.0329017198024	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass	categorized_cms_inspired_mass_aware	low_mhh	10
categorized_cms_inspired_mass_aware	32	mbb2	$m_{bb}^{H_2}$	0.0230785913106	0.00288738138167	0.0199401680176	0.0272796188006	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass	categorized_cms_inspired_mass_aware	low_mhh	11
categorized_cms_inspired_mass_aware	46	candidate_vector_pt_sum	$|\sum_{j=1}^{4}\vec{p}_{\mathrm{T}}^{\,j}|$	0.022893178577	0.0052553256238	0.016044369074	0.0290493880209	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass	categorized_cms_inspired_mass_aware	low_mhh	12
categorized_cms_inspired_mass_aware	5	ht_candidate_jets	$H_{\mathrm{T}}^{HH\ \mathrm{jets}}$	0.022663820863	0.0105720791191	0.0103326779706	0.0397034989069	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass	categorized_cms_inspired_mass_aware	low_mhh	13
categorized_cms_inspired_mass_aware	19	j1_pt	$p_{\mathrm{T}}^{j_1}$	0.0204832654605	0.00666381950866	0.0127675005551	0.0324720336477	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass	categorized_cms_inspired_mass_aware	low_mhh	14
categorized_cms_inspired_mass_aware	42	max_candidate_pair_dr	$\max\,\Delta R_{jj}$	0.0167790652301	0.00586750962217	0.00959105703717	0.0275094930636	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass	categorized_cms_inspired_mass_aware	low_mhh	15
