production_row_index	source_uid	generated_events	broad_eligible_rows	assignment_matchable_rows	transport_class	output_sha256	status
0	331e1d9ade0b6f4ee6de7411::background::359::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz	10000	2915	0	not_applicable_auxiliary_qcd	509ca6106b4d330bcda8cc3ae4488dc75411cc5abc3ace3e3b0ab1fa313d3b49	pass
1	3bc3942d91503ba846db3899::background::362::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard008_10k_bundle.tar.gz	10000	3016	0	not_applicable_auxiliary_qcd	ef23484a9e865dd16b150f240dfd67bd60d6f879085cd5ea7d0af9ec522484c4	pass
2	554693ea991d325b22636467::background::357::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard002_10k_bundle.tar.gz	10000	2920	0	not_applicable_auxiliary_qcd	bde1b884dc52fa64d7460281326561e3b0f786909f2207ee1ee2126b7d4beaec	pass
3	765df8c6ff15e5ef9646314a::background::356::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard013_10k_bundle.tar.gz	10000	2995	0	not_applicable_auxiliary_qcd	657f434c86352bfaa23935d46bfb0bc0627af317a88023ad72c070e326759299	pass
4	883cde2439e6efaaafe5691f::background::361::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard007_10k_bundle.tar.gz	10000	2923	0	not_applicable_auxiliary_qcd	febea08aeaf611ff69216630fb62fff20468ca06dd39863e43b59e2b8173e438	pass
5	8e0aa4631d1190f8a8484606::background::353::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard010_10k_bundle.tar.gz	10000	2953	0	not_applicable_auxiliary_qcd	2fa9d452292774040b98b94fcdd582323daaca0d5197f0c5be147ee3c09a6144	pass
6	b2239a1c2ffb2eb5fc793ee7::background::351::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	10000	2965	0	not_applicable_auxiliary_qcd	04c2e986b95198c8a476e9439c0f0fc620b20f29250bfee0fc85159b0ecdb995	pass
7	ba4ea16c7c45ee2aae854f6e::background::355::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard012_10k_bundle.tar.gz	10000	3033	0	not_applicable_auxiliary_qcd	a23892e9d792c97f7a26b03d652bd613ffdae897ba1a8c422710fd27d5e68880	pass
8	e14311c8c1d2f7b5d00cbf57::background::358::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard003_10k_bundle.tar.gz	10000	3004	0	not_applicable_auxiliary_qcd	28ced86313e195d9b11cf28ed11e790f46baa5f545f2875707e489624df981d4	pass
9	e913062b5f3e6b74057d1360::background::360::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard006_10k_bundle.tar.gz	10000	2969	0	not_applicable_auxiliary_qcd	b6f32fbb4c8c91ed0ebd53a65003d27e0bd9704691a10168723c9fb4790b3922	pass
