production_row_index	source_uid	sample_class	process_or_mode	workflow_population	population_kind	access_mode	generator_weight_transport_applicable	generator_weight_transport_class	physical_evaluation_eligible	generated_events	broad_eligible_rows	assignment_matchable_rows	parquet_path	parquet_bytes	parquet_sha256	receipt_path	receipt_bytes	receipt_sha256	status
0	331e1d9ade0b6f4ee6de7411::background::359::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz	background	qcd_bbbb_general	auxiliary_qcd_classification_only	auxiliary_qcd	remote_bundle_extraction_required	False	not_applicable_auxiliary_qcd	False	10000	2915	0	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0000_b109098209bda84b.parquet	844673	509ca6106b4d330bcda8cc3ae4488dc75411cc5abc3ace3e3b0ab1fa313d3b49	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/receipts/source_0000_b109098209bda84b.json	3422	b54e2f91b7377d14fd5d8076f5ca9b615a0d321bb4b061d9d36311e266f3befa	pass
1	3bc3942d91503ba846db3899::background::362::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard008_10k_bundle.tar.gz	background	qcd_bbbb_general	auxiliary_qcd_classification_only	auxiliary_qcd	remote_bundle_extraction_required	False	not_applicable_auxiliary_qcd	False	10000	3016	0	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0001_8664354e5b90ba32.parquet	848055	ef23484a9e865dd16b150f240dfd67bd60d6f879085cd5ea7d0af9ec522484c4	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/receipts/source_0001_8664354e5b90ba32.json	3459	0cd8b688898e7f2d0383a263d665d87d80b336e76d5aff0e44fa213c83376e24	pass
2	554693ea991d325b22636467::background::357::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard002_10k_bundle.tar.gz	background	qcd_bbbb_general	auxiliary_qcd_classification_only	auxiliary_qcd	remote_bundle_extraction_required	False	not_applicable_auxiliary_qcd	False	10000	2920	0	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0002_2637dc06c4600573.parquet	844953	bde1b884dc52fa64d7460281326561e3b0f786909f2207ee1ee2126b7d4beaec	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/receipts/source_0002_2637dc06c4600573.json	3457	d51f1f756316649f137f92a3c63581725de6404a3ff6b94a0d36d424c7e7306f	pass
3	765df8c6ff15e5ef9646314a::background::356::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard013_10k_bundle.tar.gz	background	qcd_bbbb_general	auxiliary_qcd_classification_only	auxiliary_qcd	remote_bundle_extraction_required	False	not_applicable_auxiliary_qcd	False	10000	2995	0	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0003_7751c49131ac2cd1.parquet	846868	657f434c86352bfaa23935d46bfb0bc0627af317a88023ad72c070e326759299	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/receipts/source_0003_7751c49131ac2cd1.json	3456	54ed88359f06dfa043ad5b69e1c3fc26484aac6d05572e09482053afd19dc017	pass
4	883cde2439e6efaaafe5691f::background::361::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard007_10k_bundle.tar.gz	background	qcd_bbbb_general	auxiliary_qcd_classification_only	auxiliary_qcd	remote_bundle_extraction_required	False	not_applicable_auxiliary_qcd	False	10000	2923	0	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0004_275556648fb3e8d1.parquet	843925	febea08aeaf611ff69216630fb62fff20468ca06dd39863e43b59e2b8173e438	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/receipts/source_0004_275556648fb3e8d1.json	3456	8c75cc367195de3591f1373d753fe146d2b86dde1fb8f5bb0976860e00eedf5e	pass
5	8e0aa4631d1190f8a8484606::background::353::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard010_10k_bundle.tar.gz	background	qcd_bbbb_general	auxiliary_qcd_classification_only	auxiliary_qcd	remote_bundle_extraction_required	False	not_applicable_auxiliary_qcd	False	10000	2953	0	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0005_30dcaf7241b1388b.parquet	846754	2fa9d452292774040b98b94fcdd582323daaca0d5197f0c5be147ee3c09a6144	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/receipts/source_0005_30dcaf7241b1388b.json	3456	a804f322a5096dcf792b5c1df359eb64c721905cf8ecc6f6c84e72d40fc980ea	pass
6	b2239a1c2ffb2eb5fc793ee7::background::351::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	background	qcd_bbbb_general	auxiliary_qcd_classification_only	auxiliary_qcd	remote_bundle_extraction_required	False	not_applicable_auxiliary_qcd	False	10000	2965	0	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0006_330df69e3bd3ee51.parquet	845278	04c2e986b95198c8a476e9439c0f0fc620b20f29250bfee0fc85159b0ecdb995	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/receipts/source_0006_330df69e3bd3ee51.json	3459	fa7be648647dadd3a7d2828c2a7abac9fcb34bd83fdf2677478d87858be34b79	pass
7	ba4ea16c7c45ee2aae854f6e::background::355::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard012_10k_bundle.tar.gz	background	qcd_bbbb_general	auxiliary_qcd_classification_only	auxiliary_qcd	remote_bundle_extraction_required	False	not_applicable_auxiliary_qcd	False	10000	3033	0	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0007_176ac4a41a0741be.parquet	847275	a23892e9d792c97f7a26b03d652bd613ffdae897ba1a8c422710fd27d5e68880	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/receipts/source_0007_176ac4a41a0741be.json	3459	9377839355e6302374c3e96a70be95e9400608ad86c6cfb5cc0ce15802575382	pass
8	e14311c8c1d2f7b5d00cbf57::background::358::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard003_10k_bundle.tar.gz	background	qcd_bbbb_general	auxiliary_qcd_classification_only	auxiliary_qcd	remote_bundle_extraction_required	False	not_applicable_auxiliary_qcd	False	10000	3004	0	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0008_3fe8e636150d8d90.parquet	845684	28ced86313e195d9b11cf28ed11e790f46baa5f545f2875707e489624df981d4	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/receipts/source_0008_3fe8e636150d8d90.json	3456	e2342bce78cff672e5235b16f90df37fc4735b5d1b35dbac98ee0f8374b52a83	pass
9	e913062b5f3e6b74057d1360::background::360::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard006_10k_bundle.tar.gz	background	qcd_bbbb_general	auxiliary_qcd_classification_only	auxiliary_qcd	remote_bundle_extraction_required	False	not_applicable_auxiliary_qcd	False	10000	2969	0	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0009_c00e5653e1ea2065.parquet	843935	b6f32fbb4c8c91ed0ebd53a65003d27e0bd9704691a10168723c9fb4790b3922	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/receipts/source_0009_c00e5653e1ea2065.json	3456	c9e10190aa65dd6933971ae0acaddeeb7d2765025113b419752ccc2cd0dd54f0	pass
