region	population_level	population	population_rows	selected_rows	raw_fraction	weighted_fraction	status
cms_signal_region	class	signal	9337	5103	0.5465352897076149	0.5459552768532467	pass
cms_signal_region	class	background	43825	8126	0.1854192812321734	0.19941814395502427	pass
cms_signal_region	signal_mode	ggf_hh4b	4893	2777	0.5675454731248722	0.5686096345600306	pass
cms_signal_region	signal_mode	vbf_hh4b	4444	2326	0.5234023402340234	0.5233009191464627	pass
cms_signal_region	background_family	diboson	7	1	0.14285714285714285	0.125	pass
cms_signal_region	background_family	qcd_multijet	22513	2855	0.12681561764313953	0.15288782177345495	pass
cms_signal_region	background_family	single_higgs	1098	370	0.33697632058287796	0.15629978814365855	pass
cms_signal_region	background_family	single_top	157	26	0.16560509554140126	0.21287610738075136	pass
cms_signal_region	background_family	top_associated	11615	2734	0.2353852776582006	0.25460466743401533	pass
cms_signal_region	background_family	triboson	146	23	0.15753424657534246	0.16666666666666666	pass
cms_signal_region	background_family	ttbar	2745	784	0.28561020036429874	0.28659576103096757	pass
cms_signal_region	background_family	zbbbb	5544	1333	0.24044011544011545	0.24041433921068003	pass
cms_control_region	class	signal	9337	2599	0.27835493199100353	0.27834770328685743	pass
cms_control_region	class	background	43825	11284	0.2574786081003993	0.279446562647218	pass
cms_control_region	signal_mode	ggf_hh4b	4893	1359	0.27774371551195587	0.277838464685255	pass
cms_control_region	signal_mode	vbf_hh4b	4444	1240	0.279027902790279	0.27885694188845983	pass
cms_control_region	background_family	diboson	7	0	0.0	0.0	pass
cms_control_region	background_family	qcd_multijet	22513	4821	0.21414293963487763	0.20012888444351748	pass
cms_control_region	background_family	single_higgs	1098	363	0.33060109289617484	0.41108950119939763	pass
cms_control_region	background_family	single_top	157	47	0.29936305732484075	0.3183290221989912	pass
cms_control_region	background_family	top_associated	11615	3017	0.2597503228583728	0.2638960417521352	pass
cms_control_region	background_family	triboson	146	57	0.3904109589041096	0.35241892610313663	pass
cms_control_region	background_family	ttbar	2745	845	0.30783242258652094	0.3045278676484099	pass
cms_control_region	background_family	zbbbb	5544	2134	0.38492063492063494	0.3851822578321563	pass
outside_geometry	class	signal	9337	1635	0.1751097783013816	0.17569701985989586	pass
outside_geometry	class	background	43825	24415	0.5571021106674273	0.5211352933977577	pass
outside_geometry	signal_mode	ggf_hh4b	4893	757	0.15471081136317189	0.15355190075471437	pass
outside_geometry	signal_mode	vbf_hh4b	4444	878	0.19756975697569756	0.19784213896507735	pass
outside_geometry	background_family	diboson	7	6	0.8571428571428571	0.875	pass
outside_geometry	background_family	qcd_multijet	22513	14837	0.6590414427219828	0.6469832937830274	pass
outside_geometry	background_family	single_higgs	1098	365	0.3324225865209472	0.4326107106569438	pass
outside_geometry	background_family	single_top	157	84	0.535031847133758	0.46879487042025736	pass
outside_geometry	background_family	top_associated	11615	5864	0.5048643994834267	0.4814992908138495	pass
outside_geometry	background_family	triboson	146	66	0.4520547945205479	0.4809144072301968	pass
outside_geometry	background_family	ttbar	2745	1116	0.4065573770491803	0.40887637132062254	pass
outside_geometry	background_family	zbbbb	5544	2077	0.37463924963924966	0.3744034029571638	pass
