baseline	threshold_GeV	background_family	weighted_efficiency
cms_reference_rhh30	30.0	diboson	0.125
cms_reference_rhh30	30.0	qcd_multijet	0.15288782177345495
cms_reference_rhh30	30.0	single_higgs	0.15629978814365855
cms_reference_rhh30	30.0	single_top	0.21287610738075136
cms_reference_rhh30	30.0	top_associated	0.25460466743401533
cms_reference_rhh30	30.0	triboson	0.16666666666666666
cms_reference_rhh30	30.0	ttbar	0.28659576103096757
cms_reference_rhh30	30.0	zbbbb	0.24041433921068003
higher_purity_rhh31p5	31.5	diboson	0.125
higher_purity_rhh31p5	31.5	qcd_multijet	0.1611694862882882
higher_purity_rhh31p5	31.5	single_higgs	0.18493964452048284
higher_purity_rhh31p5	31.5	single_top	0.2298978283498407
higher_purity_rhh31p5	31.5	top_associated	0.27206036839247877
higher_purity_rhh31p5	31.5	triboson	0.17727272727272728
higher_purity_rhh31p5	31.5	ttbar	0.3067347839601888
higher_purity_rhh31p5	31.5	zbbbb	0.26378455431357123
optimized_nominal_rhh34	34.0	diboson	0.125
optimized_nominal_rhh34	34.0	qcd_multijet	0.18506045496585014
optimized_nominal_rhh34	34.0	single_higgs	0.2691073801701384
optimized_nominal_rhh34	34.0	single_top	0.2640456980240262
optimized_nominal_rhh34	34.0	top_associated	0.30161012393760167
optimized_nominal_rhh34	34.0	triboson	0.1992291334396597
optimized_nominal_rhh34	34.0	ttbar	0.3502224560974067
optimized_nominal_rhh34	34.0	zbbbb	0.30329327186158955
higher_efficiency_rhh35p5	35.5	diboson	0.125
higher_efficiency_rhh35p5	35.5	qcd_multijet	0.19205106185160223
higher_efficiency_rhh35p5	35.5	single_higgs	0.27939988731777254
higher_efficiency_rhh35p5	35.5	single_top	0.27926020487939995
higher_efficiency_rhh35p5	35.5	top_associated	0.3162004241670653
higher_efficiency_rhh35p5	35.5	triboson	0.21815523657628924
higher_efficiency_rhh35p5	35.5	ttbar	0.3720427235166222
higher_efficiency_rhh35p5	35.5	zbbbb	0.3296423628836616
