model	feature_set	position	feature	status
global_mass_aware	mass_aware_34	0	n_selected_jets	frozen
global_mass_aware	mass_aware_34	1	n_selected_bjets	frozen
global_mass_aware	mass_aware_34	2	ht_selected_jets	frozen
global_mass_aware	mass_aware_34	3	ht_selected_bjets	frozen
global_mass_aware	mass_aware_34	4	ht_candidate_jets	frozen
global_mass_aware	mass_aware_34	5	mhh	frozen
global_mass_aware	mass_aware_34	6	hh_pt	frozen
global_mass_aware	mass_aware_34	7	abs_hh_eta	frozen
global_mass_aware	mass_aware_34	8	h1_pt	frozen
global_mass_aware	mass_aware_34	9	abs_h1_eta	frozen
global_mass_aware	mass_aware_34	10	h2_pt	frozen
global_mass_aware	mass_aware_34	11	abs_h2_eta	frozen
global_mass_aware	mass_aware_34	12	abs_h_delta_eta	frozen
global_mass_aware	mass_aware_34	13	abs_h_delta_phi	frozen
global_mass_aware	mass_aware_34	14	h_delta_r	frozen
global_mass_aware	mass_aware_34	15	h_pt_balance	frozen
global_mass_aware	mass_aware_34	16	drbb1	frozen
global_mass_aware	mass_aware_34	17	drbb2	frozen
global_mass_aware	mass_aware_34	18	j1_pt	frozen
global_mass_aware	mass_aware_34	19	abs_j1_eta	frozen
global_mass_aware	mass_aware_34	20	j1_mass	frozen
global_mass_aware	mass_aware_34	21	j2_pt	frozen
global_mass_aware	mass_aware_34	22	abs_j2_eta	frozen
global_mass_aware	mass_aware_34	23	j2_mass	frozen
global_mass_aware	mass_aware_34	24	j3_pt	frozen
global_mass_aware	mass_aware_34	25	abs_j3_eta	frozen
global_mass_aware	mass_aware_34	26	j3_mass	frozen
global_mass_aware	mass_aware_34	27	j4_pt	frozen
global_mass_aware	mass_aware_34	28	abs_j4_eta	frozen
global_mass_aware	mass_aware_34	29	j4_mass	frozen
global_mass_aware	mass_aware_34	30	mbb1	frozen
global_mass_aware	mass_aware_34	31	mbb2	frozen
global_mass_aware	mass_aware_34	32	delta_mbb	frozen
global_mass_aware	mass_aware_34	33	r_hh_125_125	frozen
global_mass_plane_blind	mass_plane_blind_30	0	n_selected_jets	frozen
global_mass_plane_blind	mass_plane_blind_30	1	n_selected_bjets	frozen
global_mass_plane_blind	mass_plane_blind_30	2	ht_selected_jets	frozen
global_mass_plane_blind	mass_plane_blind_30	3	ht_selected_bjets	frozen
global_mass_plane_blind	mass_plane_blind_30	4	ht_candidate_jets	frozen
global_mass_plane_blind	mass_plane_blind_30	5	mhh	frozen
global_mass_plane_blind	mass_plane_blind_30	6	hh_pt	frozen
global_mass_plane_blind	mass_plane_blind_30	7	abs_hh_eta	frozen
global_mass_plane_blind	mass_plane_blind_30	8	h1_pt	frozen
global_mass_plane_blind	mass_plane_blind_30	9	abs_h1_eta	frozen
global_mass_plane_blind	mass_plane_blind_30	10	h2_pt	frozen
global_mass_plane_blind	mass_plane_blind_30	11	abs_h2_eta	frozen
global_mass_plane_blind	mass_plane_blind_30	12	abs_h_delta_eta	frozen
global_mass_plane_blind	mass_plane_blind_30	13	abs_h_delta_phi	frozen
global_mass_plane_blind	mass_plane_blind_30	14	h_delta_r	frozen
global_mass_plane_blind	mass_plane_blind_30	15	h_pt_balance	frozen
global_mass_plane_blind	mass_plane_blind_30	16	drbb1	frozen
global_mass_plane_blind	mass_plane_blind_30	17	drbb2	frozen
global_mass_plane_blind	mass_plane_blind_30	18	j1_pt	frozen
global_mass_plane_blind	mass_plane_blind_30	19	abs_j1_eta	frozen
global_mass_plane_blind	mass_plane_blind_30	20	j1_mass	frozen
global_mass_plane_blind	mass_plane_blind_30	21	j2_pt	frozen
global_mass_plane_blind	mass_plane_blind_30	22	abs_j2_eta	frozen
global_mass_plane_blind	mass_plane_blind_30	23	j2_mass	frozen
global_mass_plane_blind	mass_plane_blind_30	24	j3_pt	frozen
global_mass_plane_blind	mass_plane_blind_30	25	abs_j3_eta	frozen
