input_name	path	expected_sha256	observed_sha256	matched
background_registry	outputs/agent_runs/final_background_unified5m_registry_audit_20260723_v2/unified_background_5m_registry.tsv	6bbb256a326147cd679fbbb512574d845b2310eb5a09a71758a7bb210402353c	6bbb256a326147cd679fbbb512574d845b2310eb5a09a71758a7bb210402353c	True
background_registry_summary	outputs/agent_runs/final_background_unified5m_registry_audit_20260723_v2/unified_background_5m_registry.json	f629c6f567e1b95d754275c947a3701baba51647511f882fe6cb0ff7b13ceb7f	f629c6f567e1b95d754275c947a3701baba51647511f882fe6cb0ff7b13ceb7f	True
background_source_manifest	outputs/agent_runs/final_background_5m_classifier_source_audit_20260723_v1/background_5m_classifier_source_manifest.tsv	65bc318444ca29150a314efc6232a533522761d31eb0cc531630285f35d7d582	65bc318444ca29150a314efc6232a533522761d31eb0cc531630285f35d7d582	True
background_source_summary	outputs/agent_runs/final_background_5m_classifier_source_audit_20260723_v1/background_5m_classifier_source_audit.json	54de5c3005d0d16f8f273f125ffaeb0fec115b139731e8ac58540a65d567bb30	54de5c3005d0d16f8f273f125ffaeb0fec115b139731e8ac58540a65d567bb30	True
strict493_payload_audit	outputs/agent_runs/background_frozen_v2_strict493_final_payload_audit_20260724_v1/strict493_final_payload_audit.tsv	3c0e7bb29d6de4fa6950ba7bf35c6f864a465139bb5994ca9c9464c130515325	3c0e7bb29d6de4fa6950ba7bf35c6f864a465139bb5994ca9c9464c130515325	True
strict493_payload_summary	outputs/agent_runs/background_frozen_v2_strict493_final_payload_audit_20260724_v1/strict493_final_payload_audit.json	a2bd59bf6b62227895ecba7a64adfd1b70eeff6aefa3e40bd217f2d333350ecd	a2bd59bf6b62227895ecba7a64adfd1b70eeff6aefa3e40bd217f2d333350ecd	True
signal_registry	outputs/agent_runs/hh4b_canonical_signal200k_registry_audit_20260723_v1/hh4b_canonical_signal200k_registry.tsv	402b7e377247fb3d7a3a4b8f75df302c3fba7a44a07e9c362824247adc5ab420	402b7e377247fb3d7a3a4b8f75df302c3fba7a44a07e9c362824247adc5ab420	True
signal_registry_summary	outputs/agent_runs/hh4b_canonical_signal200k_registry_audit_20260723_v1/hh4b_canonical_signal200k_registry.json	e0a8b14a53c22b6bd988b84c570b7423033b325aa7d03f8d8118801c6c314ddc	e0a8b14a53c22b6bd988b84c570b7423033b325aa7d03f8d8118801c6c314ddc	True
development_manifest	outputs/agent_runs/hh4b_canonical72_development_manifest_20260725_v2/hh4b_canonical72_development_manifest.tsv	b3e42a0af56594445e297e2347ccfd3bd799fd107a578af844c9733bfd2ebe6a	b3e42a0af56594445e297e2347ccfd3bd799fd107a578af844c9733bfd2ebe6a	True
development_manifest_summary	outputs/agent_runs/hh4b_canonical72_development_manifest_20260725_v2/hh4b_canonical72_development_manifest_summary.json	113089927b694d4a1184027a0455d080de4cb3d063ca18972850de14cddc1d63	113089927b694d4a1184027a0455d080de4cb3d063ca18972850de14cddc1d63	True
