process_or_mode	blocker	blocker_status	required_resolution	numerical_reference_freeze_authorized	physical_weight_application_authorized
bbh_hbb_4fs	freeze_exact_generated_Higgs_mass	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
bbh_hbb_4fs	prove_exact_H_to_bb_decay_or_filter_scope	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
bbh_hbb_4fs	reconcile_4FS_generated_definition_with_matched_4FS_5FS_reference	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
bbh_hbb_4fs	freeze_filter_and_matching_efficiencies	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
ggf_hh4b	freeze_exact_generated_Higgs_mass	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
ggf_hh4b	retain_frozen_forced_HH_to_4b_branching_convention	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
ggf_hh4b	freeze_filter_and_matching_efficiencies	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
ggh_hbb	freeze_exact_generated_Higgs_mass	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
ggh_hbb	prove_exact_H_to_bb_decay_or_filter_scope	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
ggh_hbb	freeze_filter_and_matching_efficiencies	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
tth_hbb	freeze_exact_generated_Higgs_mass	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
tth_hbb	prove_exact_H_to_bb_decay_or_filter_scope	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
tth_hbb	prove_top_decay_scope	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
tth_hbb	freeze_filter_and_matching_efficiencies	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
vbf_hbb	freeze_exact_generated_Higgs_mass	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
vbf_hbb	prove_exact_H_to_bb_decay_or_filter_scope	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
vbf_hbb	reconcile_generator_jet_cuts_with_inclusive_reference	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
vbf_hbb	freeze_filter_and_matching_efficiencies	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
vbf_hh4b	freeze_exact_generated_Higgs_mass	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
vbf_hh4b	retain_frozen_unforced_SM_Higgs_decay_sampling_convention	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
vbf_hh4b	freeze_filter_and_matching_efficiencies	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
wh_hbb	freeze_exact_generated_Higgs_mass	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
wh_hbb	prove_exact_H_to_bb_decay_or_filter_scope	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
wh_hbb	prove_W_charge_sum_and_W_decay_scope	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
wh_hbb	freeze_filter_and_matching_efficiencies	unresolved	exact_campaign_scoped_text_or_frozen_checkpoint_evidence	False	False
