canary_index	sample_class	process_or_mode	campaign	member_name	member_type	size_bytes	artifact_types	safe_relative_path	allowlist_candidate	extraction_authorized_now	status
1	signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	./hepmc/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_pythia8.hepmc	regular_file	277191545	parton_shower_card	True	False	False	not_allowlisted
2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./parquet/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_event_summary.parquet	regular_file	245562	generator_stdout_or_summary	True	False	False	not_allowlisted
2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./metadata/generation_banner.txt	regular_file	20038	generator_banner_or_lhe_init	True	True	False	candidate_for_pn_b3_allowlist_review
2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./logs/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_mg5.log	regular_file	8604	generator_stdout_or_summary	True	True	False	candidate_for_pn_b3_allowlist_review
2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./logs/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_pythia_hepmc.log	regular_file	18811	parton_shower_card	True	True	False	candidate_for_pn_b3_allowlist_review
2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./logs/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_event_summary.log	regular_file	1070	generator_stdout_or_summary	True	True	False	candidate_for_pn_b3_allowlist_review
2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./cards/proc_card_mg5.dat	regular_file	2060	proc_card	True	True	False	candidate_for_pn_b3_allowlist_review
2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./cards/run_card.dat	regular_file	10719	run_card	True	True	False	candidate_for_pn_b3_allowlist_review
2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./cards/pythia8_card_default.dat	regular_file	4434	parton_shower_card	True	True	False	candidate_for_pn_b3_allowlist_review
2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	./cards/pythia_card_default.dat	regular_file	350	parton_shower_card	True	True	False	candidate_for_pn_b3_allowlist_review
3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	./metadata/generation_banner.txt	regular_file	18635	generator_banner_or_lhe_init	True	True	False	candidate_for_pn_b3_allowlist_review
3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	./parquet/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_event_summary.parquet	regular_file	249747	generator_stdout_or_summary	True	False	False	not_allowlisted
3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	./cards/proc_card_mg5.dat	regular_file	2052	proc_card	True	True	False	candidate_for_pn_b3_allowlist_review
3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	./cards/run_card.dat	regular_file	9208	run_card	True	True	False	candidate_for_pn_b3_allowlist_review
3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	./cards/pythia_card_default.dat	regular_file	350	parton_shower_card	True	True	False	candidate_for_pn_b3_allowlist_review
3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	./cards/pythia8_card_default.dat	regular_file	4434	parton_shower_card	True	True	False	candidate_for_pn_b3_allowlist_review
3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	./logs/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_mg5.log	regular_file	5132	generator_stdout_or_summary	True	True	False	candidate_for_pn_b3_allowlist_review
3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	./logs/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_event_summary.log	regular_file	1118	generator_stdout_or_summary	True	True	False	candidate_for_pn_b3_allowlist_review
3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	./logs/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_pythia_hepmc.log	regular_file	18772	parton_shower_card	True	True	False	candidate_for_pn_b3_allowlist_review
4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	./parquet/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_event_summary.parquet	regular_file	245128	generator_stdout_or_summary	True	False	False	not_allowlisted
4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	./metadata/generation_banner.txt	regular_file	19472	generator_banner_or_lhe_init	True	True	False	candidate_for_pn_b3_allowlist_review
4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_mg5.log	regular_file	5557	generator_stdout_or_summary	True	True	False	candidate_for_pn_b3_allowlist_review
4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_pythia_hepmc.log	regular_file	18616	parton_shower_card	True	True	False	candidate_for_pn_b3_allowlist_review
4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_event_summary.log	regular_file	1120	generator_stdout_or_summary	True	True	False	candidate_for_pn_b3_allowlist_review
4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	./cards/proc_card_mg5.dat	regular_file	2037	proc_card	True	True	False	candidate_for_pn_b3_allowlist_review
4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	./cards/run_card.dat	regular_file	10048	run_card	True	True	False	candidate_for_pn_b3_allowlist_review
4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	./cards/pythia8_card_default.dat	regular_file	4434	parton_shower_card	True	True	False	candidate_for_pn_b3_allowlist_review
4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	./cards/pythia_card_default.dat	regular_file	350	parton_shower_card	True	True	False	candidate_for_pn_b3_allowlist_review
5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	./parquet/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_hh4b_candidates_v2.parquet	regular_file	600	importance_sampling_record	True	False	False	not_allowlisted
5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	./parquet/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_event_summary.parquet	regular_file	237299	generator_stdout_or_summary,importance_sampling_record	True	False	False	not_allowlisted
5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	./logs/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_pythia.log	regular_file	12762	generator_stdout_or_summary,importance_sampling_record,parton_shower_card	True	True	False	candidate_for_pn_b3_allowlist_review
5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	./logs/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_candidates.log	regular_file	266	importance_sampling_record	True	True	False	candidate_for_pn_b3_allowlist_review
5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	./logs/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_event_summary.log	regular_file	1151	generator_stdout_or_summary,importance_sampling_record	True	True	False	candidate_for_pn_b3_allowlist_review
5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	./logs/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_delphes.log	regular_file	8328	importance_sampling_record	True	True	False	candidate_for_pn_b3_allowlist_review
5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	./logs/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_compile_arguments.txt	regular_file	1201	importance_sampling_record	True	True	False	candidate_for_pn_b3_allowlist_review
5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	./metadata/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_provenance.json	regular_file	2116	importance_sampling_record	True	True	False	candidate_for_pn_b3_allowlist_review
5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	./metadata/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_generator.json	regular_file	736	importance_sampling_record	True	True	False	candidate_for_pn_b3_allowlist_review
5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	./hepmc/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819.hepmc	regular_file	2456006502	importance_sampling_record	True	False	False	not_allowlisted
5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	./root/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_delphes.root	regular_file	788155996	importance_sampling_record	True	False	False	not_allowlisted
6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	./parquet/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_event_summary.parquet	regular_file	249963	generator_stdout_or_summary	True	False	False	not_allowlisted
6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	./metadata/generation_banner.txt	regular_file	19838	generator_banner_or_lhe_init	True	True	False	candidate_for_pn_b3_allowlist_review
6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	./logs/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_mg5.log	regular_file	5233	generator_stdout_or_summary	True	True	False	candidate_for_pn_b3_allowlist_review
6	background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	./logs/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_pythia_hepmc.log	regular_file	18738	parton_shower_card	True	True	False	candidate_for_pn_b3_allowlist_review
