sample_class	process_or_mode	campaign	nondefault_generation_phase_space_settings	generator_reported_cross_section_scope	external_inclusive_xsec_requires_acceptance_or_filter_proof	numeric_filter_efficiency_authorized	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	drbb=0.4 || etab=2.7 || maxjetflavor=4 || ptb=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	drbb=0.4 || etab=2.7 || maxjetflavor=4 || ptb=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	drbb=0.4 || drbj=0.4 || etab=2.7 || etaj=5.0 || maxjetflavor=4 || ptb=25.0 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	drbb=0.4 || drbj=0.4 || etab=2.7 || etaj=5.0 || maxjetflavor=4 || ptb=25.0 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	drbb=0.4 || drbj=0.4 || etab=2.7 || etaj=5.0 || ihtmax=600.0 || ihtmin=400.0 || maxjetflavor=4 || ptb=25.0 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	drbb=0.4 || drbj=0.4 || etab=2.7 || etaj=5.0 || ihtmax=600.0 || ihtmin=400.0 || maxjetflavor=4 || ptb=25.0 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	etaj=5.0 || maxjetflavor=5 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	etaj=5.0 || maxjetflavor=5 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	etaj=5.0 || maxjetflavor=5 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	etaj=5.0 || maxjetflavor=5 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
