sample_class	process_or_mode	campaign	ebeam1_candidates_GeV	ebeam2_candidates_GeV	sqrt_s_candidates_GeV	path_energy_tag	beam_energy_authorized	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718				run2_13tev	False	beam_energy_missing_from_available_configuration
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022				run2_13tev	False	beam_energy_missing_from_available_configuration
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717				run2_13tev	False	beam_energy_missing_from_available_configuration
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717				run2_13tev	False	beam_energy_missing_from_available_configuration
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	6500	6500	13000	run2_13tev	False	source_aware_beam_candidate_located
