sample_class	process_or_mode	campaign	setting	value	source_archive_path	source_member_name	source_line	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	main:numberofevents	-1	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	10	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	hepmcoutput:file	hepmc.gz	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	32	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	jetmatching:qcut	-1.0	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	43	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	jetmatching:doshowerkt	off	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	46	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	jetmatching:njetmax	-1	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	49	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	merging:tms	-1.0	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	61	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	merging:process	<set_by_user>	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	70	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	merging:njetmax	-1	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	73	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	syscalc:fullcutvariation	off	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	78	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	mstp_61	1	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	2	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	mstp_71	1	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	3	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	mstj_1	1	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	6	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	mstp_81	20	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	9	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	mstu_21	1	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	12	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	lhaid	10041	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	pythia_warning_in_slhainterface::initslha:_ignoring_mass_entries_for_id	{1,2,3,4,5,11,12,13,14,15,16,21,22,23,24} (m0 < SLHA:minMassSM)	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	51	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	pythia_warning_in_slhainterface::initslha:_ignoring_decay_tables_for_id	{23,24,1,2,3,4,5,11,12,13,14,15,16,21,22} (m0 < SLHA:minMassSM)	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	52	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	pythia_warning_in_slhainterface::initslha:_ignoring_empty_decay_tables_for_id	{6,25} (total width provided but no Branching Ratios)	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	53	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	sigmanondiffractive	56.42 mb |	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	72	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	pt0	2.60 gives sigmaInteraction = 316.82 mb: accepted |	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	74	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	event_weighting_strategy	-4	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	191	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	process	1 weight = 2.8710e-02 scale = 6.9733e+01 (GeV)	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	201	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	alpha_em	7.5558e-03 alpha_strong = 1.1888e-01	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	202	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	main:numberofevents	-1	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	10	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	hepmcoutput:file	hepmc.gz	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	32	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	jetmatching:qcut	-1.0	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	43	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	jetmatching:doshowerkt	off	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	46	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	jetmatching:njetmax	-1	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	49	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	merging:tms	-1.0	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	61	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	merging:process	<set_by_user>	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	70	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	merging:njetmax	-1	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	73	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	syscalc:fullcutvariation	off	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	78	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	mstp_61	1	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	2	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	mstp_71	1	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	3	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	mstj_1	1	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	6	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	mstp_81	20	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	9	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	mstu_21	1	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	12	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	lhaid	10041	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	pythia_warning_in_slhainterface::initslha:_ignoring_mass_entries_for_id	{1,2,3,4,5,11,12,13,14,15,16,21,22,23,24} (m0 < SLHA:minMassSM)	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	51	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	pythia_warning_in_slhainterface::initslha:_ignoring_decay_tables_for_id	{23,24,1,2,3,4,5,11,12,13,14,15,16,21,22} (m0 < SLHA:minMassSM)	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	52	source_aware_pythia_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	pythia_warning_in_slhainterface::initslha:_ignoring_empty_decay_tables_for_id	{6,25} (total width provided but no Branching Ratios)	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	53	source_aware_pythia_setting
