sample_class	process_or_mode	campaign	field	value	source_archive_path	source_member_name	source_location	qcd_weight_or_stitching_authorized	status
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	text_line	# Phase-Space Optimization strategy (basic options)	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/cards/run_card.dat	./cards/run_card.dat	76	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	text_line	0 = nhel ! using helicities importance sampling or not.	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/cards/run_card.dat	./cards/run_card.dat	78	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	text_line	! 0: sum over helicity, 1: importance sampling	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/cards/run_card.dat	./cards/run_card.dat	79	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	text_line	"# To see advanced option for Phase-Space optimization: type ""update psoptim"""	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/cards/run_card.dat	./cards/run_card.dat	83	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	text_line	# Phase-Space Optimization strategy (basic options)	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	201	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	text_line	0 = nhel ! using helicities importance sampling or not.	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	203	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	text_line	! 0: sum over helicity, 1: importance sampling	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	204	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	text_line	"# To see advanced option for Phase-Space optimization: type ""update psoptim"""	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	208	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	text_line	# Phase-Space Optimization strategy (basic options)	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/cards/run_card.dat	./cards/run_card.dat	76	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	text_line	0 = nhel ! using helicities importance sampling or not.	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/cards/run_card.dat	./cards/run_card.dat	78	False	qcd_sampling_or_overlap_candidate
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	text_line	! 0: sum over helicity, 1: importance sampling	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/cards/run_card.dat	./cards/run_card.dat	79	False	qcd_sampling_or_overlap_candidate
