sample_class	process_or_mode	campaign	setting	value	numeric_value	source_archive_path	source_member_name	source_line	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	tag_1	run_tag		background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	21	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	nevents	10000	10000	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	26	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	iseed	996002	996002	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	27	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	lpp1	1	1	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	35	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	lpp2	1	1	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	36	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	ebeam1	6500.0	6500	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	37	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	ebeam2	6500.0	6500	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	38	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	lhapdf	pdlabel		background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	50	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	lhaid	320500	320500	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	51	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	false	fixed_ren_scale		background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	56	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	false	fixed_fac_scale		background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	57	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	scale	91.188	91.188000000000002	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	58	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	dsqrt_q2fact1	91.188	91.188000000000002	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	59	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	dsqrt_q2fact2	91.188	91.188000000000002	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	60	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	dynamical_scale_choice	-1	-1	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	61	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	scalefact	1.0	1	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	62	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	false	gridpack		background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	68	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	time_of_flight	-1.0	-1	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	69	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	average	event_norm		background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	70	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	nhel	0	0	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	78	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	sde_strategy	1	1	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	80	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	dsqrt_shat	0.0	0	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	92	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	bwcutoff	15.0	15	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	98	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	ptb	20.0	20	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	104	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	ptbmax	-1.0	-1	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	105	source_aware_run_card_setting
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	pt_min_pdg	{}		background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	106	source_aware_run_card_setting
