sample_class	process_or_mode	campaign	manifest_generated_events	metadata_only_denominator_authorized	controlled_generator_payload_weight_audit_required	source_configuration_recovery_required	candidate_parquet_access_required	validation_or_evaluation_access_required	generator_payload_access_authorized_now	required_next_gate	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	40000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	90000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	140000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	140000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	1500000	False	False	True	False	False	False	nonstandard_source_provenance_recovery	access_plan_frozen_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	500000	False	False	True	False	False	False	nonstandard_source_provenance_recovery	access_plan_frozen_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	500000	False	False	True	False	False	False	nonstandard_source_provenance_recovery	access_plan_frozen_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	10000	False	False	True	False	False	False	nonstandard_source_provenance_recovery	access_plan_frozen_fail_closed
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	20000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	70000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	70000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	740000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	30000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	30000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	50000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	30000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	60000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	60000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	40000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	50000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	30000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	5200	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	20800	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	50000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	3300	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	13200	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	90000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	150000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1500	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	6000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	20000	False	False	True	False	False	False	nonstandard_source_provenance_recovery	access_plan_frozen_fail_closed
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	80000	False	False	True	False	False	False	nonstandard_source_provenance_recovery	access_plan_frozen_fail_closed
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	10000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	90000	False	True	False	False	False	False	controlled_standard_campaign_weight_canary	access_plan_frozen_fail_closed
