sample_class	process_or_mode	campaign	search_root	match_type	path	line_number	matched_text	event_payload_opened	status
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines	text_reference	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/delphes/frozen_v2_phase1_20260717/PROJECT_STATE.md	140	`qcd_hardqcd_importance_adaptive500k_phys_20260717_0022`	False	source_recovery_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines	text_reference	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/delphes/qcd_hardqcd_adaptive500k_phys_20260717/final_statistical_audit.md	3	Campaign: `qcd_hardqcd_importance_adaptive500k_phys_20260717_0022`  	False	source_recovery_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines	text_reference	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/delphes/qcd_hardqcd_adaptive500k_phys_20260717/SCIENTIFIC_DECISION.md	5	`qcd_hardqcd_importance_adaptive500k_phys_20260717_0022`	False	source_recovery_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines	text_reference	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_3b_source_inventory_20260725_v1/candidate_provenance_schema_inventory.tsv	124	"123	background	train	0	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0034_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_hh4b_candidates_v2.parquet	False		False	False	False	[]"	False	source_recovery_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines	text_reference	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_3b_source_inventory_20260725_v1/candidate_provenance_schema_inventory.tsv	125	"124	background	train	0	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0035_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1034_seed1201034_hh4b_candidates_v2.parquet	False		False	False	False	[]"	False	source_recovery_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines	text_reference	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_3b_source_inventory_20260725_v1/candidate_provenance_schema_inventory.tsv	126	"125	background	train	0	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0036_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1036_seed1201036_hh4b_candidates_v2.parquet	False		False	False	False	[]"	False	source_recovery_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines	text_reference	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_3b_source_inventory_20260725_v1/candidate_provenance_schema_inventory.tsv	127	"126	background	train	0	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0037_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1037_seed1201037_hh4b_candidates_v2.parquet	False		False	False	False	[]"	False	source_recovery_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines	text_reference	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_3b_source_inventory_20260725_v1/candidate_provenance_schema_inventory.tsv	128	"127	background	train	0	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0038_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1038_seed1201038_hh4b_candidates_v2.parquet	False		False	False	False	[]"	False	source_recovery_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines	text_reference	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_3b_source_inventory_20260725_v1/candidate_provenance_schema_inventory.tsv	129	"128	background	train	0	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0039_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1040_seed1201040_hh4b_candidates_v2.parquet	False		False	False	False	[]"	False	source_recovery_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines	text_reference	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_3b_source_inventory_20260725_v1/candidate_provenance_schema_inventory.tsv	130	"129	background	train	0	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0040_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1041_seed1201041_hh4b_candidates_v2.parquet	False		False	False	False	[]"	False	source_recovery_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines	text_reference	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_3b_source_inventory_20260725_v1/candidate_provenance_schema_inventory.tsv	131	"130	background	train	0	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0041_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1042_seed1201042_hh4b_candidates_v2.parquet	False		False	False	False	[]"	False	source_recovery_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines	text_reference	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_3b_source_inventory_20260725_v1/candidate_provenance_schema_inventory.tsv	132	"131	background	train	0	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0042_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1043_seed1201043_hh4b_candidates_v2.parquet	False		False	False	False	[]"	False	source_recovery_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines	text_reference	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_3b_source_inventory_20260725_v1/candidate_provenance_schema_inventory.tsv	133	"132	background	train	0	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0043_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1047_seed1201047_hh4b_candidates_v2.parquet	False		False	False	False	[]"	False	source_recovery_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines	text_reference	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_3b_source_inventory_20260725_v1/candidate_provenance_schema_inventory.tsv	134	"133	background	train	0	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0044_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1048_seed1201048_hh4b_candidates_v2.parquet	False		False	False	False	[]"	False	source_recovery_candidate
