sample_class	process_or_mode	campaign	evidence_class	field	value	source_archive_path	source_member_name	source_kind	normalization_denominator_authorized	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	denominator_candidate	n_events	10000	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_provenance.json	./metadata/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_provenance.json	json	False	structured_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	denominator_candidate	n_events	10000	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/metadata/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_provenance.json	./metadata/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_provenance.json	json	False	structured_candidate_requires_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	denominator_candidate	n_events	10000	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/metadata/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_provenance.json	./metadata/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_provenance.json	json	False	structured_candidate_requires_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	denominator_candidate	n_events	10000	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/metadata/ggh_hbb_run2_frozen_v2_train_shard9701_10k_provenance.json	./metadata/ggh_hbb_run2_frozen_v2_train_shard9701_10k_provenance.json	json	False	structured_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	denominator_candidate	n_events	10000	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/metadata/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_provenance.json	./metadata/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_provenance.json	json	False	structured_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	denominator_candidate	n_events	10000	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/metadata/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_provenance.json	./metadata/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_provenance.json	json	False	structured_candidate_requires_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	denominator_candidate	n_events	10000	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/metadata/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_provenance.json	./metadata/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_provenance.json	json	False	structured_candidate_requires_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	denominator_candidate	n_events	10000	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/metadata/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_provenance.json	./metadata/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_provenance.json	json	False	structured_candidate_requires_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	denominator_candidate	n_events	10000	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	./metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	json	False	structured_candidate_requires_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_sampling_or_overlap_candidate	pthat_min_GeV	50	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	./metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	json	False	structured_candidate_requires_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_sampling_or_overlap_candidate	pthat_max_GeV	75	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	./metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	json	False	structured_candidate_requires_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	weight_strategy_candidate	event_weight_convention	pythia_info_weight_normalized_to_sigma_gen	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	./metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	json	False	structured_candidate_requires_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	weight_strategy_candidate	sum_event_weights	10000.146754329471	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	./metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	json	False	structured_candidate_requires_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	weight_strategy_candidate	sum_squared_event_weights	10000.298022688956	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	./metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	json	False	structured_candidate_requires_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	weight_strategy_candidate	min_event_weight	1	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	./metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	json	False	structured_candidate_requires_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	weight_strategy_candidate	max_event_weight	1.0420168291999075	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	./metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	json	False	structured_candidate_requires_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_sampling_or_overlap_candidate	physics_role	inclusive_QCD_importance_stratum	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	./metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	json	False	structured_candidate_requires_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	weight_strategy_candidate	generator.event_weight_convention	pythia_info_weight_normalized_to_sigma_gen	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_provenance.json	./metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_provenance.json	json	False	structured_candidate_requires_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	weight_strategy_candidate	generator.max_event_weight	1.0420168291999075	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_provenance.json	./metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_provenance.json	json	False	structured_candidate_requires_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	weight_strategy_candidate	generator.min_event_weight	1	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_provenance.json	./metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_provenance.json	json	False	structured_candidate_requires_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	denominator_candidate	generator.n_events	10000	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_provenance.json	./metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_provenance.json	json	False	structured_candidate_requires_review
