sample_class	process_or_mode	campaign	source_kind	archive_path	member_name	size_bytes	sha256	content_hash_verified	event_payload	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	proc_card	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	2159	4d378340dd98cba49d8afc1d21cde9da35eb8fabb5470bdfbd55e30709a1208d	True	False	denominator_evidence_input
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	pythia8_card	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia8_card_default.dat	./cards/pythia8_card_default.dat	4434	eae9ab88aed291ccfa93aad879abb00c479fe5e852b50a14f48ee2c4ee25a255	True	False	denominator_evidence_input
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	pythia6_card	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	350	392b11bcb52bfabab408edd2ee691e138f9e4f2d5d5c514287a25f4f29d7215b	True	False	denominator_evidence_input
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	run_card	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	9775	8beb6eeebe4ae4b20510f218aa7e121eddcd97fcb7f339ba685414435079fd7c	True	False	denominator_evidence_input
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	other_provenance	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_candidates.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_candidates.log	223	22735058c06dcc90b33e7df1ebf8ff8dc23112216f614460a3b36bc568b03398	True	False	denominator_evidence_input
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	other_provenance	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_delphes.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_delphes.log	8267	50b313637781c1193e48515982a90cb87a5a8d55c8762edcb5eeb9122b9a4212	True	False	denominator_evidence_input
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generator_log_or_summary	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_event_summary.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_event_summary.log	1070	f14aeb65012fb1d063a4dfdde88639ab273899bfec94595cf10544e76f3a4e20	True	False	denominator_evidence_input
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generator_log_or_summary	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_mg5.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_mg5.log	4925	4e55cb8d3758dafb42a26dfb854c1dc93ec0aa3152d480565a11d4edb0e6bd12	True	False	denominator_evidence_input
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	pythia_log_or_card	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	18473	85e13e9c54b00253af0b625d4019f4b2ccc787fc93612dd38f06d5febc8f3e2e	True	False	denominator_evidence_input
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	json	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_provenance.json	./metadata/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_provenance.json	1437	6d91519579fba68b9bb8ca3084f3ed5ab65ee25b6c6b99c149204990be716882	True	False	denominator_evidence_input
