target_index	fragment_id	sample_class	source_index	process_or_mode	campaign	member_id	final_split	generated_events_frozen	candidate_rows_metadata	root_tree_entries	event_weight_values	sum_generator_weights_candidate	sum_squared_generator_weights_candidate	min_generator_weight_candidate	max_generator_weight_candidate	negative_weight_events	zero_weight_events	positive_weight_events	uniform_event_weights	signed_weight_sample_candidate	bundle_sha256	root_member_sha256	normalization_denominator_authorized	reference_cross_section_assigned	physical_weight_calculated	denominator_source_branch	denominator_value_status	denominator_value_frozen	denominator_use_authorized_within_campaign	cross_campaign_process_aggregation_authorized	process_reference_cross_section_assigned	physical_weight_application_authorized	physical_yield_calculation_authorized
1	001_4e2de74dc7dd1588	background	0	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	train	10000	344	10000	10000	286.0054187476635	8.1799099553026355	0.02860054187476635	0.02860054187476635	0	0	10000	True	False	8b59ca913149221d4434722d9d459ee5eaa3c175af7f69158dd5a1e4a8f4c297	807ce8882077143064e5781fc883d0fe789a0930fec90df226ccc49679a624dc	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
2	002_976ccba46a5a7a28	signal	0	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	ggf_shard_000	train	1000	58	1000	1000	0.99312001839280128	0.00098628737093251796	0.00099312001839280128	0.00099312001839280128	0	0	1000	True	False	3a2a7824f40ad0ac0821e5c605f9c0e578e70762308fabd01834b56822c08b36	fc8a67f580b5fed2218e8f23dc8c39b293b4bb277787e7cd09dcb4617bbfdf6e	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
3	003_ef74b099a32b809d	background	1	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	train	10000	334	10000	10000	287.44500065967441	8.2657688173201969	-0.028750250115990639	0.028750250115990639	1	0	9999	False	True	601ab5c7e9eab37ce985c38c14cf88cb5a3ab30f82ca7d05b55acec6b12c1035	ba7c2abfcc27bd25798a9dd0ee265ec8bd4155717c65b501286e8e140e1e2cb2	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
4	004_dea5da4e371b261a	signal	1	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	ggf_shard_001	train	1000	60	1000	1000	0.99255004897713661	0.00098515559972451629	0.00099255004897713661	0.00099255004897713661	0	0	1000	True	False	9e64a2e04c14944da82c9c45663e126cef20548405200c9dc41f24a79f41e97b	6433e447ed51fde2d546c08a67edb24f8979fa16f0d4dd21cb236c9527f74337	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
5	005_e266fa3005709079	background	2	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_bundle.tar.gz	train	10000	334	10000	10000	285.85402294993401	8.1712522436661406	0.028585402294993401	0.028585402294993401	0	0	10000	True	False	2b9e1aa5bcce9840dcd9f7b64aabe073df3897b13cb779975c322a04982aa7ca	ad144017427b10a16a5aeead334d1a205139dcda8fed2ea7ea2a54aecffaaf0d	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
6	006_5cee28e5df72865b	signal	2	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	ggf_shard_002	train	1000	65	1000	1000	0.99294004030525684	0.00098592992364140509	0.00099294004030525684	0.00099294004030525684	0	0	1000	True	False	048f9e42ddb0fbdae5f17285f1442030d463438f8618987567c51465379cf9a8	829e2cf7729e5bebece48a52cc40897b065fd44efeeceb4168e928dd0f33a4c9	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
7	007_43dc3478787a4552	signal	3	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	ggf_shard_003	train	1000	59	1000	1000	0.99083001259714365	0.00098174411386325574	0.00099083001259714365	0.00099083001259714365	0	0	1000	True	False	c45a05238525e4c1cfc148e197f354d1a52cabab788cbe4538f0899a3adcaa80	3f36064af36db17502b6648cf8b7f02823cd981089bb2cf2e30feb0def5791b6	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
8	008_45563b0f3b034502	signal	4	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	ggf_shard_004	train	1000	63	1000	1000	0.99826999939978123	0.00099654299170163921	0.00099826999939978123	0.00099826999939978123	0	0	1000	True	False	442080d0f19d58db635c79745be0eeeb495dc37dc16bba4ae2efebac427a3005	47b3ee7dc5f5f9cdcb58e99d6a7e6819246d775cb82d37df0a4f0374ccfdc6ba	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
9	009_d051cdeff6a9c79b	background	5	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz	train	10000	7	10000	10000	128385.28633117676	1648278.1746338243	12.838528633117676	12.838528633117676	0	0	10000	True	False	eb59e230e5556af7e43cefbd2eb82357f9acbf84c2cfe79548ca264b274f2025	c7752d6bb61bc082a19678be2bc4a7b05ee25f79ab78600e78c2abf4e4ed1ad3	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
10	010_238a59eeec201fd7	signal	5	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	ggf_shard_005	train	1000	62	1000	1000	0.99682004656642675	0.00099365020523669309	0.00099682004656642675	0.00099682004656642675	0	0	1000	True	False	c7e4935a3c2ee109098f22b7f655ba7d213bbe8ce5f9a84a49e55cacd29ad770	2fadbf51d35f0c662ca0bdd1305cd0b29eb2c913d08d4c2da098dbf8bbf3de4c	False	False	False	Event/Event.Weight	frozen_exact_full_member_signed_sumw	True	True	False	False	False	False
