sample_class	source_index	process_or_mode	campaign	member_id	final_split	generated_events_frozen	candidate_rows_metadata	source_kind	source_locator_recorded	candidate_path_recorded_only	denominator_census_status	blocker	physical_normalization_authorized	physical_role_status	relationship_to_bundle_backed_ttbar	denominator_value_frozen	campaign_denominator_use_authorized	cross_population_aggregation_authorized	process_reference_cross_section_assigned	physical_weight_application_authorized	included_in_complete_5m_physical_normalization
background	324	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard001_event_summary.parquet	train	10000	45	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard001_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/reconstruction_return/hh4b_ttbar7_reconstruction_only_recovery_20260728_v1/members/ttbar_100k_shard001/parquet/ttbar_100k_shard001_pythia8_delphes_canonical72.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	325	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard002_event_summary.parquet	train	10000	45	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard002_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/reconstruction_return/hh4b_ttbar7_reconstruction_only_recovery_20260728_v1/members/ttbar_100k_shard002/parquet/ttbar_100k_shard002_pythia8_delphes_canonical72.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	326	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard003_event_summary.parquet	train	10000	38	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard003_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar8_exact_regeneration_canary_retry2_20260727_v1/members/ttbar_100k_shard003/parquet/ttbar_100k_shard003_pythia8_delphes_canonical72.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	327	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard007_event_summary.parquet	train	10000	44	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard007_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/reconstruction_return/hh4b_ttbar7_reconstruction_only_recovery_20260728_v1/members/ttbar_100k_shard007/parquet/ttbar_100k_shard007_pythia8_delphes_canonical72.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	328	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard008_event_summary.parquet	train	10000	45	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard008_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/reconstruction_return/hh4b_ttbar7_reconstruction_only_recovery_20260728_v1/members/ttbar_100k_shard008/parquet/ttbar_100k_shard008_pythia8_delphes_canonical72.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	329	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard009_event_summary.parquet	train	10000	31	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard009_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/reconstruction_return/hh4b_ttbar7_reconstruction_only_recovery_20260728_v1/members/ttbar_100k_shard009/parquet/ttbar_100k_shard009_pythia8_delphes_canonical72.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	330	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard000_event_summary.parquet	train	10000	37	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard000_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__000__ttbar_200k_shard000_pythia8_delphes_v2_hh4b_candidates.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	331	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard001_event_summary.parquet	train	10000	39	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard001_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__001__ttbar_200k_shard001_pythia8_delphes_v2_hh4b_candidates.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	332	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard002_event_summary.parquet	train	10000	33	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard002_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__002__ttbar_200k_shard002_pythia8_delphes_v2_hh4b_candidates.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	333	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard004_event_summary.parquet	train	10000	37	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard004_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__004__ttbar_200k_shard004_pythia8_delphes_v2_hh4b_candidates.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	334	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard005_event_summary.parquet	train	10000	46	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard005_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__005__ttbar_200k_shard005_pythia8_delphes_v2_hh4b_candidates.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	335	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard006_event_summary.parquet	train	10000	24	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard006_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__006__ttbar_200k_shard006_pythia8_delphes_v2_hh4b_candidates.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	336	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard007_event_summary.parquet	train	10000	38	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard007_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__007__ttbar_200k_shard007_pythia8_delphes_v2_hh4b_candidates.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	337	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard009_event_summary.parquet	train	10000	34	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard009_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__009__ttbar_200k_shard009_pythia8_delphes_v2_hh4b_candidates.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	338	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard011_event_summary.parquet	train	10000	34	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard011_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__011__ttbar_200k_shard011_pythia8_delphes_v2_hh4b_candidates.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	339	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard012_event_summary.parquet	train	10000	32	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard012_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__012__ttbar_200k_shard012_pythia8_delphes_v2_hh4b_candidates.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	340	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard013_event_summary.parquet	train	10000	34	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard013_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__013__ttbar_200k_shard013_pythia8_delphes_v2_hh4b_candidates.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	341	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard014_event_summary.parquet	train	10000	48	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard014_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__014__ttbar_200k_shard014_pythia8_delphes_v2_hh4b_candidates.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	342	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard016_event_summary.parquet	train	10000	29	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard016_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__016__ttbar_200k_shard016_pythia8_delphes_v2_hh4b_candidates.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	343	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard017_event_summary.parquet	train	10000	36	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard017_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__017__ttbar_200k_shard017_pythia8_delphes_v2_hh4b_candidates.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	344	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard018_event_summary.parquet	train	10000	40	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard018_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__018__ttbar_200k_shard018_pythia8_delphes_v2_hh4b_candidates.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
background	345	ttbar_inclusive	parquet	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard019_event_summary.parquet	train	10000	42	local_candidate_parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard019_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__019__ttbar_200k_shard019_pythia8_delphes_v2_hh4b_candidates.parquet	no_member_exact_denominator_evidence	original_generator_source_and_Event.Weight_payload_unresolved	False	blocked_pending_original_generator_source_recovery_or_formal_exclusion	unresolved_no_exact_source_identity_link	False	False	False	False	False	False
