index_source	index_ordinal	sample_class	process_or_mode	campaign	member_index	member_name	member_type	size_bytes	safe_relative_path	event_payload	nested_archive	artifact_types	allowlist_candidate	content_opened	content_extracted	status
canary	1	signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	1	.	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	1	signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	2	./hepmc	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	1	signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	3	./hepmc/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_pythia8.hepmc	regular_file	277191545	True	True	False	parton_shower_card	False	False	False	archive_header_indexed_only
canary	1	signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	4	./metadata	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	1	signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	5	./metadata/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_provenance.json	regular_file	768	True	False	False	generation_provenance_metadata	True	False	False	archive_header_indexed_only
canary	1	signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	6	./products	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	1	signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	7	./products/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_reconstruction.tar.gz	regular_file	90427740	True	False	True	none	False	False	False	archive_header_indexed_only
canary	2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	1	.	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	2	./root	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	2	signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	3	./root/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_delphes.root	regular_file	894255671	True	True	False	none	False	False	False	archive_header_indexed_only
