sample_class	process_or_mode	campaign	source_type	representative_bundle_indexed	bundle_sha256_recorded	archive_members_extracted	event_payload_opened	physics_normalization_ready	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
