sample_class	process_or_mode	campaign	source_type	representative_locator	representative_exists	representative_size_bytes	metadata_access_method	event_payload_opened	bundle_downloaded	bundle_content_indexed	status	diagnostic
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_bundle.tar.gz	True	864708870	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	True	856367444	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_pilot10k_20260722_v1/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_bundle.tar.gz	True	783232189	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz	True	775236693	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	True	867076826	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	True	858006894	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	True	961579902	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	True	958106595	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_bundle.tar.gz	True	1606628831	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	eos_bundle	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_bundle.tar.gz	True	1618275041	xrdfs_stat_only	False	False	False	representative_bundle_stat_pass	none
