sample_class	process_or_mode	campaign	artifact_type	blocking_reason	resolved
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generator_stdout_or_summary	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generator_stdout_or_summary	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	generator_stdout_or_summary	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	generator_stdout_or_summary	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	generator_stdout_or_summary	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
