sample_class	process_or_mode	campaign	field	value	unit	confidence	source_archive_path	source_member_name	source_line	source_kind	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	lhaid	10041	none	high_run_card	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	run_card	parsed_candidate_not_yet_authoritative
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generated_events	31	events	medium_text_event_count	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_mg5.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_mg5.log	82	text	parsed_candidate_not_yet_authoritative
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generator_cross_section_pb	56420000000	pb	medium_text_cross_section	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	72	text	parsed_candidate_not_yet_authoritative
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generator_cross_section_pb	316820000000	pb	medium_text_cross_section	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	74	text	parsed_candidate_not_yet_authoritative
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generated_events	10000	events	high_json_key	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_provenance.json	./metadata/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_provenance.json	json:n_events	json	parsed_candidate_not_yet_authoritative
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generated_events	10000	events	high_banner_generation_info	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	367	text	parsed_candidate_not_yet_authoritative
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generator_cross_section_pb	0.028709590999999996	pb	high_banner_generation_info	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	368	text	parsed_candidate_not_yet_authoritative
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	lhaid	10041	none	high_run_card	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	run_card	parsed_candidate_not_yet_authoritative
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generated_events	31	events	medium_text_event_count	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_mg5.log	./logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_mg5.log	83	text	parsed_candidate_not_yet_authoritative
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generator_cross_section_pb	56420000000	pb	medium_text_cross_section	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	72	text	parsed_candidate_not_yet_authoritative
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generator_cross_section_pb	318840000000	pb	medium_text_cross_section	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	74	text	parsed_candidate_not_yet_authoritative
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generated_events	10000	events	high_json_key	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/metadata/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_provenance.json	./metadata/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_provenance.json	json:n_events	json	parsed_candidate_not_yet_authoritative
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generated_events	10000	events	high_banner_generation_info	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	367	text	parsed_candidate_not_yet_authoritative
