sample_class	process_or_mode	campaign	members	generated_events	sumw	sumw2	negative_weight_events	zero_weight_events	positive_weight_events	denominator_frozen	denominator_use_authorized	global_ordinary_registry_frozen	cross_campaign_process_aggregation_authorized	integrated_luminosity_contract_frozen	physical_weight_application_authorized	source_registry
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	1	10000	287.09711506962776	8.24247534813031	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	4	40000	1147.522273760289	32.92388285015477	1	0	39999	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	20	20000	19.852150115184486	0.019705580544910214	0	0	20000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	80	80000	79.36545996926725	0.07873673468846025	0	0	80000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	1	10000	128778.19061279297	1658382.237750484	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	9	90000	1154784.4028606415	14818312.113597449	2	0	89998	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	70187.99781799316	492635.5037698613	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	2	20000	139814.0001296997	977398.5004320208	0	0	20000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	581240.0054931641	33783994.39856934	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	7	70000	4070380.0201416016	236686015.9979743	0	0	70000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	1003600.0061035156	100721297.22509766	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	7	70000	7032850.036621094	706588221.1358426	0	0	70000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	ttbar_inclusive	ttbar_100k	9	90000	46103514.404296875	23617062044.655178	0	0	90000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_ttbar_independence_inclusion_freeze_20260730_v1/frozen_ttbar_campaign_denominator_registry.tsv
background	ttbar_inclusive	ttbar_200k	18	180000	92212753.29589844	47240007515.11345	0	0	180000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_ttbar_independence_inclusion_freeze_20260730_v1/frozen_ttbar_campaign_denominator_registry.tsv
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	5125641.4794921875	2627220057.629086	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_ttbar_independence_inclusion_freeze_20260730_v1/frozen_ttbar_campaign_denominator_registry.tsv
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	74	740000	379086586.30371094	194198431356.03503	0	0	740000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_ttbar_independence_inclusion_freeze_20260730_v1/frozen_ttbar_campaign_denominator_registry.tsv
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	3309.130072593689	1095.0341837343913	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	30000	9896.65001630783	3264.7936348012063	0	0	30000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
