sample_class	process_or_mode	campaign	remote_bundle_path	bundle_basename	source_tag	bin_index	pthat_min_GeV	pthat_max_GeV	shard_id	seed	exact_metadata_files	structured_metadata_rows	status
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000				0	86000	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard001_seed86001_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard001_seed86001_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard001_seed86001				1	86001	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard002_seed86002_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard002_seed86002_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard002_seed86002				2	86002	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard003_seed86003_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard003_seed86003_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard003_seed86003				3	86003	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard004_seed86004_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard004_seed86004_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard004_seed86004				4	86004	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard005_seed86005_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard005_seed86005_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard005_seed86005				5	86005	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard006_seed86006_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard006_seed86006_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard006_seed86006				6	86006	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard007_seed86007_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard007_seed86007_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard007_seed86007				7	86007	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard008_seed86008_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard008_seed86008_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard008_seed86008				8	86008	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard009_seed86009_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard009_seed86009_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard009_seed86009				9	86009	0	0	eos_bundle_identity_frozen
