campaign	bin_index	pthat_min_GeV	pthat_max_GeV	bundle_count	bundles_with_structured_metadata	identities_unique	interval_valid	metadata_coverage_complete	qcd_stitching_authorized	status
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	0	50	75	73	73	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	1	75	100	44	44	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	2	100	200	28	28	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	3	200	300	1	1	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	4	300	500	1	1	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	5	500	700	1	1	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	6	700	1000	1	1	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	7	1000	Inf	1	1	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	0	50	75	31	31	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	1	75	100	8	8	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	2	100	200	5	5	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	3	200	300	2	2	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	4	300	500	2	2	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	5	500	700	2	2	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	6	700	1000	2	2	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	7	1000	Inf	2	2	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	0	50	75	31	31	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	1	75	100	9	9	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	2	100	200	6	6	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	3	200	300	2	2	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	4	300	500	2	2	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	5	500	700	2	2	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	6	700	1000	2	2	True	True	True	False	complete_candidate
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	7	1000	Inf	2	2	True	True	True	False	complete_candidate
qcd_hardqcd_importance_testfill_bin3_10k_20260717	3	200	300	1	1	True	True	True	False	complete_candidate
