sample_class	process_or_mode	campaign	representative_locator	bundle_sha256	member_name	archive_path	size_bytes	sha256	artifact_types	utf8_decodable	contains_nul_byte	extracted_from_regular_file	event_payload	nested_archive	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_bundle.tar.gz	3e711be5b513020c2c20d88b9130e4a68b6dffe4ebdde6b0d3aa37ba0e6fd44b	./cards/proc_card_mg5.dat	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	2159	4d378340dd98cba49d8afc1d21cde9da35eb8fabb5470bdfbd55e30709a1208d	proc_card	True	False	True	False	False	authorized_normalization_provenance_extracted
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_bundle.tar.gz	3e711be5b513020c2c20d88b9130e4a68b6dffe4ebdde6b0d3aa37ba0e6fd44b	./cards/pythia8_card_default.dat	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia8_card_default.dat	4434	eae9ab88aed291ccfa93aad879abb00c479fe5e852b50a14f48ee2c4ee25a255	parton_shower_card	True	False	True	False	False	authorized_normalization_provenance_extracted
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_bundle.tar.gz	3e711be5b513020c2c20d88b9130e4a68b6dffe4ebdde6b0d3aa37ba0e6fd44b	./cards/pythia_card_default.dat	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia_card_default.dat	350	392b11bcb52bfabab408edd2ee691e138f9e4f2d5d5c514287a25f4f29d7215b	parton_shower_card	True	False	True	False	False	authorized_normalization_provenance_extracted
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_bundle.tar.gz	3e711be5b513020c2c20d88b9130e4a68b6dffe4ebdde6b0d3aa37ba0e6fd44b	./cards/run_card.dat	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	9775	8beb6eeebe4ae4b20510f218aa7e121eddcd97fcb7f339ba685414435079fd7c	run_card	True	False	True	False	False	authorized_normalization_provenance_extracted
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_bundle.tar.gz	3e711be5b513020c2c20d88b9130e4a68b6dffe4ebdde6b0d3aa37ba0e6fd44b	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_candidates.log	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_candidates.log	223	22735058c06dcc90b33e7df1ebf8ff8dc23112216f614460a3b36bc568b03398	candidate_or_event_summary_log	True	False	True	False	False	authorized_normalization_provenance_extracted
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_bundle.tar.gz	3e711be5b513020c2c20d88b9130e4a68b6dffe4ebdde6b0d3aa37ba0e6fd44b	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_delphes.log	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_delphes.log	8267	50b313637781c1193e48515982a90cb87a5a8d55c8762edcb5eeb9122b9a4212	delphes_log_or_configuration	True	False	True	False	False	authorized_normalization_provenance_extracted
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_bundle.tar.gz	3e711be5b513020c2c20d88b9130e4a68b6dffe4ebdde6b0d3aa37ba0e6fd44b	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_event_summary.log	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_event_summary.log	1070	f14aeb65012fb1d063a4dfdde88639ab273899bfec94595cf10544e76f3a4e20	candidate_or_event_summary_log,generator_stdout_or_summary	True	False	True	False	False	authorized_normalization_provenance_extracted
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_bundle.tar.gz	3e711be5b513020c2c20d88b9130e4a68b6dffe4ebdde6b0d3aa37ba0e6fd44b	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_mg5.log	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_mg5.log	4925	4e55cb8d3758dafb42a26dfb854c1dc93ec0aa3152d480565a11d4edb0e6bd12	generator_stdout_or_summary	True	False	True	False	False	authorized_normalization_provenance_extracted
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_bundle.tar.gz	3e711be5b513020c2c20d88b9130e4a68b6dffe4ebdde6b0d3aa37ba0e6fd44b	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	18473	85e13e9c54b00253af0b625d4019f4b2ccc787fc93612dd38f06d5febc8f3e2e	parton_shower_card	True	False	True	False	False	authorized_normalization_provenance_extracted
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_bundle.tar.gz	3e711be5b513020c2c20d88b9130e4a68b6dffe4ebdde6b0d3aa37ba0e6fd44b	./metadata/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_provenance.json	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_provenance.json	1437	6d91519579fba68b9bb8ca3084f3ed5ab65ee25b6c6b99c149204990be716882	generation_provenance_metadata	True	False	True	False	False	authorized_normalization_provenance_extracted
