sample_class	process_or_mode	campaign	members	generated_events	candidate_rows_metadata	train_members	validation_members	final_evaluation_members	energy_tag_inferred_from_path	source_locator_example	generator_artifacts_recovered	sum_generator_weights_recovered	cross_section_provenance_resolved	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	1	10000	344	0	1	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	4	40000	1371	3	0	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	1	10000	3	0	1	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_pilot10k_20260722_v1/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	9	90000	40	8	0	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	334	1	0	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	14	140000	5082	10	3	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	1481	1	0	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	14	140000	21619	11	2	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	150	1500000	28	112	38	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	54	500000	27	43	7	4	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	56	500000	24	31	11	14	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	1	10000	2	0	0	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_testfill_bin3_10k_20260717/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	8	1	0	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	2	20000	13	0	1	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_scaleout_shard4315_10kevt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
