sample_class	process_or_mode	campaign	members	generated_events	campaign_sumw	campaign_sumw2	process_effective_reference_factor_pb	process_denominator_sumw	campaign_sumw_fraction_of_process	cross_section_coefficient_pb_per_generator_weight	run2_luminosity_pb_inverse	run2_yield_coefficient_per_generator_weight	analytical_campaign_run2_yield_contribution	analytical_campaign_physical_weight_sum_squared	coefficient_construction_authorized	candidate_physical_weight_application_authorized	selected_physical_yield_calculation_authorized
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	1	10000	287.09711506962776	8.24247534813031	0.5277	1434.6193888299167	0.20012075488801647	0.00036783275348759573	138000.0	50.760919981288211	14573.313684908069	21238.147175872883	True	False	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	4	40000	1147.522273760289	32.92388285015477	0.5277	1434.6193888299167	0.79987924511198357	0.00036783275348759573	138000.0	50.760919981288211	58249.286315091935	84834.014060035677	True	False	False
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	1	10000	128778.19061279297	1658382.237750484	48.58	1283562.5934734344	0.10032871888569746	0.000037847784164960903	138000.0	5.2229942147646047	672607.74455847120	45240117.804003367	True	False	False
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	9	90000	1154784.4028606415	14818312.113597449	48.58	1283562.5934734344	0.89967128111430259	0.000037847784164960903	138000.0	5.2229942147646047	6031432.2554415292	404238643.18818320	True	False	False
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	70187.99781799316	492635.5037698613	11.073	210001.99794769287	0.33422538120554229	0.000052728069771784048	138000.0	7.2764736285061986	510721.11516027784	26083605.747055780	True	False	False
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	2	20000	139814.0001296997	977398.5004320208	11.073	210001.99794769287	0.66577461879445766	0.000052728069771784048	138000.0	7.2764736285061986	1017352.8848397221	51750385.321278275	True	False	False
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	581240.0054931641	33783994.39856934	80.0	4651620.025634766	0.12495431748293915	0.000017198309311406642	138000.0	2.3733666849741166	1379495.6650116482	190300828.97859294	True	False	False
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	7	70000	4070380.0201416016	236686015.9979743	80.0	4651620.025634766	0.87504568251706079	0.000017198309311406642	138000.0	2.3733666849741166	9660504.3349883511	1333221421.9749695	True	False	False
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	1003600.0061035156	100721297.22509766	134.2	8036450.042724609	0.12488101098968117	0.000016698915477175291	138000.0	2.3044503358501901	2312746.3711244994	534879577.71495409	True	False	False
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	7	70000	7032850.036621094	706588221.1358426	134.2	8036450.042724609	0.87511898901031891	0.000016698915477175291	138000.0	2.3044503358501901	16206853.628875502	3752330636.6364528	True	False	False
background	ttbar_inclusive	ttbar_100k	9	90000	46103514.404296875	23617062044.655178	833.9	522528495.48339844	0.088231579335488426	0.0000015958938262851051	138000.0	0.22023334802734451	10153531.333085204	1145491926.6705941	True	False	False
background	ttbar_inclusive	ttbar_200k	18	180000	92212753.29589844	47240007515.11345	833.9	522528495.48339844	0.17647411403007051	0.0000015958938262851051	138000.0	0.22023334802734451	20308323.389175260	2291269215.5401725	True	False	False
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	5125641.4794921875	2627220057.629086	833.9	522528495.48339844	0.0098093051839218542	0.0000015958938262851051	138000.0	0.22023334802734451	1128837.1838163959	127427338.75665316	True	False	False
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	74	740000	379086586.30371094	194198431356.03503	833.9	522528495.48339844	0.72548500145051921	0.0000015958938262851051	138000.0	0.22023334802734451	83487508.093923140	9419153613.1724474	True	False	False
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	3309.130072593689	1095.0341837343913	0.29533504	13205.78008890152	0.25058194595976710	0.000022364073762534273	138000.0	3.0862421792297296	10212.776806596180	10430.081010134887	True	False	False
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	30000	9896.65001630783	3264.7936348012063	0.29533504	13205.78008890152	0.74941805404023283	0.000022364073762534273	138000.0	3.0862421792297296	30543.458713403817	31096.802819635899	True	False	False
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	91.30749851465225	0.8337059285003223	0.01015	366.3682285696268	0.24922329884099005	0.000027704367378218315	138000.0	3.8232026981941275	349.08707468657477	12.186178571323023	True	False	False
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	30000	275.06073005497456	2.521951048353602	0.01015	366.3682285696268	0.75077670115900997	0.000027704367378218315	138000.0	3.8232026981941275	1051.6129253134253	36.863052993583717	True	False	False
