sample_class	process_or_mode	batch	campaigns	generated_events	reference_class	sigma_reference_pb	external_branching_factor	external_H_to_bb_power	additional_k_factor	filter_efficiency_multiplier	effective_reference_factor_pb	process_denominator_sumw	process_denominator_sumw2	negative_weight_events	zero_weight_events	positive_weight_events	weight_convention_class	cross_section_coefficient_pb_per_generator_weight	run2_luminosity_pb_inverse	run2_yield_coefficient_per_generator_weight	analytical_run2_reference_yield	reconstructed_run2_denominator_yield	analytical_physical_weight_sum_squared	denominator_effective_events	campaign_denominator_closure_pass	run2_analytical_yield_closure_pass	coefficient_construction_authorized	candidate_physical_weight_application_authorized	selected_physical_yield_calculation_authorized
background	bbh_hbb_4fs	A	2	50000	authoritative_inclusive_13TeV	0.5277	1	0	1	1	0.5277	1434.6193888299167	41.16635819828508	1	0	49999	signed_generator_weights	0.00036783275348759573	138000.0	50.760919981288211	72822.60000	72822.600000000000	106072.16123590856	49995.503145878520	True	True	True	False	False
background	ggh_hbb	A	2	100000	authoritative_inclusive_13TeV	48.58	1	0	1	1	48.58	1283562.5934734344	16476694.351347933	2	0	99998	signed_generator_weights	0.000037847784164960903	138000.0	5.2229942147646047	6704040.000	6704040.0000000000	449478760.99218657	99991.715342432561	True	True	True	False	False
background	schannel_single_top	B	2	30000	authoritative_inclusive_13TeV_NNLO	11.073	1	0	1	1	11.073	210001.99794769287	1470034.004201882	0	0	30000	positive_generator_weights	0.000052728069771784048	138000.0	7.2764736285061986	1528074.0000	1528074.0000000000	77833991.068334050	29999.876884457678	True	True	True	False	False
background	tchannel_antitop	B	2	80000	authoritative_inclusive_13TeV_NNLO	80.0	1	0	1	1	80.0	4651620.025634766	270470010.3965436	0	0	80000	positive_generator_weights	0.000017198309311406642	138000.0	2.3733666849741166	11040000.00	11040000.000000000	1523522250.9535622	79999.881802655089	True	True	True	False	False
background	tchannel_top	B	2	80000	authoritative_inclusive_13TeV_NNLO	134.2	1	0	1	1	134.2	8036450.042724609	807309518.3609402	0	0	80000	positive_generator_weights	0.000016698915477175291	138000.0	2.3044503358501901	18519600.00	18519600.000000000	4287210214.3514066	79999.712403159426	True	True	True	False	False
background	ttbar_inclusive	B	4	1020000	authoritative_inclusive_13TeV_NNLO_NNLL	833.9	1	0	1	1	833.9	522528495.48339844	267682720973.43274	0	0	1020000	positive_generator_weights	0.0000015958938262851051	138000.0	0.22023334802734451	115078200.00	115078200.00000000	12983342094.139867	1019998.7044335316	True	True	True	False	False
background	tth_hbb	A	2	40000	authoritative_inclusive_13TeV	0.5071	0.5824	1	1	1	0.29533504	13205.78008890152	4359.8278185355975	0	0	40000	positive_generator_weights	0.000022364073762534273	138000.0	3.0862421792297296	40756.235520000	40756.235520000000	41526.883829770785	39999.888760516184	True	True	True	False	False
background	tttt	B	2	40000	authoritative_inclusive_13TeV_NLO_NLLprime	0.01015	1	0	1	1	0.01015	366.3682285696268	3.3556569768539246	0	0	40000	positive_generator_weights	0.000027704367378218315	138000.0	3.8232026981941275	1400.700000	1400.7000000000000	49.049231564906745	39999.821147121170	True	True	True	False	False
background	ttw	B	2	60000	generator_fiducial_LO_campaign_mean	0.3539400100708008	1	0	1	1	0.3539400100708008	21181.580424308777	7477.694906773386	0	0	60000	positive_generator_weights	0.000016709801770249681	138000.0	2.3059526442944560	48843.721389770510	48843.721389770510	39762.026487722281	59999.686382639088	True	True	True	False	False
background	ttz_zbb	B	2	40000	generator_fiducial_LO_campaign_mean	0.08497805148363113	1	0	1	1	0.08497805148363113	3397.50699698925	288.57701513454737	0	0	40000	positive_generator_weights	0.000025011884172405137	138000.0	3.4516400157919089	11726.971104741096	11726.971104741096	3438.0542677584555	39999.907093116994	True	True	True	False	False
background	tw_antitop	B	2	70000	generator_fiducial_LO_campaign_mean	28.00627994537354	1	0	1	1	28.00627994537354	1961350.0022888184	54955693.98836484	0	0	70000	positive_generator_weights	0.000014279083239957841	138000.0	1.9705134871141821	3864866.6324615485	3864866.6324615485	213388750.30997188	69999.913608457172	True	True	True	False	False
background	tw_top	B	2	70000	generator_fiducial_LO_campaign_mean	28.04204940795898	1	0	1	1	28.04204940795898	1962216.3009643555	55004200.81896729	0	0	70000	positive_generator_weights	0.000014291008281899079	138000.0	1.9721591429020729	3869802.8182983392	3869802.8182983392	213933981.38565079	69999.977355230081	True	True	True	False	False
background	vbf_hbb	A	2	50000	generator_fiducial_LO_production_banner	2.7924382	0.5824	1	1	1	1.62631600768	139642.37689971924	390001.48041388567	0	0	50000	positive_generator_weights	0.000011646292792967131	138000.0	1.6071884054294641	224431.60905984000	224431.60905984000	1007395.1065031461	49999.793348243303	True	True	True	False	False
background	wh_hbb	A	2	60000	authoritative_inclusive_13TeV	1.373	0.5824	1	1	1	0.7996352	54805.500507354736	50060.7652479583	0	0	60000	positive_generator_weights	0.000014590418709755079	138000.0	2.0134777819462009	110349.65760000	110349.65760000000	202950.98687247452	59999.939493217437	True	True	True	False	False
background	ww	C	2	40000	generator_fiducial_LO_campaign_mean	64.70650100708008	1	0	1	1	64.70650100708008	2587468.032836914	167374823.97736922	0	0	40000	positive_generator_weights	0.000025007652340398394	138000.0	3.4510560229749783	8929497.1389770510	8929497.1389770510	1993398615.4953666	39999.987225427406	True	True	True	False	False
background	wwz_zbb	C	2	26000	generator_fiducial_LO_campaign_mean	0.09537744522094727	1	0	1	1	0.09537744522094727	2477.0847733467817	237.5680453885531	43	0	25957	signed_generator_weights	0.000038503908403620395	138000.0	5.3135393596996145	13162.087440490723	13162.087440490723	6707.4250483034419	25828.174678588863	True	True	True	False	False
