population_kind	sample_class	process_or_mode	campaign	transport_id	source_index_or_target_index	transport_class	generated_events	candidate_rows	candidate_path	candidate_sha256	combined_sidecar_path	combined_sidecar_sha256	sidecar_row_start_inclusive	sidecar_row_stop_exclusive	negative_physical_weight_rows	zero_physical_weight_rows	positive_physical_weight_rows	event_join_exact	candidate_physical_weights_materialized	selected_physical_yield_calculated	zero_candidate_policy
ordinary	background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	0	uniform_member_constant	10000	344	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/bbh_hbb_4fs/0000_bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_hh4b_candidates_v2.parquet	8521ad0f898c1e57f765044254a4b3d977f218229b8f3b2a2f0a4647e76a5779	/uscms/home/iturkmen/physical_weight_sidecars/train_candidate_run2_physical_weights_20260731_v1/train_candidate_run2_physical_weights.parquet	d5315ed70bb0298b4fc67e6e8c41437a7457b9b28b10fea2982d95b96275e2d3	0	344	0	0	344	True	344	False	not_applicable
ordinary	background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	1	signed_exact_event_sidecar	10000	334	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/bbh_hbb_4fs/0001_bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_hh4b_candidates_v2.parquet	41381ddeb2cd3a854656fa323a0110d1f08c0c554076c61d5d6849170412199f	/uscms/home/iturkmen/physical_weight_sidecars/train_candidate_run2_physical_weights_20260731_v1/train_candidate_run2_physical_weights.parquet	d5315ed70bb0298b4fc67e6e8c41437a7457b9b28b10fea2982d95b96275e2d3	344	678	0	0	334	True	334	False	not_applicable
ordinary	background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_bundle.tar.gz	2	uniform_member_constant	10000	334	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/bbh_hbb_4fs/0002_bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_hh4b_candidates_v2.parquet	ad3d5f7510f11785f38627560063251ac7cb6e556dafc327ee9d68ab5778e1bd	/uscms/home/iturkmen/physical_weight_sidecars/train_candidate_run2_physical_weights_20260731_v1/train_candidate_run2_physical_weights.parquet	d5315ed70bb0298b4fc67e6e8c41437a7457b9b28b10fea2982d95b96275e2d3	678	1012	0	0	334	True	334	False	not_applicable
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz	5	uniform_member_constant	10000	7	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0005_ggh_hbb_run2_frozen_v2_train_shard9701_10k_hh4b_candidates_v2.parquet	de2f575955f2f3d85f55fbb4258dd57974cf89207803458c1d198dd16953199c	/uscms/home/iturkmen/physical_weight_sidecars/train_candidate_run2_physical_weights_20260731_v1/train_candidate_run2_physical_weights.parquet	d5315ed70bb0298b4fc67e6e8c41437a7457b9b28b10fea2982d95b96275e2d3	1012	1019	0	0	7	True	7	False	not_applicable
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz	6	uniform_member_constant	10000	1	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0006_ggh_hbb_run2_frozen_v2_train_shard9702_10k_hh4b_candidates_v2.parquet	777a098be611a618512bbcf37751bf7f9879a079052d812bed05713a173a67b2	/uscms/home/iturkmen/physical_weight_sidecars/train_candidate_run2_physical_weights_20260731_v1/train_candidate_run2_physical_weights.parquet	d5315ed70bb0298b4fc67e6e8c41437a7457b9b28b10fea2982d95b96275e2d3	1019	1020	0	0	1	True	1	False	not_applicable
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9703_10k_bundle.tar.gz	7	signed_exact_event_sidecar	10000	7	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0007_ggh_hbb_run2_frozen_v2_train_shard9703_10k_hh4b_candidates_v2.parquet	0f868f1dcab03c758e87f9f45d0bab2e12283215c3e2a1a416d71b4dcce8b372	/uscms/home/iturkmen/physical_weight_sidecars/train_candidate_run2_physical_weights_20260731_v1/train_candidate_run2_physical_weights.parquet	d5315ed70bb0298b4fc67e6e8c41437a7457b9b28b10fea2982d95b96275e2d3	1020	1027	0	0	7	True	7	False	not_applicable
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9704_10k_bundle.tar.gz	8	uniform_member_constant	10000	6	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0008_ggh_hbb_run2_frozen_v2_train_shard9704_10k_hh4b_candidates_v2.parquet	74159f08c879081c31c9718c3f1a261e154415392a1969d54b6489dac9833175	/uscms/home/iturkmen/physical_weight_sidecars/train_candidate_run2_physical_weights_20260731_v1/train_candidate_run2_physical_weights.parquet	d5315ed70bb0298b4fc67e6e8c41437a7457b9b28b10fea2982d95b96275e2d3	1027	1033	0	0	6	True	6	False	not_applicable
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9705_10k_bundle.tar.gz	9	uniform_member_constant	10000	3	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0009_ggh_hbb_run2_frozen_v2_train_shard9705_10k_hh4b_candidates_v2.parquet	c10c52c1c241b5dee6b422392db386e4c4ceaaec401455f3cc342a54de81c105	/uscms/home/iturkmen/physical_weight_sidecars/train_candidate_run2_physical_weights_20260731_v1/train_candidate_run2_physical_weights.parquet	d5315ed70bb0298b4fc67e6e8c41437a7457b9b28b10fea2982d95b96275e2d3	1033	1036	0	0	3	True	3	False	not_applicable
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9706_10k_bundle.tar.gz	10	uniform_member_constant	10000	6	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0010_ggh_hbb_run2_frozen_v2_train_shard9706_10k_hh4b_candidates_v2.parquet	4fb4a34b880f056128e85bfb8cb8383c619f0e6473451b196243843cf3d04eb2	/uscms/home/iturkmen/physical_weight_sidecars/train_candidate_run2_physical_weights_20260731_v1/train_candidate_run2_physical_weights.parquet	d5315ed70bb0298b4fc67e6e8c41437a7457b9b28b10fea2982d95b96275e2d3	1036	1042	0	0	6	True	6	False	not_applicable
ordinary	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9707_10k_bundle.tar.gz	11	uniform_member_constant	10000	2	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0011_ggh_hbb_run2_frozen_v2_train_shard9707_10k_hh4b_candidates_v2.parquet	6e573d6cddea67bd7482de601b7796084b1b7aeff0d809dc3e4a2fc526dce7b8	/uscms/home/iturkmen/physical_weight_sidecars/train_candidate_run2_physical_weights_20260731_v1/train_candidate_run2_physical_weights.parquet	d5315ed70bb0298b4fc67e6e8c41437a7457b9b28b10fea2982d95b96275e2d3	1042	1044	0	0	2	True	2	False	not_applicable
