member_index	sample_class	process_or_mode	campaign	dataset_split	generated_events	candidate_rows_recorded_in_prior_source_map	candidate_path	candidate_sha256	remote_bundle_path	remote_bundle_uri	bundle_sha256_expected	bundle_size_bytes	root_archive_member	root_basename	campaign_manifest_generated_events	candidate_parquet_access_authorized	root_nominal_weight_access_authorized_for_this_audit	normalization_denominator_authorized	status
402	background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	validation	5200	14	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/validation/wwz_zbb/0313_wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_hh4b_candidates_v2.parquet	0399f0317630bf6d2d3b56f4d86697ea9034a63ab7e1c468962f9cb11ede7168	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_bundle.tar.gz	b7a6d98bbae1e7bf05a372abe096330ddc5435c5c1d11bdb1e68de97b65dbec6	474353085	root/wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_delphes.root	wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_delphes.root	5200	False	True	False	selected_for_triboson_root_weight_audit
398	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	5200	9	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wwz_zbb/0309_wwz_zbb_run2_frozen_v2_train_shard9901_5200_hh4b_candidates_v2.parquet	59e8540af0a3eadda3cc08b1d4c27d0e7b795ae2b0ad14f259e749d1d1a856cd	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9901_5200_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9901_5200_bundle.tar.gz	975fe361b082fb12ebc655daa6b5b737da3a30c65e7cd565cd0674e7f4d8bc42	472106981	root/wwz_zbb_run2_frozen_v2_train_shard9901_5200_delphes.root	wwz_zbb_run2_frozen_v2_train_shard9901_5200_delphes.root	20800	False	True	False	selected_for_triboson_root_weight_audit
399	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	5200	9	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wwz_zbb/0310_wwz_zbb_run2_frozen_v2_train_shard9902_5200_hh4b_candidates_v2.parquet	9bdb10e2137561841ad243ddfed39001f77d90921ae268573558d87a7ea86671	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9902_5200_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9902_5200_bundle.tar.gz	76d5820f72657e789a8f8430776f5ce10b54cbb747e11b8919b241cb070d5036	473233558	root/wwz_zbb_run2_frozen_v2_train_shard9902_5200_delphes.root	wwz_zbb_run2_frozen_v2_train_shard9902_5200_delphes.root	20800	False	True	False	selected_for_triboson_root_weight_audit
400	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	5200	10	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wwz_zbb/0311_wwz_zbb_run2_frozen_v2_train_shard9903_5200_hh4b_candidates_v2.parquet	71ab19fdcddb163b40d930e59af0f13a125147eae0906f551edeb337e2e1e597	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9903_5200_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9903_5200_bundle.tar.gz	1cddfa6260638230bac9a398aab96f442d8d5d9bea884c7af4bee29c4da3f825	472648224	root/wwz_zbb_run2_frozen_v2_train_shard9903_5200_delphes.root	wwz_zbb_run2_frozen_v2_train_shard9903_5200_delphes.root	20800	False	True	False	selected_for_triboson_root_weight_audit
401	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	5200	5	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wwz_zbb/0312_wwz_zbb_run2_frozen_v2_train_shard9904_5200_hh4b_candidates_v2.parquet	7af1cc27a669db4270a5e1b1f0d8c7e54844a95b024d21a20b574c1398d47276	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9904_5200_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9904_5200_bundle.tar.gz	3c63c714819c7d8f5c4e578205ae14c79d57b5f7733d0cc46b704a0eb8ef751c	474256123	root/wwz_zbb_run2_frozen_v2_train_shard9904_5200_delphes.root	wwz_zbb_run2_frozen_v2_train_shard9904_5200_delphes.root	20800	False	True	False	selected_for_triboson_root_weight_audit
407	background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	validation	3300	13	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/validation/wzz_zbb/0318_wzz_zbb_run2_frozen_v2_pilot_validation_shard9602_3300_hh4b_candidates_v2.parquet	5967353dfeba19eab109a72763204b4f3c63d160a2553ca8da1ed0d14ebad2f4	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wzz_zbb_run2_frozen_v2_pilot_validation_shard9602_3300_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wzz_zbb_run2_frozen_v2_pilot_validation_shard9602_3300_bundle.tar.gz	91ca4c2ff62b87985db8b5aeceb98eaa553dcbda214fd8d487f9050132ec34d7	291219832	root/wzz_zbb_run2_frozen_v2_pilot_validation_shard9602_3300_delphes.root	wzz_zbb_run2_frozen_v2_pilot_validation_shard9602_3300_delphes.root	3300	False	True	False	selected_for_triboson_root_weight_audit
403	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	3300	9	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wzz_zbb/0314_wzz_zbb_run2_frozen_v2_train_shard9911_3300_hh4b_candidates_v2.parquet	fb131dc66fcee78bcec818d4d53965d9074275242dcda863a1928f7e3ba347b6	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9911_3300_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9911_3300_bundle.tar.gz	ad68a0d5a944394f35ba92c6025a0d3a66416dee2ee38db69d39183ffe91fb01	291764214	root/wzz_zbb_run2_frozen_v2_train_shard9911_3300_delphes.root	wzz_zbb_run2_frozen_v2_train_shard9911_3300_delphes.root	13200	False	True	False	selected_for_triboson_root_weight_audit
404	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	3300	20	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wzz_zbb/0315_wzz_zbb_run2_frozen_v2_train_shard9912_3300_hh4b_candidates_v2.parquet	3f058e56c24549d8cbd59c8b20a5bd804eedb7fd952910a83c68310e2f4f8125	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9912_3300_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9912_3300_bundle.tar.gz	1ffd7a2af3b2e810619e907259864aa4a1e58e9ea1ed31ab6318b76df2e2bfc6	289480239	root/wzz_zbb_run2_frozen_v2_train_shard9912_3300_delphes.root	wzz_zbb_run2_frozen_v2_train_shard9912_3300_delphes.root	13200	False	True	False	selected_for_triboson_root_weight_audit
405	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	3300	20	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wzz_zbb/0316_wzz_zbb_run2_frozen_v2_train_shard9913_3300_hh4b_candidates_v2.parquet	1125ebe808b757ff68d79edf6ac14281864382a4011ca9283c2b299f56881cb1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9913_3300_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9913_3300_bundle.tar.gz	25fb6de6b5fe19413a3a9902bc8df5dc109f1390977983d5ab34179af2bf9eb7	289011377	root/wzz_zbb_run2_frozen_v2_train_shard9913_3300_delphes.root	wzz_zbb_run2_frozen_v2_train_shard9913_3300_delphes.root	13200	False	True	False	selected_for_triboson_root_weight_audit
406	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	3300	19	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wzz_zbb/0317_wzz_zbb_run2_frozen_v2_train_shard9914_3300_hh4b_candidates_v2.parquet	f79c4796968beeacfebe8e7943a0025c70be0d69cd3de24117b805fc189c00c3	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9914_3300_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9914_3300_bundle.tar.gz	3ab59356faf7cb011282505fd36b16caa1fa239ae6005e57cf764c02be0906f9	292880611	root/wzz_zbb_run2_frozen_v2_train_shard9914_3300_delphes.root	wzz_zbb_run2_frozen_v2_train_shard9914_3300_delphes.root	13200	False	True	False	selected_for_triboson_root_weight_audit
