member_index	sample_class	process_or_mode	campaign	dataset_split	candidate_path	candidate_sha256	candidate_rows	source_root_basename	source_root_sha256	root_entries	root_weight_branch	sidecar_path	sidecar_sha256	sidecar_rows	join_key	join_cardinality	join_exact	source_candidate_modified	status
398	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wwz_zbb/0309_wwz_zbb_run2_frozen_v2_train_shard9901_5200_hh4b_candidates_v2.parquet	59e8540af0a3eadda3cc08b1d4c27d0e7b795ae2b0ad14f259e749d1d1a856cd	9	wwz_zbb_run2_frozen_v2_train_shard9901_5200_delphes.root	3498922a5e4441e0094efc32c8c229f50d8944806df774f23f12a86a96e631e6	5200	Event/Event.Weight	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0398_wwz_zbb_wwz_zbb_run2_frozen_v2_train_shard9901_5200_delphes_event_weights.parquet	be5374791659f7b20032f61c88d6ec44a0c4d1b38b9ec25a2bc47f8240791d4d	5200	event	candidate_many_to_source_one_per_event	True	False	train_weight_sidecar_registered
399	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wwz_zbb/0310_wwz_zbb_run2_frozen_v2_train_shard9902_5200_hh4b_candidates_v2.parquet	9bdb10e2137561841ad243ddfed39001f77d90921ae268573558d87a7ea86671	9	wwz_zbb_run2_frozen_v2_train_shard9902_5200_delphes.root	98eac3de9eb01e3ad3e85260965701f7ffe21b5b41e9f81d293e9d0043229ab5	5200	Event/Event.Weight	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0399_wwz_zbb_wwz_zbb_run2_frozen_v2_train_shard9902_5200_delphes_event_weights.parquet	ba80b442bd5bacd35c972ca1f3fe87e0a17ea166e8e4538719d1890474fa69fb	5200	event	candidate_many_to_source_one_per_event	True	False	train_weight_sidecar_registered
400	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wwz_zbb/0311_wwz_zbb_run2_frozen_v2_train_shard9903_5200_hh4b_candidates_v2.parquet	71ab19fdcddb163b40d930e59af0f13a125147eae0906f551edeb337e2e1e597	10	wwz_zbb_run2_frozen_v2_train_shard9903_5200_delphes.root	58d3beb44e04ad44ff86e89e889f744d502903b4aaab8ab27348ce2e47acbd9b	5200	Event/Event.Weight	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0400_wwz_zbb_wwz_zbb_run2_frozen_v2_train_shard9903_5200_delphes_event_weights.parquet	996b35abdf43a76ea86608fb2a92f005241d2e3d896be9c92efab43bf6b3d3ed	5200	event	candidate_many_to_source_one_per_event	True	False	train_weight_sidecar_registered
401	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wwz_zbb/0312_wwz_zbb_run2_frozen_v2_train_shard9904_5200_hh4b_candidates_v2.parquet	7af1cc27a669db4270a5e1b1f0d8c7e54844a95b024d21a20b574c1398d47276	5	wwz_zbb_run2_frozen_v2_train_shard9904_5200_delphes.root	c5c48cb4e461d021afef6fcda321583af484a9d30b46097e361106ecb4748d42	5200	Event/Event.Weight	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0401_wwz_zbb_wwz_zbb_run2_frozen_v2_train_shard9904_5200_delphes_event_weights.parquet	f2b35f7c75e6ae4e4d8ea43db3e8f9560fe3286f2d7ae3f3cf005a44f76d4dc2	5200	event	candidate_many_to_source_one_per_event	True	False	train_weight_sidecar_registered
403	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wzz_zbb/0314_wzz_zbb_run2_frozen_v2_train_shard9911_3300_hh4b_candidates_v2.parquet	fb131dc66fcee78bcec818d4d53965d9074275242dcda863a1928f7e3ba347b6	9	wzz_zbb_run2_frozen_v2_train_shard9911_3300_delphes.root	c004c4abc8e0e0b32c35b46d09526c4c427e63ec861ef589f1e9fa899aae0f46	3300	Event/Event.Weight	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0403_wzz_zbb_wzz_zbb_run2_frozen_v2_train_shard9911_3300_delphes_event_weights.parquet	8feddc6c5ee2be00040974c3bbede7db01b66e794aba679edb42af885690a676	3300	event	candidate_many_to_source_one_per_event	True	False	train_weight_sidecar_registered
404	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wzz_zbb/0315_wzz_zbb_run2_frozen_v2_train_shard9912_3300_hh4b_candidates_v2.parquet	3f058e56c24549d8cbd59c8b20a5bd804eedb7fd952910a83c68310e2f4f8125	20	wzz_zbb_run2_frozen_v2_train_shard9912_3300_delphes.root	a2a02daff2b6896f852c334e492c4f5fee3553cfaf6e1352b871cfb58ddf8fc6	3300	Event/Event.Weight	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0404_wzz_zbb_wzz_zbb_run2_frozen_v2_train_shard9912_3300_delphes_event_weights.parquet	72caadb374a30ff4e2aa49307517c2ac8fbafb29a34f82af05f5e68079bb20f8	3300	event	candidate_many_to_source_one_per_event	True	False	train_weight_sidecar_registered
405	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wzz_zbb/0316_wzz_zbb_run2_frozen_v2_train_shard9913_3300_hh4b_candidates_v2.parquet	1125ebe808b757ff68d79edf6ac14281864382a4011ca9283c2b299f56881cb1	20	wzz_zbb_run2_frozen_v2_train_shard9913_3300_delphes.root	3cd4e50b3e4a8b872d8ffc87c8e81e55cd40fde27ec26c248cb542d1543d0972	3300	Event/Event.Weight	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0405_wzz_zbb_wzz_zbb_run2_frozen_v2_train_shard9913_3300_delphes_event_weights.parquet	a7ca3cdf317e958606f1c8b6a9331255a8e758a066ea893d7e250d6accdd67f2	3300	event	candidate_many_to_source_one_per_event	True	False	train_weight_sidecar_registered
406	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wzz_zbb/0317_wzz_zbb_run2_frozen_v2_train_shard9914_3300_hh4b_candidates_v2.parquet	f79c4796968beeacfebe8e7943a0025c70be0d69cd3de24117b805fc189c00c3	19	wzz_zbb_run2_frozen_v2_train_shard9914_3300_delphes.root	b05a226ca124566794447d75b6ff8c52df211da7a66dd5981cbf514a35703b11	3300	Event/Event.Weight	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0406_wzz_zbb_wzz_zbb_run2_frozen_v2_train_shard9914_3300_delphes_event_weights.parquet	fe7974cc42385dec0fe578c25b317252814538b4d2a5fdcccbe419b5f5a7e140	3300	event	candidate_many_to_source_one_per_event	True	False	train_weight_sidecar_registered
408	background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/zzz_zbb/0319_zzz_zbb_run2_frozen_v2_train_shard9921_1500_hh4b_candidates_v2.parquet	83049f6c3a291a88943b5c2914e83340fa8ad613c949278e80d2ad8ae08c680c	12	zzz_zbb_run2_frozen_v2_train_shard9921_1500_delphes.root	36f069e04ed96481aa39879c09d60a84303081f58acb61dd28d8f9ff15f84c9b	1500	Event/Event.Weight	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0408_zzz_zbb_zzz_zbb_run2_frozen_v2_train_shard9921_1500_delphes_event_weights.parquet	c63075a9fd01da311394be8032e5c8781333baa38d040bc3d67b3d95a68e6bfd	1500	event	candidate_many_to_source_one_per_event	True	False	train_weight_sidecar_registered
409	background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/zzz_zbb/0320_zzz_zbb_run2_frozen_v2_train_shard9922_1500_hh4b_candidates_v2.parquet	49bb3233365512e67c86f5db1da9fe0708005206d9a5f54da541ad696af3877d	18	zzz_zbb_run2_frozen_v2_train_shard9922_1500_delphes.root	556e8de75ef3dd65dfe4e289a29e18e94923db971f71de811de3f551a14ce9e1	1500	Event/Event.Weight	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0409_zzz_zbb_zzz_zbb_run2_frozen_v2_train_shard9922_1500_delphes_event_weights.parquet	eae95d70e0101a0503375d0ad79bee6d5d4dc65d10a3949d5c482dab0d042617	1500	event	candidate_many_to_source_one_per_event	True	False	train_weight_sidecar_registered
