source_index	shard_token	hold_campaign	final_split	generated_events_frozen	root_sha256	sum_generator_weights_frozen	sum_squared_generator_weights_frozen	independence_from_bundle_backed_ttbar_proven	duplicate_alias_of_bundle_member	formal_exclusion	included_in_unique_ttbar_population	member_denominator_value_frozen	member_denominator_use_authorized	cross_campaign_process_aggregation_authorized	process_reference_cross_section_assigned	physical_weight_application_authorized	physical_yield_calculation_authorized
324	ttbar_100k_shard001	ttbar_100k	train	10000	cd812441e240f0fd7b137129aadf4def052907f44830784879ca4e5a0d6f395c	5126727.9052734375	2628333901.4709368	True	False	False	True	True	True	False	False	False	False
325	ttbar_100k_shard002	ttbar_100k	train	10000	3328999ac5bc867fc29b29e220d382d468076a4f85b8f6c8193679a702992d61	5122303.466796875	2623799280.5959282	True	False	False	True	True	True	False	False	False	False
326	ttbar_100k_shard003	ttbar_100k	train	10000	127c87510087d164038b7629ea9d5210008cc4cb1473aa9b069a5cd4b859629e	5125923.4619140625	2627509133.7401047	True	False	False	True	True	True	False	False	False	False
327	ttbar_100k_shard007	ttbar_100k	train	10000	181529274199a5f38c795590dd471ed3d8e0dbe4676d5678c3b744ebf09643a2	5127034.3017578125	2628648073.1401219	True	False	False	True	True	True	False	False	False	False
328	ttbar_100k_shard008	ttbar_100k	train	10000	04f3142f14807b77601b735a4901bfe411102bcdc29f17c27189a75869800c50	5114535.2172851562	2615847048.8850121	True	False	False	True	True	True	False	False	False	False
329	ttbar_100k_shard009	ttbar_100k	train	10000	62fa589354ecfb8415331393e83c01475a2fe19f30d96bf46cad11bdfca2d50f	5118790.283203125	2620201396.3414726	True	False	False	True	True	True	False	False	False	False
330	ttbar_200k_shard000	ttbar_200k	train	10000	c74ad8091105a4d122c02fe92b385451b445449f7fd203dc974b08127988adeb	5111312.5610351562	2612551609.6595769	True	False	False	True	True	True	False	False	False	False
331	ttbar_200k_shard001	ttbar_200k	train	10000	5eeb89eb363d8f9a480d29addd29c2a971c6ea30dfae5f7689f5a219efbcee72	5122078.857421875	2623569182.1648178	True	False	False	True	True	True	False	False	False	False
332	ttbar_200k_shard002	ttbar_200k	train	10000	1dee8c47a9c06f1ab3c2df3b7eeed86f9a6be76db5c601503dea4da0db539053	5111447.1435546875	2612689190.1353374	True	False	False	True	True	True	False	False	False	False
333	ttbar_200k_shard004	ttbar_200k	train	10000	95109014b01a01fa07cd2cddb51b13c918f00134d6605947d7f6bd07fa7cff9b	5125620.7275390625	2627198784.2578068	True	False	False	True	True	True	False	False	False	False
334	ttbar_200k_shard005	ttbar_200k	train	10000	337749d158a2cbcb067a32701cfedb7ab784a890f04dbe6a3edc9b9fc143c9dc	5122222.2900390625	2623716118.8573017	True	False	False	True	True	True	False	False	False	False
335	ttbar_200k_shard006	ttbar_200k	train	10000	c567010fbe70cb1fe95a85a6880712b7313678fd83f6f2760f25fb6d18480028	5125297.2412109375	2626867181.0764446	True	False	False	True	True	True	False	False	False	False
336	ttbar_200k_shard007	ttbar_200k	train	10000	a8b9237ec6407e50881df6e3b1780c11b892bf8724c94b4e1754cede0d3955a8	5123270.263671875	2624789819.4624481	True	False	False	True	True	True	False	False	False	False
337	ttbar_200k_shard009	ttbar_200k	train	10000	d2b4a2b780ef283cf105b67d0d9faaf115d7123a1d568eb3ba5747a2f88c7f38	5127106.93359375	2628722550.8505106	True	False	False	True	True	True	False	False	False	False
338	ttbar_200k_shard011	ttbar_200k	train	10000	b7139c152d0befc7cbfe7a0c9acc9e41db2320034f24b38aae6f8b78e159f92b	5133634.6435546875	2635420465.3504863	True	False	False	True	True	True	False	False	False	False
339	ttbar_200k_shard012	ttbar_200k	train	10000	f8b920614ece3e4620129777426d0f50e21d489e6892e1d2db0d0bdefd09ae04	5118677.0629882812	2620085487.5162339	True	False	False	True	True	True	False	False	False	False
340	ttbar_200k_shard013	ttbar_200k	train	10000	b0e0d558061bef3d38e8b3ee6c3e3a359cb3066a3f47c2d641573048e978b687	5127194.82421875	2628812676.5495539	True	False	False	True	True	True	False	False	False	False
341	ttbar_200k_shard014	ttbar_200k	train	10000	d99486a099a0fa4de5e26016bf0c7ba59de2792167aa314acc204fe62554bd6c	5120939.3310546875	2622401963.234283	True	False	False	True	True	True	False	False	False	False
342	ttbar_200k_shard016	ttbar_200k	train	10000	4547549b7206b3fa8c1a3095b6a2e4d6a6b8e2cbf355e5a37b399b3ce3f6c8cf	5127194.82421875	2628812676.5495539	True	False	False	True	True	True	False	False	False	False
343	ttbar_200k_shard017	ttbar_200k	train	10000	e5f08ad00028b445bbfaff606ad37533be170845a76fbc785447f1dae20518a6	5121291.50390625	2622762666.798234	True	False	False	True	True	True	False	False	False	False
344	ttbar_200k_shard018	ttbar_200k	train	10000	0851f9e1c10729fb364e49c431f0ced0fed38eaed8a9423dbf8de0e73d3c7ddc	5123695.6787109375	2625225740.8041134	True	False	False	True	True	True	False	False	False	False
345	ttbar_200k_shard019	ttbar_200k	train	10000	bbb872e507a6af12944acc0e843a79b25308710fa961f047be5435074bd4ec39	5127258.30078125	2628877768.2930231	True	False	False	True	True	True	False	False	False	False
346	ttbar_100k_shard000	ttbar_100k	validation	10000	a3b7755440323eb0e5212454046efbdfa443cd3a139ae64cdd0fc0365a9c1deb	5127729.4921875	2629360974.5049477	True	False	False	True	True	True	False	False	False	False
347	ttbar_100k_shard004	ttbar_100k	validation	10000	fc7d89902695b64ba84ee39c183dd89b549840e32cf1de9f086f96df7b2dad4c	5118415.2221679688	2619817438.6520777	True	False	False	True	True	True	False	False	False	False
348	ttbar_100k_shard005	ttbar_100k	validation	10000	5a405c983c1fea331dfd853caef09b05f1c092b543d0d80dedf7f303fac03111	5122055.0537109375	2623544797.3245754	True	False	False	True	True	True	False	False	False	False
349	ttbar_200k_shard008	ttbar_200k	validation	10000	8c0cbc5965a5235c62c0b542ce3c2eab7c3254fc4a9b0a683d36fdc45b77eda2	5118229.98046875	2619627813.2969141	True	False	False	True	True	True	False	False	False	False
350	ttbar_200k_shard015	ttbar_200k	validation	10000	0caf7958a89e642c6f75d0c2ec967954159204192dadbf5a24da583d4bc298fb	5126281.1279296875	2627875820.2568069	True	False	False	True	True	True	False	False	False	False
