unique_population_index	source_population	source_index	member_id	campaign	final_split	generated_events_frozen	root_sha256	sum_generator_weights_frozen	sum_squared_generator_weights_frozen	independent_unique_member	included_in_unique_ttbar_population	member_denominator_value_frozen	member_denominator_use_authorized	cross_campaign_process_aggregation_authorized	process_reference_cross_section_assigned	physical_weight_application_authorized
1	bundle_backed	154	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/ttbar_inclusive_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	unified_background_5m_wavea_pilots_20260720_retry1	train	10000	bbacdadaddc590df5ba09ca4edb3cbc87f7c563accbd5582337c4218c1b852d2	5125641.4794921875	2627220057.629086	True	True	True	True	False	False	False
2	bundle_backed	155	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	f59a58e22442b9e084a24c7b9171728cfe2ba5e95dcf49f515ff00a31698fd53	5115447.6928710938	2616780509.8500195	True	True	True	True	False	False	False
3	bundle_backed	156	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard010_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	3e9904e4e92952d0ae16adda386c8959b71fdb10c29fb330f71263e1e764de50	5122164.306640625	2623656718.4223232	True	True	True	True	False	False	False
4	bundle_backed	157	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard011_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	cfc0800605ecd7a5881b014782da8db0c8e5ab63533ee73b708c105529b3b277	5120283.203125	2621730008.020401	True	True	True	True	False	False	False
5	bundle_backed	158	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard012_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	a1bcdbdddd431f2b9dc7cdc7603662c83821d57ad3aa963fd8c77734721e80a1	5125269.1650390625	2626838401.4100208	True	True	True	True	False	False	False
6	bundle_backed	159	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard013_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	1c619220100482e17290a479589e59f8fe78430b39bc0afc792edca739aaf8f7	5122115.478515625	2623606697.5249348	True	True	True	True	False	False	False
7	bundle_backed	160	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard015_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	07f2a2e7705c3d33e0ee7441db077aad7ed3cd2fb9b95b9cb89d351e9d77824e	5126311.6455078125	2627907108.6869016	True	True	True	True	False	False	False
8	bundle_backed	161	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard016_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	d49f0eb0a0ee59e839c550727eaf704516284698d3e55cdeb4e0c86921d3d1e5	5126110.83984375	2627701234.2363596	True	True	True	True	False	False	False
9	bundle_backed	162	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard017_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	c99422fb308c4319524a1abca2966eddda2125ba34075b313945df608b8e961e	5121627.197265625	2623106514.7770939	True	True	True	True	False	False	False
10	bundle_backed	163	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard018_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	258aaa79ad1ee385072f24b72cbcbdde5547cd5d87f5ae9a7a706b22a35c676e	5133500.3662109375	2635282600.9887829	True	True	True	True	False	False	False
11	bundle_backed	164	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard002_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	c0a682805b47b6fbd9c9ad6300b71c7920d112f04977f698a07ef86a508b4032	5135369.873046875	2637202373.2997475	True	True	True	True	False	False	False
