group_level	dataset_split	family	members	generated_events	candidate_input	all_jets_pt_gt40	all_jets_pt_gt40_eta_lt2p4	reference_rhh_lt55	sr_rhh_lt30	cr_rhh_30to55	sr_mhh_lt450	sr_mhh_ge450	cr_mhh_lt450	cr_mhh_ge450	pt_efficiency_from_input	eta_efficiency_after_pt	reference_efficiency_from_input	sr_efficiency_from_input	cr_efficiency_from_input	sr_fraction_of_reference	cr_fraction_of_reference
family_split	train	bbh_hbb_4fs	4	40000	1371	554	532	319	186	133	175	11	102	31	0.40408460977388766	0.9602888086642599	0.2326768781911014	0.13566739606126915	0.09700948212983224	0.5830721003134797	0.4169278996865204
family_split	train	ggh_hbb	8	80000	38	19	16	9	3	6	0	3	3	3	0.5	0.8421052631578947	0.23684210526315788	0.07894736842105263	0.15789473684210525	0.3333333333333333	0.6666666666666666
family_split	train	qcd_bbbb_general	12	120000	4312	1591	1507	663	320	343	271	49	264	79	0.3689703153988868	0.9472030169704588	0.1537569573283859	0.07421150278293136	0.07954545454545454	0.48265460030165913	0.5173453996983409
family_split	train	qcd_bbbb_iht400to600	12	120000	18495	12187	11632	3043	988	2055	452	536	690	1365	0.6589348472560151	0.9544596701403134	0.1645309543119762	0.0534198432008651	0.1111111111111111	0.32467959250739403	0.675320407492606
family_split	train	qcd_hardqcd	186	1811373	56	37	36	7	3	4	0	3	4	0	0.6607142857142857	0.972972972972973	0.125	0.05357142857142857	0.07142857142857142	0.42857142857142855	0.5714285714285714
family_split	train	schannel_single_top	2	20000	12	7	7	3	2	1	2	0	0	1	0.5833333333333334	1.0	0.25	0.16666666666666666	0.08333333333333333	0.6666666666666666	0.3333333333333333
family_split	train	tchannel_antitop	6	60000	23	11	11	5	2	3	1	1	3	0	0.4782608695652174	1.0	0.21739130434782608	0.08695652173913043	0.13043478260869565	0.4	0.6
family_split	train	tchannel_top	6	60000	19	9	9	3	1	2	1	0	2	0	0.47368421052631576	1.0	0.15789473684210525	0.05263157894736842	0.10526315789473684	0.3333333333333333	0.6666666666666666
family_split	train	ttbar_inclusive	60	600000	1947	1018	983	524	267	257	218	49	189	68	0.5228556753980482	0.9656188605108055	0.26913199794555726	0.13713405238828968	0.1319979455572676	0.5095419847328244	0.4904580152671756
family_split	train	tth_hbb	3	30000	3657	2204	2151	1234	660	574	535	125	412	162	0.6026797921793821	0.9759528130671506	0.33743505605687724	0.1804757998359311	0.15695925622094614	0.5348460291734197	0.4651539708265802
